experiment,voltage_kv,nodes,edges,mn_ratio,mean_degree,max_degree,mean_length_km,median_length_km,intersection_rate_pct,meshedness,deg1_frac,deg2_frac,deg3plus_frac,degree_entropy,error_score,elapsed_s
exp0_baseline,345,259,405,1.5637,3.13,14,34.88,27.5,9.38,0.2865,0.0927,0.3012,0.6062,2.443,0.1945,0.7
exp1_d1b50_hub50_md4,345,259,405,1.5637,3.13,12,36.46,28.43,10.62,0.2865,0.0193,0.3282,0.6525,2.111,0.2851,0.8
exp1_d1b50_hub50_md5,345,259,405,1.5637,3.13,12,36.2,28.41,11.11,0.2865,0.0193,0.3359,0.6448,2.1252,0.2886,0.7
exp1_d1b50_hub50_md6,345,259,405,1.5637,3.13,12,36.19,28.43,11.11,0.2865,0.0193,0.3359,0.6448,2.1124,0.2887,0.7
exp1_d1b50_hub100_md4,345,259,405,1.5637,3.13,12,36.46,28.43,10.62,0.2865,0.0193,0.3282,0.6525,2.111,0.2851,0.7
exp1_d1b50_hub100_md5,345,259,405,1.5637,3.13,12,36.2,28.41,11.11,0.2865,0.0193,0.3359,0.6448,2.1252,0.2886,0.7
exp1_d1b50_hub100_md6,345,259,405,1.5637,3.13,12,36.19,28.43,11.11,0.2865,0.0193,0.3359,0.6448,2.1124,0.2887,0.7
exp1_d1b50_hub200_md4,345,259,405,1.5637,3.13,12,36.46,28.43,10.62,0.2865,0.0193,0.3282,0.6525,2.111,0.2851,0.7
exp1_d1b50_hub200_md5,345,259,405,1.5637,3.13,12,36.2,28.41,11.11,0.2865,0.0193,0.3359,0.6448,2.1252,0.2886,0.7
exp1_d1b50_hub200_md6,345,259,405,1.5637,3.13,12,36.19,28.43,11.11,0.2865,0.0193,0.3359,0.6448,2.1124,0.2887,0.7
exp1_d1b100_hub50_md4,345,259,405,1.5637,3.13,11,36.51,28.49,10.86,0.2865,0.0,0.3552,0.6448,2.0086,0.3682,0.7
exp1_d1b100_hub50_md5,345,259,405,1.5637,3.13,11,36.45,28.49,10.86,0.2865,0.0,0.3552,0.6448,2.0158,0.3684,0.7
exp1_d1b100_hub50_md6,345,259,405,1.5637,3.13,11,36.43,28.49,10.86,0.2865,0.0,0.3591,0.6409,2.0218,0.3664,0.7
exp1_d1b100_hub100_md4,345,259,405,1.5637,3.13,11,36.51,28.49,10.86,0.2865,0.0,0.3552,0.6448,2.0086,0.3682,0.7
exp1_d1b100_hub100_md5,345,259,405,1.5637,3.13,11,36.45,28.49,10.86,0.2865,0.0,0.3552,0.6448,2.0158,0.3684,0.7
exp1_d1b100_hub100_md6,345,259,405,1.5637,3.13,11,36.43,28.49,10.86,0.2865,0.0,0.3591,0.6409,2.0218,0.3664,0.7
exp1_d1b100_hub200_md4,345,259,405,1.5637,3.13,11,36.51,28.49,10.86,0.2865,0.0,0.3552,0.6448,2.0086,0.3682,1.0
exp1_d1b100_hub200_md5,345,259,405,1.5637,3.13,11,36.45,28.49,10.86,0.2865,0.0,0.3552,0.6448,2.0158,0.3684,0.8
exp1_d1b100_hub200_md6,345,259,405,1.5637,3.13,11,36.43,28.49,10.86,0.2865,0.0,0.3591,0.6409,2.0218,0.3664,0.7
exp1_d1b200_hub50_md4,345,259,405,1.5637,3.13,10,36.33,28.0,11.85,0.2865,0.0,0.3784,0.6216,2.04,0.3699,0.7
exp1_d1b200_hub50_md5,345,259,405,1.5637,3.13,10,36.25,27.95,11.85,0.2865,0.0,0.3861,0.6139,2.0468,0.366,0.7
exp1_d1b200_hub50_md6,345,259,405,1.5637,3.13,10,36.25,27.95,11.85,0.2865,0.0,0.3861,0.6139,2.0468,0.366,0.7
exp1_d1b200_hub100_md4,345,259,405,1.5637,3.13,10,36.33,28.0,11.85,0.2865,0.0,0.3784,0.6216,2.04,0.3699,0.7
