plant_code,lat,lon,state,grid_voltage_kv,grid_voltage_2_kv,grid_voltage_3_kv,nerc_region,balancing_authority
1,55.339722,-160.497222,AK,0.48,,,,
2,33.458665,-87.356823,AL,115.0,,,SERC,SOCO
3,31.0069,-88.0103,AL,230.0,,,SERC,SOCO
4,32.583889,-86.283056,AL,115.0,,,SERC,SOCO
7,34.0128,-85.9708,AL,115.0,,,SERC,SOCO
8,33.644344,-87.196486,AL,230.0,,,SERC,SOCO
9,31.7569,-106.375,TX,115.0,,,WECC,EPE
10,32.6017,-87.7811,AL,230.0,,,SERC,SOCO
11,33.7845,-86.0524,AL,115.0,,,SERC,SOCO
12,33.2553,-87.4495,AL,115.0,,,SERC,SOCO
13,32.6189,-86.2548,AL,115.0,,,SERC,SOCO
14,33.425878,-86.337547,AL,115.0,,,SERC,SOCO
15,32.9633,-86.5187,AL,115.0,,,SERC,SOCO
16,32.680394,-85.911442,AL,115.0,,,SERC,SOCO
17,32.806025,-86.444892,AL,115.0,,,SERC,SOCO
18,33.9406,-87.1077,AL,161.0,,,SERC,SOCO
19,32.535436,-85.887614,AL,115.0,,,SERC,SOCO
20,34.172142,-85.753806,AL,115.0,,,SERC,SOCO
21,32.5743,-85.8901,AL,115.0,,,SERC,SOCO
26,33.244211,-86.458056,AL,230.0,,,SERC,SOCO
30,44.0501,-94.4178,MN,69.0,,,MRO,MISO
34,39.134259,-120.953341,CA,60.0,,,WECC,CISO
38,32.100881,-87.399767,AL,115.0,,,SERC,SOCO
46,34.7042,-87.1189,AL,500.0,,,SERC,TVA
47,34.7439,-87.8486,AL,161.0,,,SERC,TVA
48,34.421272,-86.393931,AL,161.0,,,SERC,TVA
49,34.8069,-87.3819,AL,161.0,,,SERC,TVA
50,34.883022,-85.755253,AL,161.0,,,SERC,TVA
51,32.030556,-93.569167,LA,345.0,,,SERC,MISO
53,31.4033,-86.479469,AL,46.0,,,SERC,SOCO
54,37.8833,-84.1017,KY,138.0,345.0,,SERC,PJM
55,31.361146,-86.518307,AL,46.0,,,SERC,SOCO
56,31.488019,-87.910747,AL,115.0,230.0,,SERC,SOCO
59,40.854765,-98.348222,NE,115.0,,,MRO,SWPP
60,40.580872,-98.312437,NE,115.0,,,MRO,SWPP
62,58.3176,-134.101,AK,23.0,,,,
63,58.3107,-134.4174,AK,12.0,,,,
64,58.3536,-134.4953,AK,69.0,,,,
65,58.3269,-134.4631,AK,69.0,,,,
66,59.4545,-135.3131,AK,2.4,,,,
69,59.235931,-135.446228,AK,12.47,,,,
70,55.615208,-131.356111,AK,115.0,115.0,,,
71,57.6861,-152.895,AK,138.0,,,,
72,34.01135,-118.4168,CA,66.0,,,WECC,CISO
75,61.2221,-149.8661,AK,115.0,,,,
77,61.475211,-149.15009,AK,115.0,,,,
78,58.1415,-133.737,AK,138.0,,,,
79,64.847743,-147.735063,AK,12.5,,,,
84,55.344641,-131.633425,AK,34.5,,,,
85,55.357397,-131.69696,AK,34.5,,,,
87,35.4159,-108.082,NM,230.0,,,WECC,WACM
88,41.949,-74.2063,NY,13.8,,,NPCC,NYIS
90,64.505331,-165.429814,AK,4.0,,,,
91,56.81104,-132.957091,AK,24.9,,,,
92,60.130922,-149.43501,AK,115.0,69.0,12.47,,
93,57.0516,-135.2297,AK,69.0,,,,
95,56.460976,-132.379439,AK,12.47,,,,
96,61.1861,-151.0356,AK,138.0,,,,
99,47.079722,-122.365,WA,115.0,,,WECC,PSEI
100,33.466477,-111.781064,AZ,4.16,,,WECC,SRP
104,37.147926,-119.2567,CA,220.0,,,WECC,CISO
108,37.9308,-100.9725,KS,115.0,,,MRO,SWPP
109,59.042914,-158.468597,AK,12.0,,,,
112,34.351111,-111.700556,AZ,115.0,,,WECC,
113,34.9394,-110.3033,AZ,500.0,,,WECC,AZPS
114,31.364122,-109.5538,AZ,69.0,,,WECC,AZPS
115,34.402222,-111.617222,AZ,115.0,,,WECC,
116,33.4225,-111.9122,AZ,69.0,,,WECC,AZPS
117,33.4417,-112.1583,AZ,230.0,,,WECC,AZPS
118,32.5517,-111.3,AZ,115.0,,,WECC,AZPS
120,32.7214,-114.7106,AZ,69.0,,,WECC,AZPS
124,32.252273,-110.992148,AZ,138.0,,,WECC,TEPC
126,32.16,-110.9047,AZ,138.0,,,WECC,TEPC
130,33.371506,-80.113235,SC,230.0,,,SERC,SC
136,29.733056,-81.632778,FL,230.0,,,SERC,SEC
141,33.5561,-112.2153,AZ,230.0,69.0,,WECC,SRP
143,33.439375,-111.946052,AZ,4.16,,,WECC,SRP
145,33.5907,-111.344,AZ,115.0,,,WECC,SRP
147,33.3556,-111.9353,AZ,230.0,69.0,,WECC,SRP
148,33.5536,-111.4431,AZ,115.0,,,WECC,SRP
149,33.671104,-111.161786,AZ,115.0,,,WECC,SRP
150,33.5661,-111.536,AZ,115.0,,,WECC,SRP
151,37.62936,-120.93139,CA,69.0,,,WECC,BANC
152,35.197044,-114.570669,AZ,230.0,,,WECC,WALC
153,36.936614,-111.483872,AZ,345.0,,,WECC,WALC
154,36.01551,-114.738006,NV,230.0,,,WECC,WALC
159,40.493631,-111.312506,UT,12.47,,,WECC,PACE
160,32.0603,-109.8931,AZ,230.0,115.0,69.0,WECC,WALC
161,37.611461,-120.594678,CA,69.0,,,WECC,TIDC
162,37.621536,-120.746247,CA,12.0,,,WECC,TIDC
164,24.579167,-81.685,FL,115.0,,,SERC,
165,36.190278,-95.2894,OK,161.0,345.0,,MRO,SWPP
166,34.4425,-93.0262,AR,115.0,,,SERC,MISO
167,34.7535,-92.1987,AR,115.0,,,SERC,MISO
168,34.9806,-90.8722,AR,161.0,,,SERC,MISO
169,33.3592,-93.4649,AR,115.0,,,SERC,MISO
170,34.4341,-92.9049,AR,115.0,,,SERC,MISO
171,34.635997,-92.409602,AR,115.0,,,SERC,MISO
172,35.705381,-89.9689,AR,161.0,,,SERC,MISO
173,34.4629,-90.5987,AR,230.0,,,SERC,MISO
174,34.4272,-92.8941,AR,115.0,,,SERC,MISO
180,40.45193,-121.86215,CA,12.0,,,WECC,CISO
182,36.421507,-93.847373,AR,161.0,,,MRO,SPA
187,34.211913,-93.110963,AR,115.0,,,SERC,MISO
188,35.5207,-91.9953,AR,161.0,,,MRO,SPA
192,36.060556,-90.521389,AR,13.2,,,MRO,SPA
