from_sub,to_sub,voltage_kv,length_km,category,circuits,X_pu,MVAmax,intersects
785,1202,115,1.874,mst,1,0.011333,174,False
270,1274,115,2.833,mst,1,0.017137,174,False
784,1202,115,3.729,mst,1,0.022559,174,False
705,1255,115,1.051,mst,1,0.006359,174,False
266,1272,115,2.543,mst,1,0.015385,174,False
30,1159,115,0.990,mst,1,0.005990,174,False
313,826,115,2.978,mst,1,0.018015,174,False
813,1049,115,2.541,mst,1,0.015371,174,False
297,826,115,3.408,mst,1,0.020616,174,False
313,780,115,3.713,mst,1,0.022459,174,False
828,1049,115,3.174,mst,1,0.019200,174,False
296,304,115,3.504,mst,1,0.021194,174,False
309,322,115,3.207,mst,1,0.019397,174,False
791,795,115,5.457,delaunay,1,0.033008,174,False
794,826,115,4.987,delaunay,1,0.030168,174,False
791,817,115,5.250,delaunay,1,0.031760,174,False
786,817,115,5.989,delaunay,1,0.036227,174,False
296,780,115,4.334,delaunay,1,0.026214,174,False
304,780,115,5.797,delaunay,1,0.035069,174,False
297,794,115,5.733,delaunay,1,0.034679,174,False
47,783,115,5.815,delaunay,1,0.035176,174,False
795,825,115,5.830,delaunay,1,0.035264,174,False
553,836,115,5.599,delaunay,1,0.033868,174,False
305,313,115,4.895,delaunay,1,0.029609,174,False
297,310,115,5.596,delaunay,1,0.033853,174,False
297,787,115,5.688,delaunay,1,0.034410,174,False
304,319,115,4.044,mst,1,0.024465,174,False
298,305,115,3.982,mst,1,0.024088,174,False
836,888,115,4.112,mst,1,0.024872,174,False
300,305,115,3.602,mst,1,0.021792,174,False
542,1257,115,2.023,mst,1,0.012237,174,False
781,817,115,4.078,mst,1,0.024668,174,False
210,1258,115,4.000,mst,1,0.024198,174,False
302,794,115,4.112,mst,1,0.024872,174,False
297,302,115,3.959,mst,1,0.023949,174,False
311,904,115,3.745,mst,1,0.022657,174,False
18,19,115,2.532,mst,1,0.015315,174,False
789,816,115,4.088,mst,1,0.024726,174,False
17,18,115,3.462,mst,1,0.020942,174,False
13,875,115,10.317,neighbor_2,1,0.062406,174,False
18,44,115,9.716,neighbor_2,1,0.058775,174,False
13,41,115,9.987,neighbor_2,1,0.060415,174,False
44,1202,115,9.416,neighbor_2,1,0.056958,174,False
47,784,115,9.753,neighbor_2,1,0.058995,174,False
44,784,115,9.762,neighbor_2,1,0.059049,174,False
13,19,115,9.373,neighbor_2,1,0.056696,174,False
6,801,115,10.207,neighbor_2,1,0.061742,174,False
