bus_id,substation_id,voltage_kv,role,connected_load_mw,connected_generator_ids
1,1,115,load,148.726,
2,2,115,load,109.342,
3,3,115,load,121.428,
4,4,345,generator,0.0,
5,4,115,load,184.324,
6,5,115,load,129.456,
7,6,115,load,149.234,
8,7,115,load,120.56,
9,8,115,load,117.296,
10,9,345,generator,0.0,
11,9,115,load,179.876,
12,10,115,load,148.758,
13,11,115,load,157.716,
14,12,345,generator,0.0,CA01
15,12,115,load,180.958,
16,13,115,load,149.358,
17,14,115,load,171.786,
18,15,115,load,115.028,
19,16,345,generator,0.0,
20,16,115,load,150.882,
21,17,115,load_and_generator,201.734,A1;A2;A3;B1;B2;B3;HR01;HR02
22,18,115,load,157.556,
23,19,115,load,145.1,
24,20,115,load,135.978,
25,21,345,generator,0.0,
26,21,115,load,119.254,
27,22,115,load,129.354,
28,23,345,generator,0.0,
29,23,115,load,129.596,
30,24,115,load,155.178,
31,25,115,load,151.68,
32,26,115,load_and_generator,175.198,N01;01
33,27,115,load,181.734,
34,28,345,generator,0.0,
35,28,115,load,205.252,
36,29,115,load,136.736,
37,30,115,load,124.846,
38,31,115,load,209.122,
39,32,345,generator,0.0,
40,32,115,load,148.074,
41,33,345,generator,0.0,
42,33,115,load,134.764,
43,34,115,load_and_generator,180.744,NT11;NT12;NT13;NT14
44,35,115,load,119.134,
45,36,345,generator,0.0,
46,36,115,load,146.56,
47,37,115,load,175.624,
48,38,115,load,181.314,
49,39,115,load,171.16400000000002,
50,40,345,generator,0.0,DG2;DG3;DG4;DG5;SDM00;NT15;NT16;NT17;NT18
51,40,115,load,161.0,
52,41,115,load,192.66400000000002,
53,42,115,load,163.818,
54,43,115,load,174.376,
55,44,345,generator,0.0,
56,44,115,load,159.592,
57,45,115,load,180.744,
58,46,115,load,197.642,
59,47,345,generator,0.0,
60,47,115,load,162.716,
61,48,115,load,217.322,
62,49,115,load_and_generator,192.99,CT3
63,50,115,load,145.23,
64,51,345,generator,0.0,
65,51,115,load,164.042,
66,52,345,generator,0.0,
67,52,115,load,210.05,
68,53,115,load,125.776,
69,54,115,load,7.126,
70,55,115,load,2.0460000000000003,
71,56,115,load,9.222,
72,57,115,load,8.464,
73,58,115,load,1.374,
74,59,345,generator,0.0,
75,59,115,load,3.7760000000000002,
76,60,115,load,3.54,
77,61,115,load,0.428,
78,62,115,load,34.778,
79,63,115,load,0.8,
80,64,115,load,0.706,
81,65,115,load,0.6880000000000001,
82,66,115,load,0.488,
83,67,115,load,1.06,
84,68,115,load,77.464,
85,69,115,load,9.58,
86,70,115,load,1.11,
87,71,115,load,4.76,
88,72,115,load,1.326,
89,73,115,load,0.628,
90,74,115,load,9.638,
91,75,115,load,30.938000000000002,
92,76,115,load,0.6940000000000001,
93,77,115,load,2.106,
94,78,115,load,11.856,
95,79,115,load,2.228,
96,80,115,load,67.874,
97,81,115,load,1.768,
98,82,115,load,13.188,
99,83,115,load,12.26,
100,84,345,generator,0.0,
101,84,115,load,6.634,
102,85,115,load,12.972,
103,86,115,load,11.344,
104,87,115,load,4.39,
105,88,115,load,3.524,
106,89,115,load,0.122,
107,90,115,load,0.652,
108,91,115,load,1.6,
109,92,115,load,8.244,
110,93,115,load,6.47,
111,94,115,load,1.076,
112,95,115,load,73.964,
113,96,115,load,3.396,
114,97,115,load,5.396,
115,98,115,load,3.0500000000000003,
116,99,115,load,2.94,
117,100,115,load_and_generator,4.542,CPHGN
118,101,115,load,20.11,
119,102,115,load,4.112,
120,103,115,load,3.088,
121,104,115,load,0.764,
122,105,115,load,32.358000000000004,
123,106,115,load,1.252,
124,107,115,load,31.740000000000002,
125,108,115,load,0.9520000000000001,
126,109,115,load,0.878,
127,110,115,load,1.684,
128,111,115,load,0.916,
129,112,115,load,0.8160000000000001,
130,113,115,load,3.552,
131,114,115,load,11.022,
132,115,115,load,5.766,
133,116,115,load,10.916,
134,117,115,load,5.3180000000000005,
135,118,115,load,8.262,
136,119,115,load,7.976,
137,120,115,load,25.802,
138,121,115,load,44.314,
139,122,115,load,10.238,
140,123,115,load,12.406,
141,124,115,load,99.584,
142,125,115,load,27.342000000000002,
143,126,115,load,56.11,
144,127,115,load,22.548000000000002,
145,128,115,load,14.662,
146,129,115,load,9.084,
147,130,115,load,7.996,
148,131,115,load,9.168000000000001,
149,132,115,load,11.82,
150,133,115,load,2.842,
151,134,115,load,6.102,
152,135,115,load,5.446,
153,136,115,load,8.544,
154,137,115,load,6.638,
155,138,115,load,4.8420000000000005,
156,139,115,load,6.292,
157,140,115,load,11.894,
158,141,115,load,24.894000000000002,
159,142,115,load,2.464,
160,143,115,load,10.862,
161,144,115,load,17.914,
162,145,115,load,1.544,
163,146,115,load,3.544,
164,147,115,generator,0.0,
165,148,115,load,137.464,
166,149,115,load,175.35,
167,150,345,generator,0.0,
168,150,115,load,95.278,
169,151,115,load,143.586,
170,152,345,generator,0.0,
171,152,115,load,163.774,
172,153,115,load,118.498,
173,154,345,generator,0.0,
174,154,115,load,150.508,
175,155,115,load,173.234,
176,156,115,load,174.26,
177,157,115,load,170.724,
178,158,345,generator,0.0,
179,158,115,load,156.214,
180,159,115,load,195.126,
181,160,115,load,130.906,
182,161,115,load,161.524,
183,162,115,load,115.678,
184,163,345,generator,0.0,
185,163,115,load,168.006,
186,164,115,load,187.6,
187,165,345,generator,0.0,
188,165,115,load,192.992,
189,166,345,generator,0.0,
190,166,115,load,190.442,
191,167,345,generator,0.0,
192,167,115,load,129.57,
193,168,115,load_and_generator,170.202,ESSFH;N01;1;NT21;NT22;NT23
194,169,115,load,149.192,
195,170,115,load,119.94,
196,171,115,load,193.794,
197,172,115,load,127.402,
198,173,115,load,161.906,
199,174,345,generator,0.0,
200,174,115,load,178.22,
201,175,115,load,78.398,
202,176,115,load_and_generator,192.642,ST2
203,177,115,load,185.626,
204,178,115,load,187.62800000000001,
205,179,345,generator,0.0,ESS98;1;2;MER01;S049;ST2
206,179,115,load,172.536,
207,180,115,load,138.198,
208,181,345,generator,0.0,
209,181,115,load,153.058,
210,182,115,load,180.038,
211,183,345,generator,0.0,
212,183,115,load,168.17600000000002,
213,184,115,load,117.242,
214,185,115,load,123.552,
215,186,115,load,141.916,
216,187,345,generator,0.0,
217,187,115,load,189.984,
218,188,115,load,128.62,
219,189,115,load,133.774,
220,190,345,generator,0.0,
221,190,115,load,171.61,
222,191,115,load,102.5,
223,192,115,load,173.478,
224,193,345,generator,0.0,
225,193,115,load,161.584,
226,194,115,load,1.478,
227,195,345,generator,0.0,
228,195,115,load,189.954,
229,196,115,load,160.222,
230,197,115,load_and_generator,173.284,14;12;13;11;10;9;GEN1;GEN2;GEN3;ST1
231,198,115,load_and_generator,184.812,CG1;CG2;CG3;CG4;CG5;SLBAB;GEN1;CTG;STG;DNN1;NRT1;CEDR1;GEN5
232,199,115,load,5.5920000000000005,
233,200,115,load,166.43800000000002,
234,201,115,load_and_generator,192.294,ND001;ND002;GEN2;GEN3;GEN4;U0007;GEN4;GEN3;C3245;ES006;ES007;S0001;S0002;S0003;GEN1;GEN2;GEN3;GEN4;GEN5;GEN6;HG01;HG02;18002
235,202,115,load,97.898,
236,203,115,load,192.622,
237,204,345,generator,0.0,
238,204,115,load,193.16400000000002,
239,205,115,load_and_generator,138.63,GEN1;3;2;CT5
240,206,115,load,11.984,
241,207,115,load,171.79,
242,208,115,load,7.272,
243,209,115,load,167.906,
244,210,115,load,68.708,
245,211,115,load,8.13,
246,212,115,load,154.002,
247,213,345,generator,0.0,
248,213,115,load,138.952,
249,214,115,load,165.116,
250,215,115,load,163.53,
251,216,115,load,23.896,
252,217,345,generator,0.0,
253,217,115,load,188.398,
254,218,115,load,160.302,
255,219,345,generator,0.0,
256,219,115,load,90.272,
257,220,115,load,177.94400000000002,
258,221,115,load,122.50200000000001,
259,222,115,load,5.8420000000000005,
260,223,345,generator,0.0,
261,223,115,load,173.328,
262,224,115,load,15.842,
263,225,115,load,192.38,
264,226,115,load,160.89600000000002,
265,227,345,generator,0.0,
266,227,115,load,146.302,
267,228,345,generator,0.0,
268,228,115,load,113.36200000000001,
269,229,115,load,100.258,
270,230,115,load,174.782,
271,231,115,load,164.96,
272,232,115,load,179.86,
273,233,115,load_and_generator,83.078,NECA;10016;MRT01;TRSP;10991;ONW;ONS;PV1;JR;81722;10998;SR5;FOX;GEN1;GEN2
274,234,115,load,134.764,
275,235,115,load,139.002,
276,236,115,load,180.064,
277,237,115,load,135.46,
278,238,115,load,71.214,
279,239,345,generator,0.0,
280,239,115,load,157.916,
281,240,345,generator,0.0,
282,240,115,load,178.93,
283,241,345,generator,0.0,
284,241,115,load,173.75,
285,242,115,load,1.556,
286,243,115,load,14.43,
287,244,345,generator,0.0,
288,244,115,load,174.236,
289,245,345,generator,0.0,
290,245,115,load,172.104,
291,246,115,load,170.626,
292,247,115,load,95.592,
293,248,115,load,0.768,
294,249,115,load,18.046,
295,250,345,generator,0.0,
296,250,115,load,149.94400000000002,
297,251,345,generator,0.0,
298,251,115,load,129.808,
299,252,115,load,34.7,
300,253,115,load,134.13,
301,254,345,generator,0.0,
302,254,115,load,58.524,
303,255,115,load,94.738,
304,256,345,generator,0.0,
305,256,115,load,184.97,
306,257,115,load,27.968,
307,258,115,load,111.162,
308,259,115,load,3.644,
309,260,115,load,13.008000000000001,
310,261,115,load,4.8500000000000005,
311,262,345,generator,0.0,
312,262,115,load,126.36,
313,263,115,load_and_generator,194.322,TWLL;RICH1;100;PV1;PV1;19;1;2;BO;10889;20206;GEN1;20205;DAUM;GEN10;GEN11;GEN9;GEN1;GEN2;GEN3;GEN4;GEN5;GEN6;GEN7;GEN8;28;29;29;GATES;BEALS;ALLIS;ARGOS;30;NYRWY;1;2;3;6081;FLS1;WT1;WT2;10997;GEN1;GEN2;65002;KNPPE;KNPPW;10;11;12;GE15;GE16;GE17;GE18;GE10;GE11;GE12;GE13;GE14;GEN1;GEN2;GEN3;GEN4;GEN5;GEN6;GEN7;GEN8;GEN9;1;10968;10975;MAINR;1
314,264,115,load,88.968,
315,265,115,load,177.79,
316,266,115,load_and_generator,152.732,GT2;GT3;GT4;GT5
317,267,115,load,168.43,
318,268,115,load,8.466,
319,269,115,load,4.25,
320,270,115,load,33.138,
321,271,115,load,34.58,
322,272,115,load,10.766,
323,273,345,generator,0.0,
324,273,115,load,121.202,
325,274,115,load,43.818,
326,275,115,load,138.354,
327,276,115,load,49.596000000000004,
