bus_id,lat,lng,mw_load,sub_name,sub_num
1,40.715776,-73.986211,148.726,Sub_1,1
2,40.731829,-73.989181,109.342,Sub_2,2
3,40.798452,-73.974414,121.428,Sub_3,3
4,40.798601,-73.966622,184.324,Sub_4,4
5,40.811407,-73.95306,129.456,Sub_5,5
6,40.791763,-73.94397,149.234,Sub_6,6
7,40.825288,-73.950045,120.56,Sub_7,7
8,40.850482,-73.934051,117.296,Sub_8,8
9,40.599263,-74.165748,179.876,Sub_9,9
10,40.837391,-73.923438,148.758,Sub_10,10
11,40.852319,-73.913512,157.716,Sub_11,11
12,40.829886,-73.908121,180.958,Sub_12,12
13,40.847162,-73.898663,149.358,Sub_13,13
14,40.862529,-73.888159,171.786,Sub_14,14
15,40.841767,-73.879577,115.028,Sub_15,15
16,40.843267,-73.860417,150.882,Sub_16,16
17,40.869953,-73.865765,201.734,Sub_17,17
18,40.86894,-73.899995,157.556,Sub_18,18
19,40.868609,-73.848134,145.1,Sub_19,19
20,40.829556,-73.86931,135.978,Sub_20,20
21,40.81869,-73.858474,119.254,Sub_21,21
22,41.118914,-74.048154,129.354,Sub_22,22
23,40.6937,-73.989859,129.596,Sub_23,23
24,40.64959,-73.934374,155.178,Sub_24,24
25,40.618777,-73.984831,151.68,Sub_25,25
26,40.701954,-73.942358,175.198,Sub_26,26
27,40.670757,-73.894209,181.734,Sub_27,27
28,40.66855,-73.870991,205.252,Sub_28,28
29,40.621993,-74.030134,136.736,Sub_29,29
30,40.628144,-73.946323,124.846,Sub_30,30
31,40.712597,-73.953098,209.122,Sub_31,31
32,40.662932,-73.913019,148.074,Sub_32,32
33,40.671079,-73.936342,134.764,Sub_33,33
34,40.599148,-73.99609,180.744,Sub_34,34
35,40.680769,-73.949313,119.134,Sub_35,35
36,40.643477,-73.976042,146.56,Sub_36,36
37,40.632667,-73.996669,175.624,Sub_37,37
38,40.641087,-74.016552,181.314,Sub_38,38
39,40.69134,-73.927879,171.16400000000002,Sub_39,39
40,40.597143,-73.973426,161.0,Sub_40,40
41,40.646448,-73.956649,192.66400000000002,Sub_41,41
42,40.601293,-73.944493,163.818,Sub_42,42
43,40.622164,-73.96511,174.376,Sub_43,43
44,40.678302,-73.919936,159.592,Sub_44,44
45,40.606436,-73.909725,180.744,Sub_45,45
46,40.639413,-73.900664,197.642,Sub_46,46
47,40.751463,-73.820996,162.716,Sub_47,47
48,40.749737,-73.853045,217.322,Sub_48,48
49,40.738843,-73.878539,192.99,Sub_49,49
50,40.720963,-73.84614,145.23,Sub_50,50
51,40.74482,-73.905161,164.042,Sub_51,51
52,40.700647,-73.889423,210.05,Sub_52,52
53,40.783807,-73.252273,125.776,Sub_53,53
54,41.047538,-71.946369,7.126,Sub_54,54
55,41.202434,-72.118732,2.0460000000000003,Sub_55,55
56,42.75747,-74.191095,9.222,Sub_56,56
57,43.269201,-74.228185,8.464,Sub_57,57
58,43.475631,-74.28541,1.374,Sub_58,58
59,42.52276,-74.043268,3.7760000000000002,Sub_59,59
60,41.591553,-74.995556,3.54,Sub_60,60
61,43.875794,-74.389767,0.428,Sub_61,61
62,43.195329,-73.691811,34.778,Sub_62,62
63,44.008384,-74.609231,0.8,Sub_63,63
64,43.841891,-74.034467,0.706,Sub_64,64
65,43.935796,-74.167522,0.6880000000000001,Sub_65,65
66,44.02701,-73.758053,0.488,Sub_66,66
67,43.746887,-73.417527,1.06,Sub_67,67
68,43.073715,-73.740236,77.464,Sub_68,68
69,43.83636,-73.553222,9.58,Sub_69,69
70,44.960319,-73.939419,1.11,Sub_70,70
71,44.950821,-74.329,4.76,Sub_71,71
72,44.235587,-73.823783,1.326,Sub_72,72
73,44.122772,-73.8835,0.628,Sub_73,73
74,44.206567,-74.046051,9.638,Sub_74,74
75,44.745352,-74.260037,30.938000000000002,Sub_75,75
76,44.710897,-74.09815,0.6940000000000001,Sub_76,76
77,44.563851,-74.524079,2.106,Sub_77,77
78,44.237346,-74.478375,11.856,Sub_78,78
79,44.520103,-74.069774,2.228,Sub_79,79
80,43.166437,-76.364345,67.874,Sub_80,80
81,42.76221,-75.763989,1.768,Sub_81,81
82,43.465706,-76.244786,13.188,Sub_82,82
83,42.755585,-76.387278,12.26,Sub_83,83
84,43.423243,-76.091802,6.634,Sub_84,84
85,43.556184,-76.138199,12.972,Sub_85,85
86,43.452005,-75.355443,11.344,Sub_86,86
87,43.320612,-74.961628,4.39,Sub_87,87
88,43.972873,-75.262642,3.524,Sub_88,88
89,43.866299,-74.880902,0.122,Sub_89,89
90,43.580319,-75.803835,0.652,Sub_90,90
91,43.237249,-74.74576,1.6,Sub_91,91
92,42.687707,-75.44229,8.244,Sub_92,92
93,42.917854,-75.363169,6.47,Sub_93,93
94,43.460774,-75.552463,1.076,Sub_94,94
95,43.968892,-75.906501,73.964,Sub_95,95
96,44.26094,-75.613698,3.396,Sub_96,96
97,44.870613,-74.750443,5.396,Sub_97,97
98,44.114766,-76.290981,3.0500000000000003,Sub_98,98
99,44.538101,-74.928377,2.94,Sub_99,99
100,43.830086,-75.734774,4.542,Sub_100,100
101,44.335388,-75.455879,20.11,Sub_101,101
102,44.150623,-75.318207,4.112,Sub_102,102
103,44.432661,-75.186773,3.088,Sub_103,103
104,43.738005,-75.86338,0.764,Sub_104,104
105,44.933698,-74.883295,32.358000000000004,Sub_105,105
106,44.04846,-75.434366,1.252,Sub_106,106
107,44.668123,-75.483114,31.740000000000002,Sub_107,107
108,44.167379,-75.116735,0.9520000000000001,Sub_108,108
109,44.470543,-74.660706,0.878,Sub_109,109
110,44.356596,-75.013141,1.684,Sub_110,110
111,44.439018,-74.838177,0.916,Sub_111,111
112,43.985747,-76.246105,0.8160000000000001,Sub_112,112
113,44.754714,-74.810347,3.552,Sub_113,113
114,42.30696,-74.926915,11.022,Sub_114,114
115,42.088461,-75.447935,5.766,Sub_115,115
116,42.359214,-75.759499,10.916,Sub_116,116
117,41.993662,-75.266006,5.3180000000000005,Sub_117,117
118,42.456883,-76.067124,8.262,Sub_118,118
119,42.234926,-76.164054,7.976,Sub_119,119
120,42.547866,-75.530855,25.802,Sub_120,120
121,42.483412,-75.036892,44.314,Sub_121,121
122,42.437694,-75.627357,10.238,Sub_122,122
123,42.033057,-75.617207,12.406,Sub_123,123
124,43.157758,-78.701995,99.584,Sub_124,124
125,43.235972,-78.216477,27.342000000000002,Sub_125,125
126,42.856357,-77.303497,56.11,Sub_126,126
127,42.570141,-77.733764,22.548000000000002,Sub_127,127
128,43.205212,-78.057685,14.662,Sub_128,128
129,42.645223,-77.39977,9.084,Sub_129,129
130,42.964101,-77.032088,7.996,Sub_130,130
131,42.765059,-76.848967,9.168000000000001,Sub_131,131
132,42.735221,-78.171092,11.82,Sub_132,132
133,42.356494,-77.982064,2.842,Sub_133,133
134,42.183745,-79.361923,6.102,Sub_134,134
135,42.046328,-79.66983,5.446,Sub_135,135
136,42.32905,-78.428611,8.544,Sub_136,136
137,42.055006,-79.084541,6.638,Sub_137,137
138,42.192604,-78.146295,4.8420000000000005,Sub_138,138
139,42.233756,-78.804596,6.292,Sub_139,139
140,42.490667,-77.026107,11.894,Sub_140,140
141,42.320079,-77.646339,24.894000000000002,Sub_141,141
142,42.02979,-77.134956,2.464,Sub_142,142
143,42.34315,-76.618094,10.862,Sub_143,143
144,42.08144,-77.940922,17.914,Sub_144,144
145,42.020695,-77.792636,1.544,Sub_145,145
146,42.053364,-77.4295,3.544,Sub_146,146
147,41.17426662499999,-74.127691325,0.0,Sub_147,147
148,40.77591925827853,-73.98333432927895,137.464,Sub_148,148
149,40.74279561909324,-73.97994382997435,175.35,Sub_149,149
150,40.756515270156804,-73.96947999561284,95.278,Sub_150,150
151,40.77534991791679,-73.95430344835847,143.586,Sub_151,151
152,40.76252636991219,-73.98878598145005,163.774,Sub_152,152
