substation_id,lat,lng,mw_load,assigned_generators,total_assigned_gen_mw,substation_type,has_high_voltage_345kv,has_high_voltage_115kv
1,40.715776,-73.986211,148.726,,0.0,A,False,True
2,40.731829,-73.989181,109.342,,0.0,A,False,True
3,40.798452,-73.974414,121.428,,0.0,A,False,True
4,40.798601,-73.966622,184.324,,0.0,A,True,True
5,40.811407,-73.95306,129.456,,0.0,A,False,True
6,40.791763,-73.94397,149.234,,0.0,A,False,True
7,40.825288,-73.950045,120.56,,0.0,A,False,True
8,40.850482,-73.934051,117.296,,0.0,A,False,True
9,40.599263,-74.165748,179.876,,0.0,A,True,True
10,40.837391,-73.923438,148.758,,0.0,A,False,True
11,40.852319,-73.913512,157.716,,0.0,A,False,True
12,40.829886,-73.908121,180.958,CA01,188.0,B,True,True
13,40.847162,-73.898663,149.358,,0.0,A,False,True
14,40.862529,-73.888159,171.786,,0.0,A,False,True
15,40.841767,-73.879577,115.028,,0.0,A,False,True
16,40.843267,-73.860417,150.882,,0.0,A,True,True
17,40.869953,-73.865765,201.734,A1;A2;A3;B1;B2;B3;HR01;HR02,101.0,B,False,True
18,40.86894,-73.899995,157.556,,0.0,A,False,True
19,40.868609,-73.848134,145.1,,0.0,A,False,True
20,40.829556,-73.86931,135.978,,0.0,A,False,True
21,40.81869,-73.858474,119.254,,0.0,A,True,True
22,41.118914,-74.048154,129.354,,0.0,A,False,True
23,40.6937,-73.989859,129.596,,0.0,A,True,True
24,40.64959,-73.934374,155.178,,0.0,A,False,True
25,40.618777,-73.984831,151.68,,0.0,A,False,True
26,40.701954,-73.942358,175.198,N01;01,168.0,B,False,True
27,40.670757,-73.894209,181.734,,0.0,A,False,True
28,40.66855,-73.870991,205.252,,0.0,A,True,True
29,40.621993,-74.030134,136.736,,0.0,A,False,True
30,40.628144,-73.946323,124.846,,0.0,A,False,True
31,40.712597,-73.953098,209.122,,0.0,A,False,True
32,40.662932,-73.913019,148.074,,0.0,A,True,True
33,40.671079,-73.936342,134.764,,0.0,A,True,True
34,40.599148,-73.99609,180.744,NT11;NT12;NT13;NT14,88.0,B,False,True
35,40.680769,-73.949313,119.134,,0.0,A,False,True
36,40.643477,-73.976042,146.56,,0.0,A,True,True
37,40.632667,-73.996669,175.624,,0.0,A,False,True
38,40.641087,-74.016552,181.314,,0.0,A,False,True
39,40.69134,-73.927879,171.16400000000002,,0.0,A,False,True
40,40.597143,-73.973426,161.0,DG2;DG3;DG4;DG5;SDM00;NT15;NT16;NT17;NT18,102.6,B,True,True
41,40.646448,-73.956649,192.66400000000002,,0.0,A,False,True
42,40.601293,-73.944493,163.818,,0.0,A,False,True
43,40.622164,-73.96511,174.376,,0.0,A,False,True
44,40.678302,-73.919936,159.592,,0.0,A,True,True
45,40.606436,-73.909725,180.744,,0.0,A,False,True
46,40.639413,-73.900664,197.642,,0.0,A,False,True
47,40.751463,-73.820996,162.716,,0.0,A,True,True
48,40.749737,-73.853045,217.322,,0.0,A,False,True
49,40.738843,-73.878539,192.99,CT3,200.0,B,False,True
50,40.720963,-73.84614,145.23,,0.0,A,False,True
51,40.74482,-73.905161,164.042,,0.0,A,True,True
52,40.700647,-73.889423,210.05,,0.0,A,True,True
53,40.783807,-73.252273,125.776,,0.0,A,False,True
54,41.047538,-71.946369,7.126,,0.0,A,False,True
55,41.202434,-72.118732,2.0460000000000003,,0.0,A,False,True
56,42.75747,-74.191095,9.222,,0.0,A,False,True
57,43.269201,-74.228185,8.464,,0.0,A,False,True
58,43.475631,-74.28541,1.374,,0.0,A,False,True
59,42.52276,-74.043268,3.7760000000000002,,0.0,A,True,True
60,41.591553,-74.995556,3.54,,0.0,A,False,True
61,43.875794,-74.389767,0.428,,0.0,A,False,True
62,43.195329,-73.691811,34.778,,0.0,A,False,True
63,44.008384,-74.609231,0.8,,0.0,A,False,True
64,43.841891,-74.034467,0.706,,0.0,A,False,True
65,43.935796,-74.167522,0.6880000000000001,,0.0,A,False,True
66,44.02701,-73.758053,0.488,,0.0,A,False,True
67,43.746887,-73.417527,1.06,,0.0,A,False,True
68,43.073715,-73.740236,77.464,,0.0,A,False,True
69,43.83636,-73.553222,9.58,,0.0,A,False,True
70,44.960319,-73.939419,1.11,,0.0,A,False,True
71,44.950821,-74.329,4.76,,0.0,A,False,True
72,44.235587,-73.823783,1.326,,0.0,A,False,True
73,44.122772,-73.8835,0.628,,0.0,A,False,True
74,44.206567,-74.046051,9.638,,0.0,A,False,True
75,44.745352,-74.260037,30.938000000000002,,0.0,A,False,True
76,44.710897,-74.09815,0.6940000000000001,,0.0,A,False,True
77,44.563851,-74.524079,2.106,,0.0,A,False,True
78,44.237346,-74.478375,11.856,,0.0,A,False,True
79,44.520103,-74.069774,2.228,,0.0,A,False,True
80,43.166437,-76.364345,67.874,,0.0,A,False,True
81,42.76221,-75.763989,1.768,,0.0,A,False,True
82,43.465706,-76.244786,13.188,,0.0,A,False,True
83,42.755585,-76.387278,12.26,,0.0,A,False,True
84,43.423243,-76.091802,6.634,,0.0,A,True,True
85,43.556184,-76.138199,12.972,,0.0,A,False,True
86,43.452005,-75.355443,11.344,,0.0,A,False,True
87,43.320612,-74.961628,4.39,,0.0,A,False,True
88,43.972873,-75.262642,3.524,,0.0,A,False,True
89,43.866299,-74.880902,0.122,,0.0,A,False,True
90,43.580319,-75.803835,0.652,,0.0,A,False,True
91,43.237249,-74.74576,1.6,,0.0,A,False,True
92,42.687707,-75.44229,8.244,,0.0,A,False,True
