bus_id,substation_id,voltage_kv,role,connected_load_mw,connected_generator_ids
1,1,115,load,147.832,
2,2,115,load,104.462,
3,3,115,load,115.026,
4,4,115,load_and_generator,85.912,H7961;H7962;H7963;GEN1;H7941;H7942;H7943;GEN1;GEN2;GEN3;GEN1;H7901;H7902;H7903;GEN1;GEN1;GEN2;GEN3;3
5,5,115,load,86.274,
6,6,115,load,101.846,
7,7,115,load,86.08200000000001,
8,8,115,load,109.306,
9,9,345,generator,0.0,
10,9,115,load,232.31,
11,10,345,generator,0.0,
12,10,115,load,160.538,
13,11,115,load,123.016,
14,12,345,generator,0.0,
15,12,115,load,125.44200000000001,
16,13,115,load,86.38,
17,14,345,generator,0.0,
18,14,115,load,82.634,
19,15,115,load_and_generator,188.12,GEN1;GEN2;GEN3;6;GER01
20,16,345,generator,0.0,
21,16,115,load,119.348,
22,17,115,load,98.614,
23,18,115,load,107.96600000000001,
24,19,115,load,98.592,
25,20,115,load,79.662,
26,21,115,load,134.394,
27,22,115,load_and_generator,139.312,GEN1;H7891;H7892;H7893;CSS1;1;TOYHQ;5
28,23,115,load,218.17000000000002,
29,24,115,load,125.538,
30,25,345,generator,0.0,
31,25,115,load,106.918,
32,26,115,load,107.416,
33,27,345,generator,0.0,
34,27,115,load,81.65,
35,28,115,load,73.436,
36,29,345,generator,0.0,
37,29,115,load,51.464,
38,30,345,generator,0.0,
39,30,115,load,95.816,
40,31,115,load,30.716,
41,32,115,load,8.3,
42,33,345,generator,0.0,
43,33,115,load,106.236,
44,34,115,load_and_generator,57.802,GT1
45,35,115,load,104.156,
46,36,345,generator,0.0,
47,36,115,load,43.492000000000004,
48,37,115,load,28.672,
49,38,115,load,13.902000000000001,
50,39,345,generator,0.0,
51,39,115,load,123.726,
52,40,115,load,25.874,
53,41,345,generator,0.0,
54,41,115,load,155.84,
55,42,115,load,108.506,
56,43,115,load,173.622,
57,44,115,load,82.22,
58,45,115,load,121.264,
59,46,115,load,150.606,
60,47,345,generator,0.0,
61,47,115,load,136.506,
62,48,115,load,110.12,
63,49,115,load,8.664,
64,50,115,load,1.48,
65,51,115,load,1.318,
66,52,115,load,6.168,
67,53,115,load,5.782,
68,54,345,generator,0.0,
69,54,115,load,8.354000000000001,
70,55,115,load,6.83,
71,56,115,load,0.394,
72,57,115,load,5.322,
73,58,115,load,55.4,
74,59,115,load,6.886,
75,60,115,load,31.824,
76,61,115,load,2.062,
77,62,115,load,50.216,
78,63,115,load,7.926,
79,64,115,load,22.536,
80,65,115,load,10.526,
81,66,115,load,2.34,
82,67,115,load,8.45,
83,68,115,load,21.406,
84,69,115,load,2.738,
85,70,115,load,4.208,
86,71,115,load,25.662,
87,72,115,load,10.212,
88,73,115,load,27.766000000000002,
89,74,115,load_and_generator,20.786,SOLAR;GEN1
90,75,115,load,32.156,
91,76,115,load,9.794,
92,77,115,load,14.548,
93,78,115,load,5.172,
94,79,115,load,2.664,
95,80,115,load,32.96,
96,81,115,load,4.8500000000000005,
97,82,345,generator,0.0,
98,82,115,load,26.966,
99,83,115,load,8.774000000000001,
100,84,115,load,34.712,
101,85,115,load,16.042,
102,86,115,load,9.61,
103,87,115,load,27.282,
104,88,115,load,15.014000000000001,
105,89,115,load,5.104,
106,90,115,load,28.61,
107,91,115,load,0.22,
108,92,115,load,16.236,
109,93,115,load,21.862000000000002,
110,94,115,load,16.758,
111,95,115,load,5.722,
112,96,115,load,31.616,
113,97,115,load,43.022,
114,98,115,load,12.31,
115,99,115,load,4.896,
116,100,345,generator,0.0,
117,100,115,load,22.85,
118,101,115,load,1.358,
119,102,115,load,12.796000000000001,
120,103,115,load,12.594,
121,104,115,load,6.258,
122,105,115,load,3.49,
123,106,115,load,2.774,
124,107,115,load,9.832,
125,108,115,load,7.268,
126,109,115,load,5.904,
127,110,115,load,0.342,
128,111,115,load,3.65,
129,112,115,load,12.702,
130,113,115,load,20.23,
131,114,345,generator,0.0,
132,114,115,load,58.296,
133,115,115,load,70.416,
134,116,115,load,7.8260000000000005,
135,117,115,load,2.414,
136,118,115,load,2.636,
137,119,115,load,3.306,
138,120,115,load,3.934,
139,121,115,load,3.2560000000000002,
140,122,115,load,2.098,
141,123,115,load,25.988,
142,124,115,load,1.9020000000000001,
143,125,115,load,4.8500000000000005,
144,126,115,load,17.474,
145,127,115,load,2.676,
146,128,115,load,12.144,
147,129,115,load,17.036,
148,130,115,load,32.308,
149,131,115,load,5.268,
150,132,345,generator,0.0,
