bus_id,sub_name,lat,lng,mw_load,target_gen_mw,assigned_gen_mw,shortfall_mw,num_generators,generator_ids,generator_capacities
941,Sub_941,32.28020344827586,-98.19735175862068,61.712,106.73941588530751,153.3,0.0,2,BWIND;1,100.5;52.8
546,Sub_546,30.505414,-97.647284,127.322,112.67146450203008,115.3,0.0,13,H5911;H5912;H5913;H5914;GEN1;GEN2;GEN3;GEN1;GEN2;GEN3;PV;1;TX12,0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;1.4;9.9;100.0
1043,Sub_1043,32.083366776992285,-96.53266688962081,62.24,127.50986315601634,127.80000000000001,0.0,3,TXBC1;GEN1;GEN2,127.0;0.4;0.4
880,Sub_880,29.996444997054038,-95.38599189582504,110.66,164.21860467917557,240.0,0.0,29,GEN1;GEN2;GEN3;GEN1;GEN2;GEN3;CUT1;CUT10;CUT11;CUT12;CUT13;CUT14;CUT15;CUT2;CUT3;CUT4;CUT5;CUT6;CUT7;CUT8;CUT9;GEN1;GEN2;GEN3;GE N3;GEN1;GEN2;3;4,0.4;0.4;0.4;0.4;0.4;0.4;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.4;0.4;0.4;0.4;0.4;0.4;113.1;113.1
74,Sub_74,32.688692,-94.871843,20.786,9.231618441715964,173.0,0.0,2,SOLAR;GEN1,3.0;170.0
1226,Sub_1226,31.074197719777672,-97.24976283151922,34.544000000000004,89.43200152731424,339.2,0.0,1,STG-1,339.2
930,Sub_930,29.346775372900108,-98.87460876048686,19.882,33.51838867054527,89.0,0.0,13,H0851;H0852;H0853;H0854;UNIT1;UNIT2;UNIT3;UNIT4;1;2;BA1;PV1;CGT1,0.4;0.4;0.4;0.4;1.1;1.1;1.1;1.1;5.6;5.0;10.0;5.0;57.4
954,Sub_954,31.92552062274713,-102.33396740730628,131.832,233.61091972562613,244.5,0.0,20,GEN1;GEN2;GEN3;ODSA;NMF1;NMF10;NMF11;NMF12;NMF13;NMF14;NMF15;NMF2;NMF3;NMF4;NMF5;NMF6;NMF7;NMF8;NMF9;STG1,0.4;0.4;0.4;9.9;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;224.4
152,Sub_152,32.691147,-97.262625,104.558,49.69822443003564,456.2,0.0,4,GEN1;GEN2;GEN3;4,0.4;0.4;0.4;455.0
554,Sub_554,30.206851,-97.797381,126.574,114.61732755559453,128.1,0.0,5,1;2;GEN8;GEN10;GEN9,9.0;9.0;48.5;34.4;27.2
