substation_id,lat,lng,mw_load,assigned_generators,total_assigned_gen_mw,substation_type,has_high_voltage_345kv,has_high_voltage_115kv
1,33.089854,-96.6086,147.832,,0.0,A,False,True
2,32.962141,-96.898585,104.462,,0.0,A,False,True
3,33.005262,-96.896742,115.026,,0.0,A,False,True
4,33.114327,-96.693964,85.912,H7961;H7962;H7963;GEN1;H7941;H7942;H7943;GEN1;GEN2;GEN3;GEN1;H7901;H7902;H7903;GEN1;GEN1;GEN2;GEN3;3,166.5,B,False,True
5,32.963417,-96.984664,86.274,,0.0,A,False,True
6,33.056789,-96.730859,101.846,,0.0,A,False,True
7,33.075422,-96.802686,86.08200000000001,,0.0,A,False,True
8,33.090085,-96.740008,109.306,,0.0,A,False,True
9,33.149434,-96.860974,232.31,,0.0,A,True,True
10,33.157388,-96.778665,160.538,,0.0,A,True,True
11,32.928902,-96.619782,123.016,,0.0,A,False,True
12,32.857447,-96.575798,125.44200000000001,,0.0,A,True,True
13,32.773069,-97.005227,86.38,,0.0,A,False,True
14,32.729439,-96.996469,82.634,,0.0,A,True,True
15,32.664684,-97.029478,188.12,GEN1;GEN2;GEN3;6;GER01,216.89999999999998,B,False,True
16,33.070183,-96.917762,119.348,,0.0,A,True,True
17,32.796483,-96.954806,98.614,,0.0,A,False,True
18,32.825907,-96.966915,107.96600000000001,,0.0,A,False,True
19,32.84737,-96.957871,98.592,,0.0,A,False,True
20,32.920035,-96.984164,79.662,,0.0,A,False,True
21,33.013747,-97.000171,134.394,,0.0,A,False,True
22,33.172654,-96.9517,139.312,GEN1;H7891;H7892;H7893;CSS1;1;TOYHQ;5,80.4,B,False,True
23,33.171698,-96.695086,218.17000000000002,,0.0,A,False,True
24,33.245816,-96.63072,125.538,,0.0,A,False,True
25,33.031561,-96.673164,106.918,,0.0,A,True,True
26,32.976063,-96.74208,107.416,,0.0,A,False,True
27,32.948918,-96.709719,81.65,,0.0,A,True,True
28,32.942177,-96.452525,73.436,,0.0,A,False,True
29,33.604131,-96.550405,51.464,,0.0,A,True,True
30,33.034224,-96.811608,95.816,,0.0,A,True,True
31,32.51693,-95.883547,30.716,,0.0,A,False,True
32,32.042784,-96.343754,8.3,,0.0,A,False,True
33,32.599427,-96.864075,106.236,,0.0,A,True,True
34,32.32695,-96.589539,57.802,GT1,285.0,B,False,True
35,32.742601,-96.452883,104.156,,0.0,A,False,True
36,32.568163,-96.250214,43.492000000000004,,0.0,A,True,True
37,32.364579,-96.244987,28.672,,0.0,A,False,True
38,32.436676,-96.079558,13.902000000000001,,0.0,A,False,True
39,32.817399,-96.630416,123.726,,0.0,A,True,True
40,32.703269,-95.994666,25.874,,0.0,A,False,True
41,32.736827,-96.907506,155.84,,0.0,A,True,True
42,32.711324,-96.781215,108.506,,0.0,A,False,True
43,32.710306,-96.678549,173.622,,0.0,A,False,True
44,32.868529,-96.876118,82.22,,0.0,A,False,True
45,32.76681,-96.6869,121.264,,0.0,A,False,True
46,32.824924,-96.679438,150.606,,0.0,A,False,True
47,32.912633,-96.736637,136.506,,0.0,A,True,True
48,32.999309,-96.841688,110.12,,0.0,A,False,True
49,32.790203,-95.631982,8.664,,0.0,A,False,True
50,33.857959,-95.64937,1.48,,0.0,A,False,True
51,33.801868,-95.151966,1.318,,0.0,A,False,True
52,33.141516,-95.934235,6.168,,0.0,A,False,True
53,33.321715,-96.378507,5.782,,0.0,A,False,True
54,33.663063,-94.997258,8.354000000000001,,0.0,A,True,True
55,33.615093,-95.900092,6.83,,0.0,A,False,True
56,33.40225,-95.483203,0.394,,0.0,A,False,True
57,32.997657,-95.932679,5.322,,0.0,A,False,True
58,33.216815,-94.975144,55.4,,0.0,A,False,True
59,33.815579,-95.488005,6.886,,0.0,A,False,True
60,32.924005,-96.109433,31.824,,0.0,A,False,True
61,33.708311,-96.240654,2.062,,0.0,A,False,True
62,33.167968,-95.608224,50.216,,0.0,A,False,True
63,32.924728,-95.568154,7.926,,0.0,A,False,True
64,33.119332,-94.220491,22.536,,0.0,A,False,True
65,33.503694,-94.627358,10.526,,0.0,A,False,True
66,33.185033,-94.36393,2.34,,0.0,A,False,True
67,33.002696,-94.383454,8.45,,0.0,A,False,True
68,33.459359,-94.439042,21.406,,0.0,A,False,True
69,33.325004,-94.550659,2.738,,0.0,A,False,True
70,32.867555,-94.549488,4.208,,0.0,A,False,True
71,32.138496,-94.274156,25.662,,0.0,A,False,True
72,33.020475,-94.729699,10.212,,0.0,A,False,True
73,32.791213,-94.999846,27.766000000000002,,0.0,A,False,True
74,32.688692,-94.871843,20.786,SOLAR;GEN1,173.0,B,False,True
75,32.239409,-94.728328,32.156,,0.0,A,False,True
76,33.011304,-94.572161,9.794,,0.0,A,False,True
77,32.794973,-94.310306,14.548,,0.0,A,False,True
78,32.631317,-94.171261,5.172,,0.0,A,False,True
79,32.038799,-94.57588,2.664,,0.0,A,False,True
80,32.468303,-94.299079,32.96,,0.0,A,False,True
81,31.925449,-94.704029,4.8500000000000005,,0.0,A,False,True
