transformer_id,substation_id,from_bus_id,to_bus_id,from_kv,to_kv,rating_mva
1,9,9,10,345,115,278.772
2,10,11,12,345,115,192.6456
3,12,14,15,345,115,150.53040000000001
4,14,17,18,345,115,99.1608
5,16,20,21,345,115,143.2176
6,25,30,31,345,115,128.3016
7,27,33,34,345,115,97.98
8,29,36,37,345,115,61.7568
9,30,38,39,345,115,114.9792
10,33,42,43,345,115,127.4832
11,36,46,47,345,115,52.190400000000004
12,39,50,51,345,115,148.47119999999998
13,41,53,54,345,115,187.008
14,47,60,61,345,115,163.8072
15,54,68,69,345,115,50.0
16,82,97,98,345,115,50.0
17,100,116,117,345,115,50.0
18,114,131,132,345,115,69.95519999999999
19,132,150,151,345,115,50.0
20,140,159,160,345,115,142.8624
21,152,172,173,345,115,672.9096000000001
22,153,174,175,345,115,235.1448
23,156,178,179,345,115,165.7584
24,163,186,187,345,115,189.15599999999998
25,168,192,193,345,115,98.7792
26,181,206,207,345,115,50.0
27,213,239,240,345,115,518.3087999999999
28,214,241,242,345,115,50.0
29,256,284,285,345,115,50.0
30,296,325,326,345,115,92.9352
31,298,328,329,345,115,165.96959999999999
32,303,334,335,345,115,93.396
33,307,339,340,345,115,95.8824
34,309,342,343,345,115,301.236
35,313,347,348,345,115,124.27439999999999
36,314,349,350,345,115,347.856
37,315,351,352,345,115,259.58639999999997
38,321,358,359,345,115,483.49440000000004
39,322,360,361,345,115,120.7824
40,323,362,363,345,115,65.94
41,331,371,372,345,115,299.6928
42,338,379,380,345,115,91.7592
43,343,385,386,345,115,147.3168
44,345,388,389,345,115,50.0
45,346,390,391,345,115,50.0
46,349,394,395,345,115,226.428
47,354,400,401,345,115,181.80479999999997
48,358,405,406,345,115,303.144
49,364,412,413,345,115,145.6872
50,366,415,416,345,115,83.0472
51,372,422,423,345,115,54.7728
52,374,425,426,345,115,99.13199999999999
53,375,427,428,345,115,220.7832
54,382,435,436,345,115,50.0
55,384,438,439,345,115,96.53760000000001
56,392,447,448,345,115,143.28
57,429,485,486,345,115,113.2968
58,433,490,491,345,115,352.1424
59,455,513,514,345,115,80.0832
60,466,525,526,345,115,1244.7311999999997
61,470,530,531,345,115,151.0824
62,476,537,538,345,115,185.5632
63,480,542,543,345,115,366.46799999999996
64,491,554,555,345,115,50.0
65,496,560,561,345,115,105.6336
66,499,564,565,345,115,146.8368
67,508,574,575,345,115,124.85279999999999
68,511,578,579,345,115,192.324
69,512,580,581,345,115,434.72640000000007
70,518,587,588,345,115,142.464
71,528,598,599,345,115,201.3024
72,534,605,606,345,115,50.0
73,545,617,618,345,115,244.6488
74,548,621,622,345,115,499.78560000000004
75,553,627,628,345,115,123.4128
76,556,631,632,345,115,121.38
77,676,752,753,345,115,50.0
78,697,774,775,345,115,101.64959999999999
79,728,806,807,345,115,92.7456
80,778,857,858,345,115,199.9824
81,780,860,861,345,115,156.12480000000002
82,782,863,864,345,115,134.60639999999998
83,783,865,866,345,115,137.4984
84,786,869,870,345,115,111.4032
85,788,872,873,345,115,152.1144
86,796,881,882,345,115,130.632
87,797,883,884,345,115,127.17360000000001
88,801,888,889,345,115,157.1568
89,802,890,891,345,115,827.4527999999999
90,811,900,901,345,115,439.608
91,820,910,911,345,115,128.9112
92,822,913,914,345,115,138.23760000000001
93,824,916,917,345,115,153.29999999999998
94,826,919,920,345,115,126.54480000000001
95,829,923,924,345,115,100.056
96,831,926,927,345,115,160.44480000000001
97,832,928,929,345,115,145.91039999999998
98,844,941,942,345,115,325.86719999999997
99,846,944,945,345,115,138.6792
100,850,949,950,345,115,673.7016
101,852,952,953,345,115,96.264
