feature_id|feature_name|feature_class|state_name|state_numeric|county_name|county_numeric|map_name|date_created|date_edited|bgn_type|bgn_authority|bgn_date|prim_lat_dms|prim_long_dms|prim_lat_dec|prim_long_dec|source_lat_dms|source_long_dms|source_lat_dec|source_long_dec
48319|Cypress Slough|Stream|Arkansas|05|Miller|091|Domino|04/30/1980|||||331611N|0940229W|33.2698504|-94.0412961|331406N|0940330W|33.2351288|-94.0582407
48404|Days Creek|Stream|Arkansas|05|Miller|091|Doddridge NW|04/30/1980|||||331406N|0935802W|33.2351291|-93.9671269|332444N|0940251W|33.4123475|-94.0474101
51859|McKinney Bayou|Stream|Arkansas|05|Miller|091|Doddridge NE|04/30/1980|12/09/2011|Official|Board Decision|06/06/1928|330857N|0935018W|33.1492976|-93.8382349|333225N|0940726W|33.5404|-94.1238038
52781|Nix Creek|Stream|Arkansas|05|Miller|091|Texarkana|04/30/1980|||||332445N|0940251W|33.4126253|-94.0474101|332810N|0940134W|33.4694444|-94.0261111
54132|Rocky Creek|Stream|Arkansas|05|Miller|091|Domino|04/30/1980|06/10/2015||||332141N|0940245W|33.3615152|-94.0457425|332501N|0935818W|33.4170698|-93.9715745
55179|State Line Creek|Stream|Louisiana|22|Caddo|017|McLeod|06/04/1980|||||325810N|0940131W|32.9695797|-94.0251815|330759N|0940353W|33.1331866|-94.0646285
60151|Old River Lake|Lake|Arkansas|05|Little River|081|Foreman|12/01/1991|||||333835N|0942701W|33.6431721|-94.4502044|||0.0|0.0
78492|Sulphur River|Stream|Arkansas|05|Miller|091|Doddridge SE|04/30/1980|12/09/2011|Official|Board Decision|03/04/1914|330536N|0935142W|33.0934657|-93.8615681|332336N|0952120W|33.3933333|-95.3555556
120697|Intracoastal Waterway|Channel|Alabama|01|Baldwin|003|Fort Pulaski|09/04/1980|09/23/2018|Official|Board Decision|01/01/1931|320438N|0805702W|32.0771546|-80.9506666|||0.0|0.0
258692|Cooper Pocket|Census|Texas|48|Maverick|323|Eagle Pass East|01/19/1981|08/08/2023||||283926N|1002519W|28.6573039|-100.4219933|||0.0|0.0
533169|Black Bayou|Stream|Louisiana|22|Caddo|017|Mooringsport|06/04/1980|07/31/2018||||324217N|0935447W|32.7047064|-93.9131314|331309N|0941031W|33.219192|-94.1752771
533537|Bullard Creek|Stream|Louisiana|22|Caddo|017|Latex|06/04/1980|06/22/2018||||323108N|0940152W|32.5187632|-94.031018|323246N|0940956W|32.5460259|-94.1656005
533797|Carter Creek|Stream|Louisiana|22|Beauregard|011|Shoats Creek|06/04/1980|||||302748N|0934215W|30.4632585|-93.7040597|302932N|0933944W|30.4922222|-93.6622222
533983|Clear Creek|Stream|Louisiana|22|Caddo|017|McLeod|06/04/1980|04/22/2015||||325811N|0940131W|32.9698575|-94.0251815|325816N|0940426W|32.9712256|-94.0738475
534278|Cross Bayou|Stream|Louisiana|22|Calcasieu|019|Echo|06/04/1980|||||301420N|0934143W|30.2388176|-93.6951642|301522N|0934222W|30.2560395|-93.7059981
534281|Cross Bayou|Stream|Louisiana|22|Caddo|017|Bossier City|06/04/1980|04/24/2015||||323112N|0934448W|32.5198831|-93.7465658|322550N|0940855W|32.4304604|-94.1484921
535183|Garrison Creek|Stream|Louisiana|22|De Soto|031|Galloway|06/04/1980|||||320020N|0940301W|32.0054442|-94.0501912|320757N|0940113W|32.1323855|-94.0201884
535872|Hurricane Creek|Stream|Louisiana|22|Caddo|017|McLeod|06/04/1980|04/24/2015||||325922N|0940157W|32.9893921|-94.0323882|325814N|0940525W|32.9704561|-94.0903239
535988|Jackson Cutoff|Bend|Louisiana|22|Calcasieu|019|Echo|06/04/1980|02/23/2015||||301135N|0934247W|30.1929855|-93.7129427|||0.0|0.0
535989|Jackson Island|Island|Louisiana|22|Calcasieu|019|Echo|06/04/1980|||||301137N|0934235W|30.1935409|-93.7096092|||0.0|0.0
535997|James Bayou|Stream|Louisiana|22|Caddo|017|Potters Point|06/04/1980|||||324317N|0940139W|32.7212551|-94.0274049|325222N|0940723W|32.8729159|-94.1229625
536528|Little Creek|Stream|Texas|48|Panola|365|Old Panola|06/04/1980|03/28/2011||||320825N|0940354W|32.140163|-94.0649118|321433N|0940006W|32.242588|-94.001706
537097|Mill Creek|Stream|Texas|48|Panola|365|Galloway|06/04/1980|08/13/2019||||320448N|0940706W|32.079938|-94.118221|321938N|0940224W|32.327358|-94.040051
537511|Myrtis Mill Creek|Stream|Louisiana|22|Caddo|017|Vivian North|06/04/1980|||||325518N|0935839W|32.9218039|-93.9774028|325604N|0940309W|32.9345808|-94.0524046
537847|Old River|Stream|Louisiana|22|Beauregard|011|Bon Wier|06/04/1980|||||303808N|0934050W|30.6354797|-93.6804519|304309N|0933659W|30.7190901|-93.6162854
543380|Latex|Populated Place|Louisiana|22|Caddo|017|Latex|06/04/1980|06/07/2022||||323617N|0940235W|32.604593|-94.0429621|||0.0|0.0
544750|Salem Ferry (historical)|Crossing|Louisiana|22|Beauregard|011|Bancroft|09/01/1992|||||303358N|0934341W|30.5660359|-93.7279516|||0.0|0.0
544953|Ward Five|Civil|Louisiana|22|Calcasieu|019|Starks|01/01/2000|||||301935N|0933944W|30.3263157|-93.6621099|||0.0|0.0
544970|Johnsons Bayou Ward Five|Civil|Louisiana|22|Cameron|023|Peveto Beach|01/01/2000|||||295100N|0933701W|29.8499407|-93.6168262|||0.0|0.0
544997|Ward Three|Civil|Louisiana|22|De Soto|031|Hunter|01/01/2000|||||315731N|0934934W|31.9584992|-93.8260192|||0.0|0.0
545002|Ward Eight|Civil|Louisiana|22|De Soto|031|Logansport East|01/01/2000|||||315925N|0935901W|31.9901666|-93.9835228|||0.0|0.0
545196|Ward Three|Civil|Louisiana|22|Sabine|085|Negreet|01/01/2000|||||312801N|0933617W|31.4668452|-93.6046229|||0.0|0.0
545199|Ward Six|Civil|Louisiana|22|Sabine|085|Converse|01/01/2000|||||314558N|0934408W|31.7660038|-93.735462|||0.0|0.0
545414|Clines Ferry (historical)|Crossing|Louisiana|22|Beauregard|011|Merryville North|11/01/1992|||||304639N|0933504W|30.7774224|-93.5843409|||0.0|0.0
546098|Darnell Ferry (historical)|Crossing|Louisiana|22|Sabine|085|East Hamilton|01/01/1993|||||313653N|0934911W|31.6146204|-93.8196306|||0.0|0.0
546115|Gilcrease Ferry (historical)|Crossing|Louisiana|22|Sabine|085|Salter Creek|01/01/1993|||||312329N|0934017W|31.3912929|-93.671291|||0.0|0.0
546116|Gordon Shoals|Bar|Louisiana|22|Sabine|085|Negreet SW|01/01/1993|||||312141N|0933843W|31.3612936|-93.6451787|||0.0|0.0
546131|Little Caney Creek (historical)|Stream|Louisiana|22|Sabine|085|Toro|01/01/1993|||||311512N|0933653W|31.2532413|-93.6146211|311510N|0933518W|31.2527778|-93.5883333
547157|Buzzard Bend (historical)|Bend|Louisiana|22|Sabine|085|Brushy Creek|06/04/1980|02/23/2015||||314011N|0934849W|31.6696187|-93.8135195|||0.0|0.0
547302|Donnell Lake|Lake|Louisiana|22|Sabine|085|East Hamilton|06/04/1980|||||313648N|0934939W|31.6132317|-93.8274086|||0.0|0.0
547996|Silvie Bend (historical)|Bend|Louisiana|22|Sabine|085|Brushy Creek|06/04/1980|02/06/2015||||313857N|0934844W|31.6490638|-93.8121305|||0.0|0.0
