from_sub,to_sub,voltage_kv,length_km,category,circuits,X_pu,MVAmax,intersects
313,826,345,2.978,mst,1,0.001634,1082,False
375,1251,345,4.851,mst,1,0.002661,1082,False
313,780,345,3.713,mst,1,0.002037,1082,False
296,780,345,4.334,mst,1,0.002378,1082,False
783,801,345,5.056,mst,1,0.002774,1082,False
152,850,345,7.631,delaunay,1,0.004187,1082,False
47,801,345,9.312,neighbor_2,1,0.005109,1082,False
298,826,345,6.228,delaunay,1,0.003417,1082,False
372,375,345,6.724,delaunay,1,0.003689,1082,False
27,801,345,8.610,delaunay,1,0.004724,1082,False
556,820,345,5.761,mst,1,0.003161,1082,False
811,820,345,5.942,mst,1,0.003260,1082,False
796,802,345,5.171,mst,1,0.002837,1082,False
30,801,345,6.104,mst,1,0.003349,1082,False
314,343,345,6.271,mst,1,0.003440,1082,False
14,878,345,18.197,neighbor_2,1,0.009983,1082,False
41,829,345,15.203,neighbor_2,1,0.008341,1082,False
14,802,345,13.987,neighbor_2,1,0.007674,1082,False
41,140,345,16.239,neighbor_2,1,0.008909,1082,False
33,802,345,12.275,neighbor_2,1,0.006734,1082,False
797,850,345,6.560,mst,1,0.003599,1082,False
829,1202,345,6.714,mst,1,0.003683,1082,False
392,852,345,5.017,mst,1,0.002752,1082,False
782,844,345,5.720,mst,1,0.003138,1082,False
860,1040,345,4.273,mst,1,0.002344,1082,False
309,846,345,10.217,delaunay,1,0.005605,1082,False
153,832,345,10.845,delaunay,1,0.005950,1082,False
315,904,345,10.666,delaunay,1,0.005852,1082,False
846,904,345,8.256,delaunay,1,0.004530,1082,False
354,904,345,9.124,delaunay,1,0.005006,1082,False
528,811,345,7.431,mst,1,0.004077,1082,False
831,832,345,7.415,mst,1,0.004068,1082,False
298,309,345,4.862,mst,1,0.002668,1082,False
852,1005,345,7.574,mst,1,0.004155,1082,False
307,321,345,4.967,mst,1,0.002725,1082,False
27,829,345,20.228,neighbor_2,1,0.011097,1082,False
33,829,345,21.788,neighbor_2,1,0.011953,1082,False
27,1202,345,18.133,neighbor_2,1,0.009948,1082,False
39,783,345,20.067,neighbor_2,1,0.011009,1082,False
9,801,345,19.707,neighbor_2,1,0.010812,1082,False
824,998,345,8.401,mst,1,0.004609,1082,False
298,322,345,6.047,delaunay,1,0.003318,1082,False
12,39,345,6.773,mst,1,0.003716,1082,False
977,1040,345,7.718,mst,1,0.004235,1082,False
9,10,345,7.713,mst,1,0.004232,1082,False
850,857,345,8.977,mst,1,0.004925,1082,False
466,998,345,9.019,mst,1,0.004948,1082,False
354,358,345,8.668,mst,1,0.004756,1082,False
153,156,345,8.820,mst,1,0.004839,1082,False
343,354,345,8.766,mst,1,0.004809,1082,False
877,1251,345,11.501,delaunay,1,0.006310,1082,False
545,556,345,12.192,delaunay,1,0.006689,1082,False
829,934,345,12.912,delaunay,1,0.007084,1082,False
307,315,345,12.265,delaunay,1,0.006729,1082,False
470,844,345,13.362,delaunay,1,0.007331,1082,False
152,878,345,9.236,mst,1,0.005067,1082,False
33,936,345,9.785,mst,1,0.005369,1082,False
824,844,345,10.369,mst,1,0.005689,1082,False
163,832,345,9.653,mst,1,0.005296,1082,False
856,934,345,8.988,mst,1,0.004931,1082,False
152,831,345,14.245,delaunay,1,0.007815,1082,False
14,897,345,15.012,delaunay,1,0.008236,1082,False
844,871,345,14.549,delaunay,1,0.007982,1082,False
16,801,345,15.218,delaunay,1,0.008349,1082,False
315,349,345,15.274,delaunay,1,0.008379,1082,False
786,877,345,12.605,mst,1,0.006915,1082,False
728,861,345,11.389,mst,1,0.006249,1082,False
358,1238,345,12.726,mst,1,0.006982,1082,False
831,926,345,10.457,mst,1,0.005737,1082,False
822,826,345,9.413,mst,1,0.005164,1082,False
9,25,345,21.861,neighbor_2,1,0.011994,1082,False
39,1246,345,25.594,neighbor_2,1,0.014042,1082,False
25,39,345,24.146,neighbor_2,1,0.013247,1082,False
27,1246,345,31.791,neighbor_2,1,0.017441,1082,False
12,36,345,44.301,neighbor_2,1,0.024305,1082,False
545,1257,345,13.669,mst,1,0.007499,1082,False
1151,1268,345,14.304,mst,1,0.007848,1082,False
156,935,345,13.601,mst,1,0.007462,1082,False
1040,1279,345,10.074,mst,1,0.005527,1082,False
1034,1232,345,11.953,mst,1,0.006558,1082,False
496,1040,345,6.717,delaunay,1,0.003685,1082,False
