ZCTA,LAT,LON,POP,LOAD_MW
10001,40.750636,-73.997177,25026,50.052
10002,40.715776,-73.986211,74363,148.726
10003,40.731829,-73.989181,54671,109.342
10004,40.688874,-74.018213,3310,6.62
10005,40.706004,-74.008785,8664,17.328
10006,40.709627,-74.012972,3260,6.5200000000000005
10007,40.713858,-74.007777,7566,15.132
10009,40.726399,-73.978633,58267,116.534
10010,40.739104,-73.982455,34763,69.526
10011,40.742011,-74.000606,50228,100.456
10012,40.725581,-73.998078,23034,46.068
10013,40.720103,-74.004901,28657,57.314
10014,40.733305,-74.006898,29071,58.142
10016,40.745221,-73.978294,52912,105.824
10017,40.752359,-73.972489,16065,32.13
10018,40.755402,-73.993259,8135,16.27
10019,40.765829,-73.987341,45521,91.042
10020,40.758236,-73.978833,0,0.0
10021,40.769224,-73.958741,42253,84.506
10022,40.75863,-73.967949,31574,63.148
10023,40.775915,-73.982602,62228,124.456
10024,40.798452,-73.974414,60714,121.428
10025,40.798601,-73.966622,92162,184.324
10026,40.80238,-73.952681,38937,77.874
10027,40.811407,-73.95306,64728,129.456
10028,40.776442,-73.953513,47962,95.924
10029,40.791763,-73.94397,74617,149.234
10030,40.818267,-73.942856,30996,61.992000000000004
10031,40.825288,-73.950045,60280,120.56
10032,40.838792,-73.94283,59527,119.054
10033,40.850482,-73.934051,58648,117.296
10034,40.867076,-73.924312,41933,83.866
10035,40.795458,-73.92957,36999,73.998
10036,40.759254,-73.989827,28231,56.462
10037,40.81296,-73.937376,19177,38.354
10038,40.70922,-74.003603,24205,48.410000000000004
10039,40.830869,-73.936216,27090,54.18
10040,40.858315,-73.930494,45197,90.394
10044,40.761907,-73.949967,12770,25.54
10065,40.764628,-73.963144,30339,60.678000000000004
10069,40.77596,-73.990341,6504,13.008000000000001
10075,40.773363,-73.956222,22591,45.182
10103,40.76078,-73.97767,0,0.0
10110,40.754499,-73.982256,0,0.0
10111,40.759114,-73.977596,0,0.0
10112,40.759167,-73.979668,0,0.0
10115,40.810852,-73.963744,0,0.0
10119,40.75031,-73.992979,0,0.0
10128,40.781428,-73.95001,57993,115.986
10152,40.758404,-73.972031,0,0.0
10153,40.763622,-73.972439,0,0.0
10154,40.757779,-73.972487,0,0.0
10162,40.769308,-73.949924,1240,2.48
10165,40.752131,-73.978722,0,0.0
10167,40.754648,-73.974771,0,0.0
10168,40.751448,-73.977103,0,0.0
10169,40.754391,-73.976098,0,0.0
10170,40.752625,-73.975877,0,0.0
10171,40.755899,-73.973858,0,0.0
10172,40.755273,-73.974315,0,0.0
10173,40.754131,-73.979364,0,0.0
10174,40.751441,-73.975003,0,0.0
10177,40.755139,-73.975934,0,0.0
10199,40.751383,-73.997152,0,0.0
10271,40.708236,-74.010541,0,0.0
10278,40.715138,-74.003717,0,0.0
10279,40.712626,-74.008669,96,0.192
10280,40.709073,-74.016423,9372,18.744
10282,40.716901,-74.015119,6086,12.172
10301,40.627505,-74.094377,38001,76.002
10302,40.630716,-74.137729,17942,35.884
10303,40.629885,-74.17413,27164,54.328
10304,40.605965,-74.093535,42133,84.266
10305,40.596549,-74.075779,42968,85.936
10306,40.571768,-74.12595,54318,108.636
10307,40.508839,-74.240575,15053,30.106
10308,40.551884,-74.147646,28901,57.802
10309,40.531346,-74.219857,33896,67.792
10310,40.632646,-74.116148,24168,48.336
10311,40.605231,-74.179534,0,0.0
10312,40.544473,-74.182367,61114,122.22800000000001
10314,40.599263,-74.165748,89938,179.876
10451,40.820496,-73.924817,49423,98.846
10452,40.837391,-73.923438,74379,148.758
10453,40.852319,-73.913512,78858,157.716
10454,40.805506,-73.91661,37807,75.614
10455,40.814713,-73.90859,40300,80.60000000000001
10456,40.829886,-73.908121,90479,180.958
10457,40.847162,-73.898663,74679,149.358
10458,40.862529,-73.888159,85893,171.786
10459,40.825856,-73.892941,48391,96.782
10460,40.841767,-73.879577,57514,115.028
10461,40.847394,-73.840583,51081,102.162
10462,40.843267,-73.860417,75441,150.882
10463,40.880678,-73.90654,70236,140.472
10464,40.869594,-73.795848,4322,8.644
10465,40.824018,-73.823469,45066,90.132
10466,40.890964,-73.846239,74519,149.038
10467,40.869953,-73.865765,100867,201.734
10468,40.86894,-73.899995,78778,157.556
10469,40.868609,-73.848134,72550,145.1
10470,40.889527,-73.872585,15500,31.0
10471,40.898788,-73.90313,22577,45.154
10472,40.829556,-73.86931,67989,135.978
10473,40.81869,-73.858474,59627,119.254
10474,40.810584,-73.884587,11579,23.158
10475,40.867523,-73.825018,43791,87.58200000000001
10501,41.295591,-73.759425,1237,2.474
10502,41.011672,-73.841273,5351,10.702
10503,41.026556,-73.87531,106,0.212
10504,41.128468,-73.707521,8053,16.106
10505,41.342116,-73.74544,1336,2.672
10506,41.189652,-73.638509,5555,11.11
10507,41.227896,-73.686047,7152,14.304
10509,41.410855,-73.59434,20230,40.46
10510,41.139472,-73.835704,10300,20.6
10511,41.263168,-73.944966,2300,4.6000000000000005
10512,41.457619,-73.724608,24619,49.238
10514,41.172119,-73.769217,12543,25.086000000000002
10516,41.461973,-73.874913,5449,10.898
10517,41.298243,-73.861993,497,0.994
10518,41.266143,-73.588296,1041,2.082
10519,41.352349,-73.652788,305,0.61
10520,41.217956,-73.875173,12885,25.77
10522,41.009696,-73.863304,11052,22.104
10523,41.059498,-73.819254,9415,18.830000000000002
10524,41.375325,-73.926217,4317,8.634
10526,41.290172,-73.670416,1860,3.72
10527,41.321169,-73.76994,829,1.6580000000000001
10528,40.975047,-73.724926,13395,26.79
10530,41.023712,-73.81281,12925,25.85
10532,41.099178,-73.800049,4739,9.478
10533,41.036927,-73.854864,7463,14.926
10535,41.335169,-73.793919,254,0.508
10536,41.269182,-73.688726,11002,22.004
10537,41.339614,-73.879835,2769,5.538
10538,40.937752,-73.756473,16151,32.302
10541,41.382046,-73.751818,26678,53.356
10543,40.952693,-73.73604,20999,41.998
10545,41.178573,-73.835465,115,0.23
10546,41.196605,-73.800569,1085,2.17
10547,41.313334,-73.846039,8034,16.068
10548,41.2457,-73.932909,4087,8.174
10549,41.200584,-73.723498,16121,32.242
10550,40.905448,-73.835253,36382,72.764
10552,40.923972,-73.825555,21342,42.684
10553,40.9086,-73.821635,9747,19.494
10560,41.340527,-73.597609,4814,9.628
10562,41.194423,-73.825285,31847,63.694
10566,41.289483,-73.916847,24111,48.222
10567,41.289619,-73.89695,20094,40.188
10570,41.130067,-73.78667,12780,25.560000000000002
10573,41.015742,-73.677303,38749,77.498
10576,41.221577,-73.572332,5036,10.072000000000001
10577,41.038225,-73.710736,6387,12.774000000000001
10578,41.320276,-73.678991,1386,2.7720000000000002
10579,41.395364,-73.839053,8250,16.5
10580,40.979049,-73.693202,17185,34.37
10583,40.988647,-73.788879,41087,82.174
10588,41.334854,-73.823003,3102,6.204
10589,41.327512,-73.700685,8080,16.16
10590,41.256234,-73.53786,7208,14.416
10591,41.090064,-73.840898,23059,46.118
10594,41.113294,-73.774353,5587,11.174
10595,41.085897,-73.782645,8439,16.878
10596,41.255981,-73.959468,1051,2.102
10597,41.293021,-73.596568,699,1.3980000000000001
10598,41.288223,-73.792203,28708,57.416000000000004
10601,41.032947,-73.765058,10256,20.512
10603,41.0544,-73.779287,18862,37.724000000000004
10604,41.071512,-73.747093,11132,22.264
10605,41.010566,-73.745129,19849,39.698
10606,41.020766,-73.775882,16199,32.398
10607,41.039089,-73.811368,7162,14.324
10701,40.945468,-73.880497,61367,122.73400000000001
10703,40.959842,-73.880251,22636,45.272
10704,40.919729,-73.862651,31110,62.22
10705,40.919742,-73.88999,39848,79.696
10706,40.989836,-73.867513,8622,17.244
10707,40.960504,-73.822734,9713,19.426000000000002
10708,40.938267,-73.829922,22212,44.424
10709,40.954635,-73.808184,9369,18.738
10710,40.967157,-73.846339,25104,50.208
10801,40.91757,-73.784858,40445,80.89
10803,40.900458,-73.807138,12492,24.984
10804,40.946859,-73.788035,14365,28.73
10805,40.897721,-73.779258,21331,42.662
10901,41.140772,-74.104976,23860,47.72
10910,41.28157,-74.137957,0,0.0
10911,41.319158,-74.008159,0,0.0
10913,41.068872,-73.956016,5294,10.588000000000001
10914,41.417717,-74.200026,391,0.782
10915,41.545359,-74.359321,79,0.158
10916,41.442343,-74.250577,4582,9.164
10917,41.319679,-74.117639,1650,3.3000000000000003
