GEOID,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG,POPULATION,LOAD_MW
75001,9915172,8702,3.828,0.003,32.960047,-96.838522,15418,30.836
75002,96347638,5289260,37.2,2.042,33.089854,-96.6086,73916,147.832
75006,43513857,846029,16.801,0.327,32.962141,-96.898585,52231,104.462
75007,30430355,314310,11.749,0.121,33.005262,-96.896742,57513,115.026
75009,247632938,3711938,95.612,1.433,33.338899,-96.752977,15348,30.696
75010,20933289,168897,8.082,0.065,33.049963,-96.873013,30784,61.568
75013,38950564,159239,15.039,0.061,33.114327,-96.693964,42956,85.912
75019,44145286,2602043,17.045,1.005,32.963417,-96.984664,43137,86.274
75020,162042853,12679987,62.565,4.896,33.770785,-96.604061,23216,46.432
75021,155872773,157711,60.183,0.061,33.727114,-96.470771,9454,18.908
75022,49742545,5329118,19.206,2.058,33.03489,-97.124906,28773,57.546
75023,24400651,29165,9.421,0.011,33.056789,-96.730859,50923,101.846
75024,32830864,294251,12.676,0.114,33.075422,-96.802686,43041,86.08200000000001
75025,24221813,117765,9.352,0.045,33.090085,-96.740008,54653,109.306
75028,39311016,161140,15.178,0.062,33.03271,-97.06007,48641,97.282
75032,132886253,21656669,51.308,8.362,32.857112,-96.43121,33956,67.912
75034,129540057,10223981,50.016,3.948,33.149434,-96.860974,116155,232.31
75035,61166795,218773,23.617,0.084,33.157388,-96.778665,80269,160.538
75038,34609913,104199,13.363,0.04,32.874776,-96.996862,29886,59.772
75039,13610660,888389,5.255,0.343,32.885608,-96.942654,20627,41.254
75040,40538558,17014,15.652,0.007,32.928902,-96.619782,61508,123.016
75041,20725020,4329,8.002,0.002,32.880196,-96.651555,31250,62.5
75042,19379179,2357,7.482,0.001,32.911702,-96.674838,37458,74.916
75043,37699963,13437588,14.556,5.188,32.857447,-96.575798,62721,125.442
75044,27789353,175910,10.73,0.068,32.964609,-96.649688,45284,90.568
75048,27167941,315032,10.49,0.122,32.969015,-96.579523,26062,52.124
75050,64129555,654878,24.761,0.253,32.773069,-97.005227,43190,86.38
