initial_line,total_lines_tripped,mw_shed,cascade_depth,is_bridge,edge_betweenness
L800_1576_345,193,7265.16,1,False,0.023539
L1576_1833_345,192,7265.16,1,False,0.023327
L1679_1833_345,191,7265.16,1,False,0.022121
L1698_1708_345,191,7265.16,1,False,0.019542
L1966_1967_345,200,7348.4,1,False,0.019541
L1714_1967_345,200,7348.4,1,False,0.019527
L1698_1702_345,191,7265.16,1,False,0.019472
L1679_1966_345,193,7348.4,1,False,0.019246
L1622_1629_345,195,7265.16,1,False,0.019115
L1702_3213_345,192,7265.16,1,False,0.018218
L206_814_345,193,7265.16,1,False,0.018178
L1538_3213_345,205,7348.4,1,False,0.018029
L1834_1947_345,195,7265.16,1,False,0.016877
L1538_3235_345,205,7348.4,1,False,0.016609
L3077_3235_345,205,7348.4,1,False,0.016507
L206_2140_345,194,7265.16,1,False,0.01624
L2140_3797_345,194,7265.16,1,False,0.016233
L799_929_345,194,7265.16,1,False,0.016162
L798_799_345,194,7265.16,1,False,0.016153
L798_3796_345,194,7265.16,1,False,0.016153
L3796_3797_345,192,7265.16,1,False,0.016096
L1623_1629_345,190,7265.16,1,False,0.015736
L1714_1836_345,192,7265.16,1,False,0.015665
L1835_1836_138,192,7265.16,1,False,0.015661
L1834_1835_345,192,7265.16,1,False,0.015653
L1676_1795_345,192,7265.16,1,False,0.015617
L1795_1846_138,192,7265.16,1,False,0.015584
L1535_1537_345,192,7265.16,1,False,0.015574
L997_3077_345,192,7265.16,1,False,0.0154
L997_1846_138,191,7265.16,1,False,0.015394
L800_3745_345,192,7265.16,1,False,0.014986
L929_3745_345,192,7265.16,1,False,0.014914
L1524_1535_345,191,7265.16,1,False,0.014825
L1537_1676_345,192,7265.16,1,False,0.014821
L1947_2323_345,200,7754.89,1,False,0.013666
L1533_2326_345,201,7754.89,1,False,0.013664
L1619_1708_345,192,7265.16,1,False,0.013661
L2325_2326_345,200,7754.89,1,False,0.013661
L2323_2325_345,200,7754.89,1,False,0.01366
L800_2215_345,192,7265.16,1,False,0.013479
L1695_2215_345,192,7265.16,1,False,0.013192
L1535_1830_345,192,7265.16,1,False,0.012387
L1622_3439_345,197,7265.16,1,False,0.011906
L814_1619_345,192,7265.16,1,False,0.01179
L777_3439_345,200,7800.9,1,False,0.011767
L1519_1524_345,192,7265.16,1,False,0.010814
L1653_3006_345,192,7265.16,1,False,0.010761
L809_3006_345,192,7265.16,1,False,0.010298
L1830_2146_345,190,7265.16,1,False,0.010162
L754_777_138,193,7265.16,1,False,0.010046
