tag,h0_shed_mw,ss_shed_mw,curtail_mw,renew_util_pct,price_mwh,demand_mw
v1,27241.8627,8618.943893333335,13535.690700000005,42.39464654662898,17.765241666666665,50893.9987
cluster_v1,27241.8627,8618.943893333335,13535.690700000005,42.39464654662898,17.765241666666665,50893.9987
v2,2976.4004,2975.833173333333,11111.748593333334,43.92160934063034,21.560416666666672,50893.9987
v3,5431.1559,5430.388886666666,11470.494093333335,42.23976188325695,20.93615833333333,50893.9987
v4,6298.3745,6301.783820000001,12951.94898,34.57799048047708,20.96994166666667,50894.0015
v5,6298.3745,6301.783820000001,12951.94898,34.57799048047708,20.96994166666667,50894.0015
floor,0.0,0.0,0.0,100.0,13.858000000000002,50894.0015
2x,0.0,0.0,0.0,100.0,13.858000000000002,50894.0015
best-so-far,86.7926,86.7926,8173.8358,58.75595386467607,20.845500000000012,50894.0015
no-spl+138kv2x,135.8446,135.84459999999996,6393.282999999999,67.7403772891814,19.56920000000001,50894.0015
no-spl+hv2x,2033.1737,2033.2511466666663,11617.757179999999,41.37604424110743,21.90950833333334,50894.0015
no-spl+load-fix,3411.1284,3411.128400000001,11593.304600000001,41.50178673967694,20.467429166666655,50893.989
no-spl-cap,2179.6412,2179.641199999999,10489.725399999998,47.070294910441035,21.125299999999992,50894.0015
