hour,NORTH,HOUSTON,SOUTH,WEST
0,14835.5,10872.9,9271.4,7101.1
1,14567.0,10690.1,8956.0,7071.3
2,14479.5,10574.5,8737.5,7161.9
3,14507.8,10536.3,8786.1,7271.5
4,14889.8,10708.4,8941.8,7242.0
5,15863.6,11228.2,9402.1,7303.5
6,17278.2,11875.8,10046.2,7398.5
7,17862.2,12217.4,10491.9,7442.8
8,17886.3,12345.7,10464.6,7514.2
9,17797.4,12416.6,10562.1,7603.3
10,17737.7,12547.2,10617.6,7652.8
11,17860.4,12605.8,10806.9,7613.5
12,17677.0,12630.0,11004.6,7534.9
13,17353.3,12681.7,10957.5,7486.5
14,17130.8,12604.6,10994.0,7378.6
15,17043.5,12577.4,11142.3,7312.3
16,17342.1,12353.3,11423.8,7305.0
17,18196.7,12386.0,11648.0,7415.0
18,18853.2,12483.4,12145.1,7639.2
19,18861.4,12400.6,12004.9,7739.1
20,18934.5,12264.3,11897.5,7861.6
21,18781.3,11955.6,11513.1,7889.9
22,18296.6,11537.2,11005.3,7817.2
23,17947.2,11134.5,10498.7,7869.2
