Hour_Ending,ERCOT_Load_MW,Wind_Gen_MW,Solar_Gen_MW
2024-06-17 00:00,61435.97,25828.1,0.53
2024-06-17 01:00,57954.51,25105.95,0.46
2024-06-17 02:00,55346.21,24286.39,0.49
2024-06-17 03:00,53578.43,23637.23,0.56
2024-06-17 04:00,52712.68,22688.73,0.47
2024-06-17 05:00,52261.29,22536.16,0.63
2024-06-17 06:00,52882.95,22516.73,0.73
2024-06-17 07:00,53873.21,22479.38,160.08
2024-06-17 08:00,55551.19,21571.24,3850.55
2024-06-17 09:00,58615.79,21577.64,8103.31
2024-06-17 10:00,61925.46,22880.3,8930.74
2024-06-17 11:00,65404.28,22806.84,10353.4
2024-06-17 12:00,68475.7,22784.34,11078.06
2024-06-17 13:00,71124.58,23050.7,10888.06
2024-06-17 14:00,73896.16,22649.2,12414.39
2024-06-17 15:00,75921.95,23071.4,13147.34
2024-06-17 16:00,76037.67,23763.23,11833.03
2024-06-17 17:00,76099.35,24830.05,11585.63
2024-06-17 18:00,75955.67,25462.35,9972.3
2024-06-17 19:00,75329.49,25778.46,8074.0
2024-06-17 20:00,73479.94,26182.88,4463.24
2024-06-17 21:00,70680.44,27190.51,567.79
2024-06-17 22:00,68805.57,27666.56,1.41
2024-06-17 23:00,65435.34,27466.75,0.6
