Date,Hour,FixedCosts,VariableCosts,LoadShedding,OverGeneration,AvailableReserves,ReserveShortfall,RenewablesUsed,RenewablesAvailable,RenewablesCurtailment,Demand,Price,Number on/offs,Sum on/off ramps,Sum nominal ramps
2025-11-05,0,345885.18,500035.1273,0.0,0,7409.5305,0.0,19476.195,19817.635,341.44,50894.0015,16.6212,285,0.0,18267.1995
2025-11-05,1,345885.18,523823.0486,0.0,0,6968.0125,0.0,19311.675,19817.635,505.96,50894.0015,17.0886,0,0.0,2147.0061
2025-11-05,2,345885.18,676285.0774,4.8227,0,2544.7001,0.0,15116.5299,19817.635,4701.1051,50894.0015,20.0843,0,0.0,5423.6496
2025-11-05,3,345885.18,672620.7574,16.2417,0,2544.7001,0.0,14041.8282,19817.635,5775.8068,50894.0015,20.0123,0,0.0,1092.6909
2025-11-05,4,345885.18,669773.4739,18.8543,0,2544.7001,0.0,13292.145,19817.635,6525.49,50894.0015,19.9564,0,0.0,1320.6948
2025-11-05,5,345885.18,669646.8015,19.3119,0,2544.7001,0.0,13175.1415,19817.635,6642.4935,50894.0015,19.9539,0,0.0,596.6206
2025-11-05,6,345885.18,670664.5569,19.7108,0,2544.7001,0.0,13118.305,19817.635,6699.33,50894.0015,19.9739,0,0.0,680.8958
2025-11-05,7,345885.18,656370.3724,21.4832,0,2985.9856,0.0,13044.295,19817.635,6773.34,50894.0015,19.693,0,0.0,1236.6123
2025-11-05,8,345885.18,652797.3043,22.0276,0,3108.3191,0.0,12951.5785,19817.635,6866.0565,50894.0015,19.6228,0,0.0,1011.5415
2025-11-05,9,345885.18,653217.9357,22.0236,0,3093.2966,0.0,12918.3583,19817.635,6899.2767,50894.0015,19.6311,0,0.0,848.5451
2025-11-05,10,345885.18,653355.5398,22.0202,0,3088.3821,0.0,12865.3146,19817.635,6952.3204,50894.0015,19.6338,0,0.0,273.5467
2025-11-05,11,345885.18,653592.3172,22.0142,0,3079.9258,0.0,12793.9545,19817.635,7023.6805,50894.0015,19.6384,0,0.0,896.3115
2025-11-05,12,345885.18,653613.7452,22.0137,0,3079.1605,0.0,12787.5332,19817.635,7030.1018,50894.0015,19.6388,0,0.0,1403.4063
2025-11-05,13,345885.18,653613.7452,22.0137,0,3079.1605,0.0,12787.5332,19817.635,7030.1018,50894.0015,19.6388,0,0.0,769.6345
2025-11-05,14,345885.18,653613.7452,22.0137,0,3079.1605,0.0,12787.5332,19817.635,7030.1018,50894.0015,19.6388,0,0.0,0.0
2025-11-05,15,345885.18,653613.7452,22.0137,0,3079.1605,0.0,12790.5932,19817.635,7027.0418,50894.0015,19.6388,0,0.0,1079.4372
2025-11-05,16,345885.18,653613.7452,22.0137,0,3079.1605,0.0,12790.5932,19817.635,7027.0418,50894.0015,19.6388,0,0.0,0.0
2025-11-05,17,345885.18,653613.7452,22.0137,0,3079.1605,0.0,12787.5332,19817.635,7030.1018,50894.0015,19.6388,0,0.0,0.0
2025-11-05,18,345885.18,653613.7452,22.0137,0,3079.1605,0.0,12787.5332,19817.635,7030.1018,50894.0015,19.6388,0,0.0,1077.8411
2025-11-05,19,345885.18,653613.7452,22.0137,0,3079.1605,0.0,12787.5332,19817.635,7030.1018,50894.0015,19.6388,0,0.0,1077.8411
2025-11-05,20,345885.18,653613.7452,22.0137,0,3079.1605,0.0,12787.5332,19817.635,7030.1018,50894.0015,19.6388,0,0.0,0.0
2025-11-05,21,345885.18,653613.7452,22.0137,0,3079.1605,0.0,12787.5332,19817.635,7030.1018,50894.0015,19.6388,0,0.0,0.0
2025-11-05,22,345885.18,653613.7452,22.0137,0,3079.1605,0.0,12787.5332,19817.635,7030.1018,50894.0015,19.6388,0,0.0,0.0
2025-11-05,23,345885.18,653613.7452,22.0137,0,3079.1605,0.0,12787.5332,19817.635,7030.1018,50894.0015,19.6388,0,0.0,1094.4345
