Date,Hour,FixedCosts,VariableCosts,LoadShedding,OverGeneration,AvailableReserves,ReserveShortfall,RenewablesUsed,RenewablesAvailable,RenewablesCurtailment,Demand,Price,Number on/offs,Sum on/off ramps,Sum nominal ramps
2024-08-20,0,405224.42,607201.3923,654.5144,0,7128.1185,1438.7557,16558.2988,16558.2988,0.0,57112.4947,17.7269,268,0.0,21663.4615
2024-08-20,1,400587.62,526230.0447,547.8755,0,9209.9,0.0,16589.0869,16760.9719,171.885,54402.8624,17.0362,2,0.0,6895.9572
2024-08-20,2,386300.06,476316.5423,495.5743,0,9641.8637,0.0,16675.8521,16675.8521,-0.0,52304.4627,16.4922,9,0.0,2118.7579
2024-08-20,3,370831.46,459391.6322,460.5456,0,8677.0064,0.0,16197.5463,16197.5463,0.0,50793.4855,16.3451,13,0.0,1211.7956
2024-08-20,4,382189.94,470667.6369,460.1848,0,8242.6384,0.0,14985.5652,14985.5652,0.0,50409.0716,16.9187,7,393.56,633.5086
2024-08-20,5,401007.62,512383.1747,491.5036,0,7929.5462,0.0,13579.024,13579.024,-0.0,51098.6414,17.8751,9,672.06,2264.606
2024-08-20,6,406315.58,579593.1491,520.7822,0,7206.1539,653.4025,12367.0446,12367.0446,0.0,52397.0429,18.8161,3,189.57,3230.5421
2024-08-20,7,404032.46,598532.7037,516.1961,0,6693.1222,1184.8757,11811.0122,11811.0122,0.0,52519.9861,19.0892,3,0.0,2390.1836
2024-08-20,8,398858.06,474609.2245,552.1726,0,10522.22,0.0,17561.1283,17561.1283,-0.0,53860.9809,16.2171,3,0.0,4544.3856
2024-08-20,9,393304.82,422217.0323,633.0303,0,11475.2588,0.0,22649.4489,22808.0073,158.5584,56699.1604,14.3833,21,280.84,2501.8411
2024-08-20,10,422816.72,455006.9501,750.2871,0,11788.9996,0.0,25116.4614,25263.8985,147.4371,60763.217,14.4466,33,983.1499999999996,4133.6117
2024-08-20,11,476062.24,567228.9523,867.3383,0,11659.4495,0.0,24216.6026,24598.7389,382.1363,64906.0765,16.0739,71,1728.4299999999992,5085.9582
2024-08-20,12,489867.88,737046.2957,1047.0208,0,11627.0187,0.0,24380.9872,24929.882,548.8948,69506.4885,17.6518,32,937.1300000000005,11318.6473
2024-08-20,13,520892.44,836033.9902,1226.1942,0,11740.6953,0.0,23812.8468,25563.8364,1750.9896,73457.9229,18.4722,21,999.7700000000001,5490.8941
2024-08-20,14,531787.24,895630.2032,1339.1293,0,12289.9229,0.0,23235.1148,25395.6861,2160.5713,75554.8159,18.8925,5,326.85,6553.2559
2024-08-20,15,531787.24,919365.9377,1407.1583,0,12080.1355,0.0,22575.4131,25150.3301,2574.917,76632.1385,18.9366,0,0.0,7270.5295
2024-08-20,16,558199.36,937319.9978,1460.1894,0,11574.4482,0.0,21869.2939,25066.7986,3197.5047,77162.9882,19.3813,13,775.8,3548.8209
2024-08-20,17,568991.86,936868.5115,1478.3951,0,13143.8689,0.0,20848.6331,23855.1186,3006.4855,77301.2793,19.4804,7,306.32,6231.5303
2024-08-20,18,581729.79,992354.2046,1386.6903,0,12186.2766,0.0,18014.3046,20098.5131,2084.2085,76472.7983,20.5836,35,360.28,5374.2954
2024-08-20,19,581729.79,1126210.5078,1239.5255,0,10295.7953,763.4375,11490.2889,11545.4485,55.1596,73728.2191,23.1654,0,0.0,6197.5759
2024-08-20,20,581729.79,1111004.4414,1144.3235,0,10536.0905,110.2041,9072.8644,9072.8644,0.0,70975.2974,23.8496,0,0.0,5967.5386
2024-08-20,21,558557.79,980736.2605,1058.2561,0,12812.9939,0.0,11666.3461,12658.8958,992.5497,68997.8083,22.3093,11,0.0,6101.489
2024-08-20,22,516336.29,849708.0987,905.8785,0,14308.3947,0.0,14316.0353,15528.7285,1212.6932,65618.3191,20.818,28,0.0,5236.6228
2024-08-20,23,504619.3,680645.4379,756.3471,0,14827.0926,0.0,15717.7113,15934.0735,216.3622,61588.9958,19.2447,52,547.13,11148.0466
