Date,Hour,Type,Solve Time
2024-08-20,0,SCED,2.0018
2024-08-20,1,SCED,1.7657
2024-08-20,2,SCED,1.7565
2024-08-20,3,SCED,1.7413
2024-08-20,4,SCED,1.7596
2024-08-20,5,SCED,1.7497
2024-08-20,6,SCED,1.2408
2024-08-20,7,SCED,1.2419
2024-08-20,8,SCED,1.3121
2024-08-20,9,SCED,1.1417
2024-08-20,10,SCED,1.4237
2024-08-20,11,SCED,1.134
2024-08-20,12,SCED,1.7089
2024-08-20,13,SCED,1.9029
2024-08-20,14,SCED,2.2613
2024-08-20,15,SCED,1.7062
2024-08-20,16,SCED,2.0503
2024-08-20,17,SCED,1.5513
2024-08-20,18,SCED,1.499
2024-08-20,19,SCED,1.4238
2024-08-20,20,SCED,1.3658
2024-08-20,21,SCED,1.6035
2024-08-20,22,SCED,2.014
2024-08-20,23,SCED,2.2829
