Date,Hour,Type,Solve Time
2024-06-17,0,SCED,1.7521
2024-06-17,1,SCED,1.5558
2024-06-17,2,SCED,1.5888
2024-06-17,3,SCED,1.6094
2024-06-17,4,SCED,2.2034
2024-06-17,5,SCED,1.5606
2024-06-17,6,SCED,1.1138
2024-06-17,7,SCED,1.1092
2024-06-17,8,SCED,1.2354
2024-06-17,9,SCED,1.3064
2024-06-17,10,SCED,1.4039
2024-06-17,11,SCED,1.4541
2024-06-17,12,SCED,1.607
2024-06-17,13,SCED,1.2998
2024-06-17,14,SCED,1.2598
2024-06-17,15,SCED,1.3654
2024-06-17,16,SCED,1.2895
2024-06-17,17,SCED,3.2065
2024-06-17,18,SCED,1.5522
2024-06-17,19,SCED,1.5517
2024-06-17,20,SCED,2.0655
2024-06-17,21,SCED,1.6862
2024-06-17,22,SCED,1.3384
2024-06-17,23,SCED,1.335
