Date,Hour,Type,Solve Time
2024-06-17,0,SCED,1.8139
2024-06-17,1,SCED,1.6566
2024-06-17,2,SCED,1.6442
2024-06-17,3,SCED,1.6317
2024-06-17,4,SCED,1.6525
2024-06-17,5,SCED,1.6043
2024-06-17,6,SCED,3.2381
2024-06-17,7,SCED,1.1331
2024-06-17,8,SCED,1.2906
2024-06-17,9,SCED,3.6366
2024-06-17,10,SCED,1.3736
2024-06-17,11,SCED,1.4819
2024-06-17,12,SCED,1.8408
2024-06-17,13,SCED,1.316
2024-06-17,14,SCED,1.5257
2024-06-17,15,SCED,1.2656
2024-06-17,16,SCED,1.3182
2024-06-17,17,SCED,1.2493
2024-06-17,18,SCED,1.2843
2024-06-17,19,SCED,1.5085
2024-06-17,20,SCED,1.56
2024-06-17,21,SCED,1.6097
2024-06-17,22,SCED,1.6265
2024-06-17,23,SCED,1.629
