Date,Hour,FixedCosts,VariableCosts,LoadShedding,OverGeneration,AvailableReserves,ReserveShortfall,RenewablesUsed,RenewablesAvailable,RenewablesCurtailment,Demand,Price,Number on/offs,Sum on/off ramps,Sum nominal ramps
2025-11-05,0,89548.2,0.0,27241.8627,1611.7768,526.8,2017.8999,19267.9428,19818.22,550.2772,50893.9987,1.7595,214,1254.7699999999977,0.0
2025-11-05,1,90023.32,343281.9275,20473.7878,2006.3806,2590.5608,0.0,17966.8523,19818.22,1851.3677,50893.9987,8.5139,19,122.0,8430.5092
2025-11-05,2,90531.52,350057.9987,20232.3217,2004.965,3414.9018,0.0,17921.1439,19818.22,1897.0761,50893.9987,8.657,2,12.1,1662.7244
2025-11-05,3,361566.33,329884.0133,13874.9844,2159.6511,3514.0848,0.0,15874.2102,19818.22,3944.0098,50893.9987,13.5861,164,9093.740000000003,2050.0852
2025-11-05,4,392186.85,594581.604,8886.6448,1017.5097,13978.0227,0.0,8611.8963,19818.22,11206.3237,50893.9987,19.3887,33,1218.29,18235.8346
2025-11-05,5,372162.93,626651.4603,8881.7483,986.6674,11365.9422,0.0,7963.66,19818.22,11854.56,50893.9987,19.6254,70,0.0,4668.0495
2025-11-05,6,372682.09,629762.2176,8895.4037,972.8177,10867.6253,0.0,7813.058,19818.22,12005.162,50893.9987,19.6967,14,51.78,3255.0089
2025-11-05,7,433552.75,600736.5843,8798.6242,692.6225,9303.613,0.0,5978.7099,19818.22,13839.5101,50893.9987,20.3224,43,3870.0,6437.9801
2025-11-05,8,392325.98,619267.2407,8620.4485,628.3606,8941.82,0.0,6009.3308,19818.22,13808.8892,50893.9987,19.8765,56,225.30000000000007,8537.3453
2025-11-05,9,359248.1,641552.0808,8621.921,610.4103,6071.511,0.0,6275.6989,19818.22,13542.5211,50893.9987,19.6644,36,0.0,2033.4506
2025-11-05,10,356259.8,644540.3808,8621.921,610.4103,5497.961,0.0,6275.6989,19818.22,13542.5211,50893.9987,19.6644,12,54.44999999999999,586.9644
2025-11-05,11,356308.1,644492.0808,8621.921,610.4103,5526.911,0.0,6275.6989,19818.22,13542.5211,50893.9987,19.6644,10,83.4,137.85
2025-11-05,12,358340.9,642459.2808,8621.921,610.4103,5715.461,0.0,6275.6989,19818.22,13542.5211,50893.9987,19.6644,10,54.44999999999999,1249.724
2025-11-05,13,356816.3,643983.8808,8621.921,610.4103,5788.061,0.0,6275.6989,19818.22,13542.5211,50893.9987,19.6644,8,6.05,924.0439
2025-11-05,14,359491.7,641626.9528,8621.921,621.7843,5769.387,0.0,6275.6989,19818.22,13542.5211,50893.9987,19.6707,11,119.74999999999999,1420.1626
2025-11-05,15,359491.7,641626.9528,8621.921,621.7843,6276.687,0.0,6275.6989,19818.22,13542.5211,50893.9987,19.6707,2,6.05,1186.761
2025-11-05,16,357410.6,643389.5808,8621.921,610.4103,6070.561,0.0,6275.6989,19818.22,13542.5211,50893.9987,19.6644,2,6.05,934.7736
2025-11-05,17,358233.8,642566.3808,8621.921,610.4103,5992.011,0.0,6275.6989,19818.22,13542.5211,50893.9987,19.6644,2,99.0,1507.0113
2025-11-05,18,358385.0,642415.1808,8621.921,610.4103,6047.811,0.0,6275.6989,19818.22,13542.5211,50893.9987,19.6644,2,82.8,1501.1053
2025-11-05,19,358385.0,642415.1808,8621.921,610.4103,6241.011,0.0,6275.6989,19818.22,13542.5211,50893.9987,19.6644,0,0.0,339.4834
2025-11-05,20,364925.0,634800.4453,8610.2856,650.6384,6476.3296,0.0,6301.281,19818.22,13516.939,50893.9987,19.6433,1,261.6,1186.8253
2025-11-05,21,367260.2,632934.9173,8610.2856,667.4124,6935.3556,0.0,6301.281,19818.22,13516.939,50893.9987,19.6525,1,83.4,561.4442
2025-11-05,22,370649.6,629545.5173,8610.2856,667.4124,7148.1556,0.0,6301.281,19818.22,13516.939,50893.9987,19.6525,4,139.2,298.5861
2025-11-05,23,368789.94,632312.4025,8612.1706,699.9894,5261.7111,0.0,6301.4086,19818.22,13516.8114,50893.9987,19.6703,38,774.9199999999995,967.9386
