Date,Hour,FixedCosts,VariableCosts,LoadShedding,OverGeneration,AvailableReserves,ReserveShortfall,RenewablesUsed,RenewablesAvailable,RenewablesCurtailment,Demand,Price,Number on/offs,Sum on/off ramps,Sum nominal ramps
2024-08-20,0,430664.66,561165.8909,0.0,0.0,9209.6947,0.0,16558.2988,16558.2988,0.0,57112.5041,17.3663,268,0.0,21380.1553
2024-08-20,1,422100.02,483862.0492,0.0,0.0,11102.3976,0.0,16760.9719,16760.9719,0.0,54402.8743,16.6528,6,0.0,4013.5876
2024-08-20,2,410075.42,436407.3541,0.0,0.0,11180.6914,0.0,16675.8521,16675.8521,-0.0,52304.4607,16.1838,22,0.0,3093.2566
2024-08-20,3,399950.06,415053.7954,0.0,0.0,10886.9423,0.0,16197.5463,16197.5463,-0.0,50793.504,16.0454,8,0.0,2210.7242
2024-08-20,4,399950.06,437205.8869,0.0,0.0,10059.4037,0.0,14985.5652,14985.5652,-0.0,50409.0615,16.6073,0,0.0,1092.8223
2024-08-20,5,408850.7,488119.539,0.0,0.0,8277.144,0.0,13579.024,13579.024,0.0,51098.66,17.5537,8,313.88,2212.4095
2024-08-20,6,413760.5,554642.3974,0.0,0.0,6669.4113,1190.1437,12367.0446,12367.0446,-0.0,52397.0333,18.482,20,116.89999999999996,3831.8434
2024-08-20,7,413760.5,573481.7562,0.0,0.0,7042.5378,835.4584,11811.0122,11811.0122,0.0,52519.9744,18.7975,0,0.0,1551.8416
2024-08-20,8,413760.5,454953.8015,0.0,0.0,11451.6388,0.0,17561.1283,17561.1283,-0.0,53860.9895,16.1288,0,0.0,5983.5345
2024-08-20,9,410201.38,396115.6638,0.0,0.0,13619.9713,0.0,22808.0073,22808.0073,0.0,56699.176,14.221,3,189.64,5281.9927
2024-08-20,10,430302.58,444078.4095,0.0,0.0,12288.048,0.0,25188.2616,25263.8985,75.6369,60763.2336,14.39,34,758.5199999999995,6282.2033
2024-08-20,11,491377.86,554177.1384,0.0,0.0,11557.7036,0.0,24485.2426,24598.7389,113.4963,64906.079,16.1087,65,1968.6400000000008,5781.7845
2024-08-20,12,557452.11,772682.8992,0.0,0.0,13567.8135,0.0,21918.6086,24929.882,3011.2734,69506.4964,19.1368,74,1990.6699999999996,9538.6409
2024-08-20,13,555594.85,1044150.8819,368.4288,0.0,11018.6889,0.0,20062.2834,25563.8364,5501.553,73457.9258,21.7777,27,463.9100000000001,11272.4733
2024-08-20,14,563540.91,1078860.2109,743.4316,0.0,11333.2228,0.0,20268.4526,25395.6861,5127.2335,75554.8186,21.7379,23,207.55999999999995,2754.72
2024-08-20,15,568037.01,1119738.6358,960.5498,0.0,11494.8221,0.0,18747.3308,25150.3301,6402.9993,76632.1474,22.0244,15,110.06,2632.8783
2024-08-20,16,568037.01,1117788.9075,1109.3538,0.0,12382.379,0.0,18007.204,25066.7986,7059.5946,77162.9788,21.8476,0,0.0,2847.7524
2024-08-20,17,578232.13,1130767.1291,1164.1851,0.0,11900.3764,0.0,17232.4093,23855.1186,6622.7093,77301.278,22.1083,8,376.26,3723.0416
2024-08-20,18,583221.73,1170350.7077,1073.9756,0.0,11509.7604,0.0,15191.3137,20098.5131,4907.1994,76472.7789,22.9307,4,192.45,3199.626
2024-08-20,19,592242.07,1182682.2344,986.1218,0.0,11059.2352,0.0,11318.0083,11545.4485,227.4402,73728.2349,24.0739,6,317.04,4939.7034
2024-08-20,20,592242.07,1183828.5103,506.0913,0.0,11469.4215,0.0,8715.5303,9072.8644,357.3341,70975.3001,25.0238,0,0.0,6964.2562
2024-08-20,21,598701.67,1100919.4051,15.9346,0.0,14184.4139,0.0,9712.4698,12658.8958,2946.426,68997.7905,24.633,3,230.7,8005.0004
2024-08-20,22,555449.01,750968.2025,0.0,0.0,17299.1221,0.0,15528.7285,15528.7285,-0.0,65618.3064,19.9093,84,262.0,15135.1426
2024-08-20,23,467713.6,680252.6858,0.0,0.0,10137.1803,0.0,15934.0735,15934.0735,-0.0,61588.9932,18.6391,96,0.0,5535.4088
