Date,Hour,Type,Solve Time
2024-08-20,0,SCED,2.3489
2024-08-20,1,SCED,2.1719
2024-08-20,2,SCED,2.1635
2024-08-20,3,SCED,2.1485
2024-08-20,4,SCED,2.0833
2024-08-20,5,SCED,2.0646
2024-08-20,6,SCED,1.0957
2024-08-20,7,SCED,1.1125
2024-08-20,8,SCED,1.5091
2024-08-20,9,SCED,1.3524
2024-08-20,10,SCED,1.1191
2024-08-20,11,SCED,1.2947
2024-08-20,12,SCED,1.6723
2024-08-20,13,SCED,1.6142
2024-08-20,14,SCED,2.0399
2024-08-20,15,SCED,1.4518
2024-08-20,16,SCED,1.5022
2024-08-20,17,SCED,2.1142
2024-08-20,18,SCED,1.4382
2024-08-20,19,SCED,1.9126
2024-08-20,20,SCED,1.7536
2024-08-20,21,SCED,1.6833
2024-08-20,22,SCED,5.8696
2024-08-20,23,SCED,1.6582
