Date,Hour,Type,Solve Time
2024-11-05,0,SCED,1.1251
2024-11-05,1,SCED,1.0308
2024-11-05,2,SCED,1.031
2024-11-05,3,SCED,1.0348
2024-11-05,4,SCED,1.1358
2024-11-05,5,SCED,1.1391
2024-11-05,6,SCED,1.1181
2024-11-05,7,SCED,1.0246
2024-11-05,8,SCED,1.0148
2024-11-05,9,SCED,1.0209
2024-11-05,10,SCED,2.5209
2024-11-05,11,SCED,1.0336
2024-11-05,12,SCED,1.1262
2024-11-05,13,SCED,1.005
2024-11-05,14,SCED,2.9001
2024-11-05,15,SCED,1.0086
2024-11-05,16,SCED,2.7795
2024-11-05,17,SCED,1.3555
2024-11-05,18,SCED,2.7002
2024-11-05,19,SCED,1.0121
2024-11-05,20,SCED,2.4854
2024-11-05,21,SCED,1.082
2024-11-05,22,SCED,2.6429
2024-11-05,23,SCED,1.0779
