Date,Hour,FixedCosts,VariableCosts,LoadShedding,OverGeneration,AvailableReserves,ReserveShortfall,RenewablesUsed,RenewablesAvailable,RenewablesCurtailment,Demand,Price,Number on/offs,Sum on/off ramps,Sum nominal ramps
2024-06-17,0,313779.82,277043.4763,0,0,8820.4478,0.0,29910.3329,29910.3329,0.0,56439.1851,10.4683,350,0.0,11494.8822
2024-06-17,1,305024.5,236165.2763,0,0,9488.3532,0.0,29075.3272,29075.3272,-0.0,53893.974,10.0417,8,0.0,2937.433
2024-06-17,2,289864.18,228512.7347,0,0,8433.1034,0.0,28126.8188,28126.8188,0.0,52195.9154,9.9314,10,0.0,1858.95
2024-06-17,3,262002.3,237962.946,0,0,6306.343,1362.6152,27372.8813,27372.8813,-0.0,51126.3883,9.779,6,510.35,2588.6169
2024-06-17,4,262433.22,277266.3136,0,0,4902.6513,2737.8441,26274.3976,26274.3976,-0.0,50936.6363,10.5955,1,15.39,2207.5369
2024-06-17,5,264767.58,300395.8536,0,0,4112.5063,3638.2584,26100.101,26100.101,-0.0,51671.7647,10.9376,5,83.37,836.6752
2024-06-17,6,281481.9,310326.174,0,0,3952.382,3937.4737,26075.78,26075.78,-0.0,52599.038,11.2513,10,596.94,1707.4753
2024-06-17,7,290223.78,336106.4404,0,0,4424.5182,3694.5055,26370.6328,26370.6328,-0.0,54126.8246,11.5715,3,312.21,4237.0006
2024-06-17,8,290223.78,227760.8408,0,0,9022.4939,0.0,33041.9376,33041.9376,0.0,56928.6437,9.0988,0,0.0,3869.4857
2024-06-17,9,290080.1,122785.2774,0,0,12359.2011,0.0,39951.9913,41954.7545,2002.7632,60086.4302,6.8712,11,1274.44,5359.9772
2024-06-17,10,295876.1,175753.7944,0,0,11729.4432,0.0,42042.5468,45196.0857,3153.5389,63734.1036,7.4,3,207.0,3033.7249
2024-06-17,11,307006.1,193730.2163,0,0,11603.0,0.0,44267.879,48087.9943,3820.1153,66966.379,7.4774,5,397.5,1727.8543
2024-06-17,12,326186.24,212456.2018,0,0,11675.7139,0.0,45340.3613,49578.5664,4238.2051,69571.4674,7.7423,14,677.8199999999999,3049.6708
2024-06-17,13,332702.12,264947.4382,0,0,11422.1511,0.0,45576.2041,49490.946,3914.7419,71970.963,8.304,2,232.71,2574.7838
2024-06-17,14,332702.12,272655.9271,0,0,11725.9597,0.0,47475.5704,52220.3958,4744.8254,74109.5107,8.1684,0,0.0,2397.1825
2024-06-17,15,335726.12,255981.7312,0,0,12385.5616,0.0,48285.8638,54244.5965,5958.7327,74368.2022,7.9565,1,108.0,1359.2575
2024-06-17,16,338750.12,285203.2859,0,0,11575.7035,0.0,47140.191,52292.198,5152.007,74392.3875,8.3873,1,108.0,1660.1762
2024-06-17,17,340850.12,282402.8222,0,0,11908.8511,0.0,47096.7114,53008.4614,5911.75,74327.7603,8.3852,1,60.0,518.5489
2024-06-17,18,340246.58,303426.5626,0,0,11487.2731,0.0,45457.469,50365.6604,4908.1914,73506.3959,8.7567,3,0.0,2615.3152
2024-06-17,19,347716.74,307471.2035,0,0,11277.0381,0.0,43149.612,46758.5874,3608.9754,71693.9939,9.1387,3,285.22,3116.6529
2024-06-17,20,365939.74,363561.6641,0,0,10189.2863,164.9105,38159.8651,39669.3918,1509.5267,69027.9788,10.5682,5,713.8,9045.352
2024-06-17,21,365939.74,471764.205,0,0,7417.1237,2661.4458,32447.9872,32678.2194,230.2322,67190.4635,12.4676,0,0.0,6390.1837
2024-06-17,22,365939.74,387539.9768,0,0,9892.4686,0.0,31545.5341,32046.212,500.6779,63812.6655,11.8077,0,0.0,7168.4726
2024-06-17,23,349020.46,301644.496,0,0,11295.4825,0.0,31312.8523,31811.3976,498.5453,59812.7698,10.8784,15,0.0,4653.0003
