Date,Hour,Line,Flow
2024-01-08,0,L1125_2389,-1114.8764
2024-01-08,0,L3595_3616,-1176.8138
2024-01-08,0,L4611_4660,-804.025
2024-01-08,0,L2384_4611,-704.2573
2024-01-08,0,L4612_4630,314.9286
2024-01-08,0,L1076_4612,430.8591
2024-01-08,0,L2193_2384,-842.0552
2024-01-08,0,L89_1584,0.0
2024-01-08,0,L1575_4614,866.1911
2024-01-08,0,L1575_1584,-341.2773
2024-01-08,0,L2820_3156,320.1834
2024-01-08,0,L569_2384,-33.0641
2024-01-08,0,L2384_4615,-414.274
2024-01-08,0,L597_1156,31.9324
2024-01-08,0,L136_4615,414.274
2024-01-08,0,L1550_1552,-180.3147
2024-01-08,0,L1552_3702,-180.3147
2024-01-08,0,L4616_4617,180.3147
2024-01-08,0,L1550_4616,180.3147
2024-01-08,0,L4617_4620,180.3147
2024-01-08,0,L1548_4620,-180.3147
2024-01-08,0,L136_1548,-186.3004
2024-01-08,0,L136_591,-227.9736
2024-01-08,0,L1125_4287,1068.3464
2024-01-08,0,L51_2389,0.0
2024-01-08,0,L3050_3668,0.0
2024-01-08,0,L46_3156,0.0
2024-01-08,0,L3050_4625,0.0
2024-01-08,0,L1550_4625,-0.0
2024-01-08,0,L2389_3157,0.0
2024-01-08,0,L1575_1583,-583.9479
2024-01-08,0,L2394_3613,-757.6411
2024-01-08,0,L2398_4630,-314.9286
2024-01-08,0,L1152_2398,-238.7553
2024-01-08,0,L1152_3822,238.7553
2024-01-08,0,L3822_4631,768.5511
2024-01-08,0,L1095_4631,92.2242
2024-01-08,0,L3613_4631,-860.7753
2024-01-08,0,L2398_3038,602.2578
2024-01-08,0,L2398_3599,740.2944
2024-01-08,0,L2391_2398,1420.8059
2024-01-08,0,L3038_4632,681.2258
2024-01-08,0,L2395_3597,-1062.8067
2024-01-08,0,L3597_4632,-550.1183
2024-01-08,0,L1095_2393,49.4328
2024-01-08,0,L611_2391,1232.4953
2024-01-08,0,L611_2388,-1232.4953
2024-01-08,0,L2388_4636,-826.7455
2024-01-08,0,L504_2388,405.7498
2024-01-08,0,L2386_3605,-460.6141
2024-01-08,0,L4634_4635,-520.9088
2024-01-08,0,L608_4634,153.2978
2024-01-08,0,L4634_4637,674.2066
2024-01-08,0,L2387_4635,520.9088
2024-01-08,0,L4636_4637,-826.7455
2024-01-08,0,L3666_4637,152.5389
2024-01-08,0,L2385_4638,-140.9571
2024-01-08,0,L2385_3582,118.2545
2024-01-08,0,L2383_3582,-104.0683
2024-01-08,0,L3606_4638,403.6869
2024-01-08,0,L607_608,153.2978
2024-01-08,0,L200_3605,173.0292
2024-01-08,0,L3452_3605,287.5849
2024-01-08,0,L600_3452,287.5849
2024-01-08,0,L2391_3667,-171.5873
2024-01-08,0,L44_3613,0.0
2024-01-08,0,L1087_3613,60.4602
2024-01-08,0,L3606_4660,541.2952
2024-01-08,0,L3606_3608,-944.9821
2024-01-08,0,L3583_3608,0.0
2024-01-08,0,L2385_3607,-206.8761
2024-01-08,0,L3598_3599,0.0
2024-01-08,0,L3599_3616,740.2944
2024-01-08,0,L3616_3617,0.0
2024-01-08,0,L3596_3597,166.958
2024-01-08,0,L3458_3597,0.0
2024-01-08,0,L3597_3613,-163.5944
2024-01-08,0,L967_3764,-383.0956
2024-01-08,0,L967_1780,383.0956
2024-01-08,0,L964_3764,292.4941
2024-01-08,0,L964_1783,-292.4941
2024-01-08,0,L3764_3765,0.0
2024-01-08,0,L1783_3764,305.1096
2024-01-08,0,L69_873,-162.7668
2024-01-08,0,L966_1783,241.7875
2024-01-08,0,L3631_4665,0.0
2024-01-08,0,L3630_4665,0.0
2024-01-08,0,L966_4665,-0.0
2024-01-08,0,L1777_1783,355.8162
2024-01-08,0,L1777_3470,44.0053
2024-01-08,0,L2589_4667,-1044.3199
2024-01-08,0,L4667_4730,-1639.8961
2024-01-08,0,L84_2588,-538.3447
2024-01-08,0,L2659_2670,-231.9097
