Date,Hour,Line,Flow
2024-07-23,0,L1125_2389,-217.3912
2024-07-23,0,L3595_3616,-353.1035
2024-07-23,0,L4611_4660,75.4139
2024-07-23,0,L2384_4611,154.4549
2024-07-23,0,L4612_4630,35.522
2024-07-23,0,L1076_4612,87.5936
2024-07-23,0,L2193_2384,-160.9999
2024-07-23,0,L89_1584,0.0
2024-07-23,0,L1575_4614,126.4561
2024-07-23,0,L1575_1584,-36.6056
2024-07-23,0,L2820_3156,84.7877
2024-07-23,0,L569_2384,-131.2095
2024-07-23,0,L2384_4615,6.6257
2024-07-23,0,L597_1156,17.9627
2024-07-23,0,L136_4615,-6.6257
2024-07-23,0,L1550_1552,-19.3407
2024-07-23,0,L1552_3702,-19.3407
2024-07-23,0,L4616_4617,19.3407
2024-07-23,0,L1550_4616,19.3407
2024-07-23,0,L4617_4620,19.3407
2024-07-23,0,L1548_4620,-19.3407
2024-07-23,0,L136_1548,31.0783
2024-07-23,0,L136_591,-24.4526
2024-07-23,0,L1125_4287,188.4007
2024-07-23,0,L51_2389,24.42
2024-07-23,0,L3050_3668,0.0
2024-07-23,0,L46_3156,0.0
2024-07-23,0,L3050_4625,-0.0
2024-07-23,0,L1550_4625,0.0
2024-07-23,0,L2389_3157,0.0
2024-07-23,0,L1575_1583,-111.6212
2024-07-23,0,L2394_3613,-170.5658
2024-07-23,0,L2398_4630,-35.522
2024-07-23,0,L1152_2398,-56.8756
2024-07-23,0,L1152_3822,56.8756
2024-07-23,0,L3822_4631,195.792
2024-07-23,0,L1095_4631,-17.0219
2024-07-23,0,L3613_4631,-178.77
2024-07-23,0,L2398_3038,128.8145
2024-07-23,0,L2398_3599,306.2822
2024-07-23,0,L2391_2398,189.1352
2024-07-23,0,L3038_4632,145.5072
2024-07-23,0,L2395_3597,-168.8888
2024-07-23,0,L3597_4632,-116.9736
2024-07-23,0,L1095_2393,32.501
2024-07-23,0,L611_2391,149.3072
2024-07-23,0,L611_2388,-149.3072
2024-07-23,0,L2388_4636,-88.677
2024-07-23,0,L504_2388,60.6302
2024-07-23,0,L2386_3605,-65.3511
2024-07-23,0,L4634_4635,-55.8728
