Date,Hour,Type,Solve Time
2024-07-23,0,SCED,1.1085
2024-07-23,1,SCED,1.017
2024-07-23,2,SCED,0.9862
2024-07-23,3,SCED,0.9735
2024-07-23,4,SCED,0.9783
2024-07-23,5,SCED,0.9756
2024-07-23,6,SCED,0.992
2024-07-23,7,SCED,0.9004
2024-07-23,8,SCED,1.0109
2024-07-23,9,SCED,2.8872
2024-07-23,10,SCED,1.0073
2024-07-23,11,SCED,0.9347
2024-07-23,12,SCED,0.9463
2024-07-23,13,SCED,0.9204
2024-07-23,14,SCED,1.0287
2024-07-23,15,SCED,1.0528
2024-07-23,16,SCED,1.072
2024-07-23,17,SCED,1.0785
2024-07-23,18,SCED,0.9648
2024-07-23,19,SCED,1.0995
2024-07-23,20,SCED,0.9752
2024-07-23,21,SCED,0.9644
2024-07-23,22,SCED,0.9949
2024-07-23,23,SCED,0.9917
