Date,Hour,Type,Solve Time
2024-03-29,0,SCED,1.5426
2024-03-29,1,SCED,1.3433
2024-03-29,2,SCED,1.3623
2024-03-29,3,SCED,1.3841
2024-03-29,4,SCED,1.3508
2024-03-29,5,SCED,1.4144
2024-03-29,6,SCED,1.3445
2024-03-29,7,SCED,1.3899
2024-03-29,8,SCED,1.2005
2024-03-29,9,SCED,1.2485
2024-03-29,10,SCED,1.3683
2024-03-29,11,SCED,1.3052
2024-03-29,12,SCED,1.2464
2024-03-29,13,SCED,1.3201
2024-03-29,14,SCED,1.2457
2024-03-29,15,SCED,5.0116
2024-03-29,16,SCED,1.2608
2024-03-29,17,SCED,1.2393
2024-03-29,18,SCED,1.2792
2024-03-29,19,SCED,1.363
2024-03-29,20,SCED,1.2365
2024-03-29,21,SCED,1.2255
2024-03-29,22,SCED,1.2584
2024-03-29,23,SCED,1.1848
