Date,Hour,FixedCosts,VariableCosts,LoadShedding,OverGeneration,AvailableReserves,ReserveShortfall,RenewablesUsed,RenewablesAvailable,RenewablesCurtailment,Demand,Price,Number on/offs,Sum on/off ramps,Sum nominal ramps
2024-10-29,0,242127.19,167349.3608,0.0,0.0,7334.7153,0.0,24742.1977,24742.1977,-0.0,44858.5824,9.1282,381,0.0,7426.0747
2024-10-29,1,242127.19,136717.0858,0.0,0.0,8521.2405,0.0,24308.4788,24308.4788,0.0,43238.3383,8.7618,0,0.0,1288.3085
2024-10-29,2,234409.27,122916.1527,0.0,0.0,8413.6344,0.0,24239.5712,24239.5712,-0.0,42358.2368,8.4358,5,0.0,874.2966
2024-10-29,3,219589.27,129056.215,0.0,0.0,7225.5862,0.0,24012.5785,24012.5785,-0.0,41837.2923,8.3334,2,0.0,1240.5591
2024-10-29,4,226636.87,126688.1775,0.0,0.0,7320.3077,0.0,24194.9824,24194.9824,-0.0,42176.6747,8.3773,3,251.7,204.1538
2024-10-29,5,241271.35,139819.2663,0.0,0.0,7409.5952,0.0,24624.6527,24624.6527,-0.0,43627.0175,8.7352,8,522.66,1738.5445
2024-10-29,6,248989.27,192790.4798,0.0,0.0,6553.2923,319.1621,24462.5148,24462.5148,0.0,45816.3625,9.6424,5,275.64,2075.8429
2024-10-29,7,253086.79,209828.939,0.0,0.0,6545.8272,460.9441,24560.9959,24560.9959,-0.0,46711.8087,9.91,4,146.33999999999997,705.4721
2024-10-29,8,253086.79,168074.6623,0.0,0.0,8568.9701,0.0,26708.378,26708.378,-0.0,47177.5079,8.9272,0,0.0,1891.6829
2024-10-29,9,246128.19,134976.4692,0.0,0.0,9043.6013,0.0,30048.4163,30161.2613,112.845,48707.965,7.8243,12,355.04999999999995,4606.1653
2024-10-29,10,257746.23,148751.6315,0.0,0.0,9415.2516,0.0,30925.8425,31416.2078,490.3653,50457.1209,8.0563,5,414.93,1316.4357
2024-10-29,11,270615.03,163650.7286,0.0,0.0,9982.4488,0.0,31906.6891,32610.3118,703.6227,52298.5403,8.3036,6,459.6,1947.066
2024-10-29,12,277091.43,186968.5417,0.0,0.0,10273.0015,0.0,32672.6307,33573.8553,901.2246,54077.6292,8.5814,3,231.3,1462.932
2024-10-29,13,286549.83,208773.2329,0.0,0.0,9923.4479,0.0,32929.387,33874.4666,945.0796,55561.4391,8.9149,5,337.79999999999995,2039.0234
2024-10-29,14,293673.03,226835.5401,0.0,0.0,10001.5458,0.0,33288.5757,34273.4769,984.9012,56885.1299,9.1502,3,254.4,774.9021
2024-10-29,15,299036.43,243836.577,0.0,0.0,9750.2709,0.0,33130.1337,33918.7409,788.6072,57740.6728,9.4019,2,169.11,844.8748
2024-10-29,16,305552.31,263240.5569,0.0,0.0,9380.5711,0.0,32805.876,33221.8113,415.9353,58413.4149,9.7374,2,232.71,2102.9714
2024-10-29,17,316302.31,295346.8616,0.0,0.0,8636.0558,79.1438,30776.2867,30776.2867,0.0,58101.3309,10.5273,2,430.0,2110.2289
2024-10-29,18,316302.31,369904.8668,0.0,0.0,6538.3444,1957.9608,26574.2789,26574.2789,-0.0,56642.0345,12.1148,0,0.0,6334.3995
2024-10-29,19,325017.51,375791.5604,0.0,0.0,5487.2082,2983.8329,25646.1153,25646.1153,-0.0,56473.6071,12.4095,7,1010.8,1276.9627
2024-10-29,20,318413.43,334402.592,0.0,0.0,7538.4385,710.655,25917.6953,25917.6953,0.0,54993.9568,11.8707,2,0.0,3488.5291
2024-10-29,21,300025.83,297248.9615,0.0,0.0,7345.6952,604.5673,25921.7453,25921.7453,0.0,53001.7501,11.269,9,0.0,1668.1257
2024-10-29,22,293301.63,239536.8215,0.0,0.0,8938.399,0.0,25658.2752,25658.2752,0.0,50345.0762,10.5837,5,0.0,2153.0538
2024-10-29,23,270528.39,201216.1073,0.0,0.0,8458.7894,0.0,24904.3353,24904.3353,-0.0,47359.6459,9.9609,13,0.0,1418.1604
