Date,Hour,Line,Flow
2024-10-29,0,L1125_2389,-1072.6489
2024-10-29,0,L3595_3616,-938.3843
2024-10-29,0,L4611_4660,-628.9167
2024-10-29,0,L2384_4611,-545.3375
2024-10-29,0,L4612_4630,282.9999
2024-10-29,0,L1076_4612,357.0799
2024-10-29,0,L2193_2384,-686.0877
2024-10-29,0,L89_1584,0.0
2024-10-29,0,L1575_4614,656.8969
2024-10-29,0,L1575_1584,-274.4969
2024-10-29,0,L2820_3156,223.4845
2024-10-29,0,L569_2384,-29.1373
2024-10-29,0,L2384_4615,-358.889
2024-10-29,0,L597_1156,26.5698
2024-10-29,0,L136_4615,358.889
2024-10-29,0,L1550_1552,-145.0311
2024-10-29,0,L1552_3702,-145.0311
2024-10-29,0,L4616_4617,145.0311
2024-10-29,0,L1550_4616,145.0311
2024-10-29,0,L4617_4620,145.0311
2024-10-29,0,L1548_4620,-145.0311
2024-10-29,0,L136_1548,-175.5248
2024-10-29,0,L136_591,-183.3642
2024-10-29,0,L1125_4287,1007.0895
2024-10-29,0,L51_2389,183.12
2024-10-29,0,L3050_3668,0.0
2024-10-29,0,L46_3156,0.0
2024-10-29,0,L3050_4625,-0.0
2024-10-29,0,L1550_4625,0.0
2024-10-29,0,L2389_3157,0.0
2024-10-29,0,L1575_1583,-434.411
2024-10-29,0,L2394_3613,-655.2576
2024-10-29,0,L2398_4630,-282.9999
2024-10-29,0,L1152_2398,-205.2477
2024-10-29,0,L1152_3822,205.2477
2024-10-29,0,L3822_4631,661.66
2024-10-29,0,L1095_4631,68.4124
2024-10-29,0,L3613_4631,-730.0724
2024-10-29,0,L2398_3038,507.2501
2024-10-29,0,L2398_3599,587.2822
2024-10-29,0,L2391_2398,1154.4016
2024-10-29,0,L3038_4632,573.6195
2024-10-29,0,L2395_3597,-869.7841
2024-10-29,0,L3597_4632,-463.9802
2024-10-29,0,L1095_2393,46.1609
2024-10-29,0,L611_2391,1004.8937
2024-10-29,0,L611_2388,-1004.8937
2024-10-29,0,L2388_4636,-664.9696
2024-10-29,0,L504_2388,339.9241
2024-10-29,0,L2386_3605,-382.466
2024-10-29,0,L4634_4635,-418.9784
2024-10-29,0,L608_4634,123.3008
2024-10-29,0,L4634_4637,542.2792
2024-10-29,0,L2387_4635,418.9784
2024-10-29,0,L4636_4637,-664.9696
2024-10-29,0,L3666_4637,122.6904
2024-10-29,0,L2385_4638,-131.1532
2024-10-29,0,L2385_3582,97.9443
2024-10-29,0,L2383_3582,-86.1946
2024-10-29,0,L3606_4638,327.8653
2024-10-29,0,L607_608,123.3008
2024-10-29,0,L200_3605,139.1712
2024-10-29,0,L3452_3605,243.2948
2024-10-29,0,L600_3452,243.2948
2024-10-29,0,L2391_3667,-138.0114
2024-10-29,0,L44_3613,0.0
2024-10-29,0,L1087_3613,50.2052
