Date,Hour,FixedCosts,VariableCosts,LoadShedding,OverGeneration,AvailableReserves,ReserveShortfall,RenewablesUsed,RenewablesAvailable,RenewablesCurtailment,Demand,Price,Number on/offs,Sum on/off ramps,Sum nominal ramps
2024-03-29,0,44370.4,0.0,0,0,2545.95,0.0,15805.186,25942.016,10136.83,16173.9191,2.7433,438,0.0,0.0
2024-03-29,1,44370.4,0.0,0,0,2545.95,0.0,13635.3102,25925.8023,12290.4921,15702.2394,2.8257,0,0.0,0.0
2024-03-29,2,43607.03,0.0,0,0,2356.5,0.0,13942.7551,25394.7972,11452.0421,15350.7817,2.8407,5,1.83,0.0
2024-03-29,3,43857.63,0.0,0,0,2322.57,0.0,13179.6508,25382.6408,12202.99,15240.4267,2.8777,5,8.15,0.0
2024-03-29,4,43864.93,0.0,0,0,2395.92,0.0,12798.8126,25552.8857,12754.0731,15369.2976,2.8541,3,7.3,0.0
2024-03-29,5,44674.71,0.0,0,0,2378.64,0.0,13216.675,25747.4504,12530.7754,15845.3853,2.8194,6,19.5,0.0
2024-03-29,6,44410.93,0.0,0,0,2495.64,0.0,13205.6828,26233.8632,13028.1804,16478.5837,2.6951,4,9.22,0.0
2024-03-29,7,45423.91,0.0,0,0,2570.52,0.0,13505.5725,26574.568,13068.9955,17102.3619,2.656,4,24.14,0.0
2024-03-29,8,45697.81,0.0,0,0,2787.78,0.0,13937.1206,29630.6941,15693.5735,17558.8132,2.6026,2,7.4,0.0
2024-03-29,9,45417.47,0.0,0,0,2764.38,0.0,12939.9491,32039.7676,19099.8185,17932.5991,2.5327,3,2.83,0.0
2024-03-29,10,45417.47,0.0,0,0,2731.35,0.0,13174.8154,33076.9299,19902.1145,18167.4654,2.4999,2,6.5,0.0
2024-03-29,11,45417.47,0.0,0,0,2789.85,0.0,13356.7548,33487.1482,20130.3934,18349.4048,2.4751,0,0.0,0.0
2024-03-29,12,45699.01,0.0,0,0,2775.18,0.0,13435.3006,33725.7887,20290.4881,18436.3206,2.4787,2,10.0,0.0
2024-03-29,13,45699.01,0.0,0,0,2865.18,0.0,13605.5664,34097.3289,20491.7625,18606.5864,2.4561,0,0.0,0.0
2024-03-29,14,45969.11,0.0,0,0,2839.08,0.0,13913.9209,34702.3893,20788.4684,18918.5409,2.4298,2,6.5,0.0
2024-03-29,15,45969.11,0.0,0,0,2897.58,0.0,13991.0379,33681.6654,19690.6275,18995.6579,2.42,0,0.0,0.0
2024-03-29,16,46242.11,0.0,0,0,2897.58,0.0,14287.1827,33134.778,18847.5953,19298.3027,2.3962,1,6.5,0.0
2024-03-29,17,46245.01,0.0,0,0,2956.08,0.0,14388.9589,32447.7565,18058.7976,19402.9789,2.3834,1,2.9,0.0
2024-03-29,18,46244.11,0.0,0,0,2974.08,0.0,14188.1667,29643.7362,15455.5695,19201.2867,2.4084,1,0.0,0.0
2024-03-29,19,45972.01,0.0,0,0,2915.58,0.0,13931.8752,26355.8032,12423.928,18939.3952,2.4273,2,0.9,0.0
2024-03-29,20,46245.01,0.0,0,0,2923.68,0.0,14014.3083,25791.4689,11777.1606,19028.3283,2.4303,1,6.5,0.0
2024-03-29,21,46245.01,0.0,0,0,2982.18,0.0,13571.3693,25929.8559,12358.4866,18585.3893,2.4882,0,0.0,0.0
2024-03-29,22,45396.61,0.0,0,0,2800.38,0.0,12939.0947,25451.5498,12512.4551,17932.9147,2.5315,1,0.0,0.0
2024-03-29,23,45026.17,0.0,0,0,2721.0,0.0,12184.5655,25686.6493,13502.0838,17169.5655,2.6224,1,0.0,0.0
