Date,Hour,Type,Solve Time
2025-11-05,0,SCED,0.9327
2025-11-05,1,SCED,0.9289
2025-11-05,2,SCED,0.9451
2025-11-05,3,SCED,0.9356
2025-11-05,4,SCED,0.9386
2025-11-05,5,SCED,0.9369
2025-11-05,6,SCED,0.9352
2025-11-05,7,SCED,0.9356
2025-11-05,8,SCED,0.9429
2025-11-05,9,SCED,0.9345
2025-11-05,10,SCED,0.9391
2025-11-05,11,SCED,0.9353
2025-11-05,12,SCED,0.9395
2025-11-05,13,SCED,0.9391
2025-11-05,14,SCED,0.9372
2025-11-05,15,SCED,0.9441
2025-11-05,16,SCED,0.9393
2025-11-05,17,SCED,0.9347
2025-11-05,18,SCED,0.9388
2025-11-05,19,SCED,0.9387
2025-11-05,20,SCED,0.9391
2025-11-05,21,SCED,0.9419
2025-11-05,22,SCED,0.9425
2025-11-05,23,SCED,0.9395
