Date,Hour,Line,Flow
2024-01-08,0,L1109_1111,516.1549
2024-01-08,0,L826_827,192.9883
2024-01-08,0,L1617_2124,-1200.0
2024-01-08,0,L32_41,40.1871
2024-01-08,0,L1625_1919,-487.7194
2024-01-08,0,L1622_3102,-370.0956
2024-01-08,0,L2421_3054,0.0
2024-01-08,0,L1922_2903,-591.3996
2024-01-08,0,L1487_1490,-395.5983
2024-01-08,0,L3037_3061,965.0346
2024-01-08,0,L2088_3124,482.2697
2024-01-08,0,L3073_3087,331.9666
2024-01-08,0,L2173_2389,-57.8778
2024-01-08,0,L710_2392,-109.1611
2024-01-08,0,L1519_1682,0.0
2024-01-08,0,L1606_1612,2.1707
2024-01-08,0,L2032_3046,-867.6914
2024-01-08,0,L838_2440,-663.0941
2024-01-08,0,L3131_3143,328.7529
2024-01-08,0,L3131_3132,0.0
2024-01-08,0,L820_821,-68.301
2024-01-08,0,L3075_3076,-139.1507
2024-01-08,0,L1565_2966,1200.0
2024-01-08,0,L812_813,-139.7438
2024-01-08,0,L1518_1691,1200.0
2024-01-08,0,L0_1976,-6.713
2024-01-08,0,L1588_1599,-230.4428
2024-01-08,0,L99_1752,1200.0
2024-01-08,0,L804_1650,144.3031
2024-01-08,0,L2050_3059,1110.4411
2024-01-08,0,L852_2447,0.0
2024-01-08,0,L1488_2112,0.0
2024-01-08,0,L1590_1622,-523.4483
2024-01-08,0,L3042_3043,2112.8929
2024-01-08,0,L0_3078,-1202.2273
2024-01-08,0,L794_2208,21.2374
2024-01-08,0,L1531_1540,-143.4529
2024-01-08,0,L1910_3051,-523.081
2024-01-08,0,L1638_2380,-95.2118
2024-01-08,0,L1645_1649,0.0
2024-01-08,0,L1684_1687,-43.7296
2024-01-08,0,L795_1546,1234.9513
2024-01-08,0,L1486_3053,0.0
2024-01-08,0,L580_1645,763.7189
2024-01-08,0,L2995_3104,119.7662
2024-01-08,0,L3096_3097,-386.7829
2024-01-08,0,L1664_3042,354.6986
2024-01-08,0,L1937_2317,-158.8685
2024-01-08,0,L1700_1822,1310.9392
2024-01-08,0,L129_818,491.3616
2024-01-08,0,L1543_3058,1110.4411
2024-01-08,0,L2362_2382,241.4012
2024-01-08,0,L0_3108,1208.9402
2024-01-08,0,L1968_2963,208.4772
2024-01-08,0,L536_999,0.0
2024-01-08,0,L346_3053,0.0
2024-01-08,0,L1893_3040,636.2952
2024-01-08,0,L2054_2423,0.0
2024-01-08,0,L1603_2409,-645.9878
2024-01-08,0,L1593_1597,50.7097
2024-01-08,0,L3061_3069,563.697
2024-01-08,0,L1549_3083,-17.9179
2024-01-08,0,L3129_3139,-75.6592
2024-01-08,0,L1492_3052,-74.0316
2024-01-08,0,L840_1578,-0.0
2024-01-08,0,L1560_2357,29.1775
2024-01-08,0,L2311_2437,0.0
2024-01-08,0,L2409_3134,-0.0
2024-01-08,0,L2230_2314,-253.875
2024-01-08,0,L793_924,-328.7529
2024-01-08,0,L577_820,-248.1728
2024-01-08,0,L3077_3081,-4.9149
2024-01-08,0,L1719_1937,258.5602
2024-01-08,0,L1581_1582,0.0
2024-01-08,0,L1617_3104,443.6119
2024-01-08,0,L1971_3073,678.3923
2024-01-08,0,L1503_1515,-267.7701
2024-01-08,0,L3067_3068,-133.3073
2024-01-08,0,L1590_2978,657.4478
2024-01-08,0,L1599_1647,-0.0
2024-01-08,0,L1641_1642,0.0
2024-01-08,0,L1603_2450,578.1447
2024-01-08,0,L1526_1528,-343.1151
2024-01-08,0,L1635_1636,-53.219
2024-01-08,0,L1609_1612,0.0
2024-01-08,0,L3006_3084,-312.7846
2024-01-08,0,L1638_3135,-261.2756
2024-01-08,0,L2319_2320,-158.8685
2024-01-08,0,L1559_1821,800.4932
2024-01-08,0,L2451_2551,-0.0
2024-01-08,0,L2448_2449,0.0
2024-01-08,0,L1547_1821,-0.4038
2024-01-08,0,L1589_2978,-997.0376
2024-01-08,0,L2214_3140,266.4022
2024-01-08,0,L2354_2355,0.0
2024-01-08,0,L606_3055,-174.8042
2024-01-08,0,L1648_1651,0.0
2024-01-08,0,L1601_1895,-1200.0
2024-01-08,0,L19_3127,0.0
2024-01-08,0,L2280_3136,0.0
2024-01-08,0,L1583_2980,0.0
2024-01-08,0,L834_2385,301.3363
2024-01-08,0,L522_820,51.1878
2024-01-08,0,L1516_1517,0.0
2024-01-08,0,L1482_1484,-331.8524
2024-01-08,0,L68_1604,300.244
2024-01-08,0,L2336_2342,238.7575
2024-01-08,0,L1937_2783,232.9015
2024-01-08,0,L2995_3107,-432.9997
2024-01-08,0,L804_805,-150.0573
2024-01-08,0,L14_836,-410.2967
2024-01-08,0,L1570_1571,-830.9467
2024-01-08,0,L1818_1937,176.1086
2024-01-08,0,L126_2372,0.0
2024-01-08,0,L862_1488,-277.2069
2024-01-08,0,L2313_3063,0.0
2024-01-08,0,L794_3139,83.1017
2024-01-08,0,L829_838,129.8706
2024-01-08,0,L1515_1517,-387.6097
2024-01-08,0,L3012_3115,688.4293
2024-01-08,0,L788_1109,516.1549
2024-01-08,0,L805_2413,-0.0
2024-01-08,0,L803_2352,-629.5996
2024-01-08,0,L1688_1770,30.3164
2024-01-08,0,L1910_3046,340.0061
2024-01-08,0,L1604_1612,749.8618
2024-01-08,0,L1570_1590,740.265
2024-01-08,0,L1553_1560,464.1211
2024-01-08,0,L822_3065,-223.5141
2024-01-08,0,L99_1409,837.2657
2024-01-08,0,L801_1629,357.8372
2024-01-08,0,L1531_3051,523.081
2024-01-08,0,L1650_2277,-38.2509
2024-01-08,0,L1909_3122,-570.4315
2024-01-08,0,L1899_1909,-1210.4318
2024-01-08,0,L3119_3120,492.8988
2024-01-08,0,L129_2428,-82.8491
2024-01-08,0,L1895_3078,2335.096
2024-01-08,0,L999_3038,-0.0
2024-01-08,0,L2950_2952,585.8677
2024-01-08,0,L577_2719,-137.1864
2024-01-08,0,L991_1606,-132.0688
2024-01-08,0,L3098_3099,-613.7868
2024-01-08,0,L806_2415,260.3583
2024-01-08,0,L2341_3071,-169.755
2024-01-08,0,L1524_1662,1422.8759
2024-01-08,0,L807_2383,-169.755
2024-01-08,0,L1598_3109,-743.3122
2024-01-08,0,L2414_2415,85.3762
2024-01-08,0,L3006_3089,393.6633
2024-01-08,0,L2964_3122,496.3872
2024-01-08,0,L1631_3094,-836.3473
2024-01-08,0,L202_808,1047.8878
2024-01-08,0,L851_3056,0.0
2024-01-08,0,L1515_1818,-331.9381
2024-01-08,0,L924_3127,-309.7599
2024-01-08,0,L177_837,-199.6335
2024-01-08,0,L1013_1498,51.8058
2024-01-08,0,L514_3067,-91.4403
2024-01-08,0,L1598_1680,-222.4102
2024-01-08,0,L129_2341,-408.5125
2024-01-08,0,L1596_1597,555.3372
2024-01-08,0,L1650_2308,136.0799
2024-01-08,0,L2963_2986,138.5507
2024-01-08,0,L1625_1696,466.3807
2024-01-08,0,L520_824,55.8019
2024-01-08,0,L2433_2435,0.0
2024-01-08,0,L1303_3045,-14.7289
2024-01-08,0,L999_2286,-170.2941
2024-01-08,0,L1888_3082,0.0
2024-01-08,0,L3036_3124,13.7938
2024-01-08,0,L1528_2272,-241.6516
2024-01-08,0,L814_815,-98.566
2024-01-08,0,L2310_2311,-445.0775
2024-01-08,0,L3069_3070,-114.4537
2024-01-08,0,L2050_2051,-1110.4411
2024-01-08,0,L2955_3075,-289.4875
2024-01-08,0,L1692_1693,-504.7
2024-01-08,0,L804_816,5.7542
2024-01-08,0,L1484_2373,63.7458
2024-01-08,0,L1496_2364,342.8512
2024-01-08,0,L1490_1495,-424.6981
2024-01-08,0,L1664_1821,-1348.3449
2024-01-08,0,L2028_2317,0.0
2024-01-08,0,L1599_2261,370.0956
2024-01-08,0,L206_3128,-529.4415
2024-01-08,0,L1889_3026,-1556.775
2024-01-08,0,L1600_1895,997.096
2024-01-08,0,L1613_3089,-334.6707
2024-01-08,0,L1937_3057,-290.8764
2024-01-08,0,L2411_2412,0.0
2024-01-08,0,L1607_1612,0.0
2024-01-08,0,L1573_1590,-491.6956
2024-01-08,0,L1621_3087,-328.2145
2024-01-08,0,L836_1583,-32.085
2024-01-08,0,L1636_2380,25.5144
2024-01-08,0,L62_1601,-1001.2498
2024-01-08,0,L808_2230,-611.8244
2024-01-08,0,L202_2131,-328.7529
2024-01-08,0,L2390_3038,0.0
2024-01-08,0,L2261_3145,370.0956
2024-01-08,0,L807_3071,169.755
2024-01-08,0,L2307_2335,159.9609
2024-01-08,0,L788_1584,-686.449
2024-01-08,0,L1664_1851,-733.5015
2024-01-08,0,L125_2230,357.9494
2024-01-08,0,L2195_3092,-97.5625
2024-01-08,0,L1515_1791,451.7777
2024-01-08,0,L1580_3067,-41.867
2024-01-08,0,L2365_2366,0.0
2024-01-08,0,L1013_3045,46.8067
2024-01-08,0,L515_1650,80.4662
2024-01-08,0,L1483_3055,174.8042
2024-01-08,0,L2951_3085,-708.9219
2024-01-08,0,L1665_3100,-227.6908
2024-01-08,0,L1062_2272,72.2955
2024-01-08,0,L795_2049,-1110.4411
2024-01-08,0,L1583_1584,165.8074
2024-01-08,0,L1818_1845,-218.9182
2024-01-08,0,L1571_2969,894.5444
2024-01-08,0,L850_2054,-291.095
2024-01-08,0,L5_182,-44.5838
2024-01-08,0,L31_32,47.0449
2024-01-08,0,L643_644,-1634.2
2024-01-08,0,L2042_3109,37.6412
2024-01-08,0,L794_2389,57.8778
2024-01-08,0,L3113_3117,-550.8236
2024-01-08,0,L1937_3029,0.0
2024-01-08,0,L10_753,662.0046
2024-01-08,0,L1598_2436,0.0
2024-01-08,0,L580_2311,-773.2017
2024-01-08,0,L1578_2115,829.5511
2024-01-08,0,L1522_1761,22.9004
2024-01-08,0,L182_2320,158.8685
2024-01-08,0,L1605_3062,770.9879
2024-01-08,0,L2113_3019,0.0
2024-01-08,0,L1622_3103,-153.3527
2024-01-08,0,L3111_3112,-227.6908
2024-01-08,0,L1637_1638,-9.0085
2024-01-08,0,L3048_3049,-1285.4807
2024-01-08,0,L3041_3044,-682.5542
2024-01-08,0,L2279_3137,0.0
