Date,Hour,Generator,Output,Curtailment
2024-01-08,0,AGUAYO_UNIT1,66.085,0.0
2024-01-08,0,AMADEUS1_UNIT1,12.537,0.0
2024-01-08,0,AMADEUS1_UNIT2,12.2259,0.0
2024-01-08,0,AMADEUS2_UNIT3,60.6892,0.0
2024-01-08,0,ANACACHO_ANA,34.0822,0.0
2024-01-08,0,ANCHOR_WIND2,33.7786,0.0
2024-01-08,0,ANCHOR_WIND3,30.7355,0.0
2024-01-08,0,ANCHOR_WIND4,13.22,0.0
2024-01-08,0,ANCHOR_WIND5,6.5948,0.0
2024-01-08,0,APOGEE_UNIT1,8.5376,0.0
2024-01-08,0,APOGEE_UNIT2,4.7811,0.0
2024-01-08,0,APOGEE_UNIT3,10.3135,0.0
2024-01-08,0,APOGEE_UNIT4,39.2731,0.0
2024-01-08,0,APOGEE_UNIT5,37.5656,0.0
2024-01-08,0,APOGEE_UNIT6,8.1961,0.0
2024-01-08,0,APOGEE_UNIT7,25.6129,0.0
2024-01-08,0,APPALOSA_UNIT1,0.0,53.9274
2024-01-08,0,APPALOSA_UNIT2,0.0,4.7431
2024-01-08,0,AVIATOR_UNIT1,0.0,61.5088
2024-01-08,0,AVIATOR_UNIT2,0.0,49.7231
2024-01-08,0,DEWOLF_UNIT1,0.0,68.0657
2024-01-08,0,BLACKJAK_UNIT1,0.0,40.9806
2024-01-08,0,BLACKJAK_UNIT2,0.0,40.9806
2024-01-08,0,BAFFIN_UNIT1,0.0,34.1505
2024-01-08,0,BAFFIN_UNIT2,0.0,34.8335
2024-01-08,0,BARROW_UNIT1,0.0,30.8038
2024-01-08,0,BARROW_UNIT2,0.0,24.0799
2024-01-08,0,BRTSW_BCW1,40.9806,0.0
2024-01-08,0,BLSUMMIT_BLSMT1_5,45.3519,0.0
2024-01-08,0,BLSUMMIT_BLSMT1_6,2.3905,0.0
2024-01-08,0,BLSUMMIT_UNIT2_25,31.5854,0.0
2024-01-08,0,BLSUMMIT_UNIT2_17,2.3602,0.0
2024-01-08,0,BLSUMIT3_UNIT_17,4.6824,0.0
2024-01-08,0,BLSUMIT3_UNIT_25,63.6869,0.0
2024-01-08,0,BCATWIND_WIND_1,55.3238,0.0
2024-01-08,0,BRISCOE_WIND,51.1878,0.0
2024-01-08,0,BBREEZE_UNIT1,0.0,40.9806
2024-01-08,0,BBREEZE_UNIT2,0.0,36.8825
2024-01-08,0,BUCKTHRN_UNIT1,15.3298,0.0
2024-01-08,0,BUCKTHRN_UNIT2,19.0256,0.0
2024-01-08,0,BUFF_GAP_UNIT1,0.0,41.1855
2024-01-08,0,BUFF_GAP_UNIT2_1,0.0,39.4476
2024-01-08,0,BUFF_GAP_UNIT2_2,0.0,39.9561
2024-01-08,0,BUFF_GAP_UNIT3,0.0,58.1242
2024-01-08,0,BULLCRK_WND1,30.3939,0.0
2024-01-08,0,BULLCRK_WND2,31.077,0.0
2024-01-08,0,CABEZON_WIND1,0.0,39.3414
2024-01-08,0,CABEZON_WIND2,0.0,41.8002
2024-01-08,0,CFLATS_U1,0.0,50.6793
2024-01-08,0,CALLAHAN_WND1,0.0,42.0355
2024-01-08,0,CAMWIND_UNIT1,0.0,56.3483
2024-01-08,0,CSEC_CSECG1,45.8983,0.0
2024-01-08,0,CSEC_CSECG2,42.21,0.0
2024-01-08,0,CN_BRKS_UNIT_1,71.754,0.0
2024-01-08,0,CAPRIDGE_CR1,0.0,79.1305
2024-01-08,0,CAPRIDGE_CR2,0.0,51.0588
2024-01-08,0,CAPRIDGE_CR3,0.0,68.6121
2024-01-08,0,CAPRIDG4_CR4,0.0,41.4967
2024-01-08,0,CEDROHIL_CHW1,0.0,27.1155
2024-01-08,0,CEDROHIL_CHW2,0.0,26.6374
2024-01-08,0,CHALUPA_UNIT1,0.0,59.1866
2024-01-08,0,CHAMPION_UNIT1,0.0,33.3005
2024-01-08,0,CHAMPION_UNIT2,0.0,6.185
2024-01-08,0,CHAMPION_UNIT3,0.0,3.0735
2024-01-08,0,SANTACRU_UNIT1,0.0,51.4307
2024-01-08,0,SANTACRU_UNIT2,0.0,33.6041
2024-01-08,0,COTPLNS_COTTONPL,17.2119,0.0
2024-01-08,0,CRANELL_UNIT1,0.0,75.1311
2024-01-08,0,CRAWFISH_UNIT1,0.0,55.7336
2024-01-08,0,DERMOTT_UNIT1,43.2042,0.0
2024-01-08,0,DERMOTT_UNIT2,43.2042,0.0
2024-01-08,0,DSKYWND1_UNIT_1A,0.0,22.471
2024-01-08,0,DSKYWND2_UNIT_2A,0.0,22.471
2024-01-08,0,DSKYWND1_UNIT_1B,0.0,8.1582
2024-01-08,0,DSKYWND2_UNIT_2B,0.0,5.0239
2024-01-08,0,GRANDVW1_COLA,34.2188,0.0
2024-01-08,0,GRANDVW1_COLB,34.2188,0.0
2024-01-08,0,EL_RAYO_UNIT1,0.0,34.5603
2024-01-08,0,EL_RAYO_UNIT2,0.0,33.809
2024-01-08,0,ELB_ELBCREEK,41.6333,0.0
2024-01-08,0,DIGBY_UNIT1,34.5983,0.0
2024-01-08,0,DIGBY_UNIT2,45.8679,0.0
2024-01-08,0,ALGODON_UNIT1,0.0,58.6023
2024-01-08,0,ALGODON_UNIT2,0.0,9.767
2024-01-08,0,CHALUPA_UNIT2,0.0,8.6059
2024-01-08,0,ASTRA_UNIT1,55.7336,0.0
2024-01-08,0,FTWIND_UNIT_1,68.301,0.0
2024-01-08,0,FLUVANNA_UNIT1,27.2521,0.0
2024-01-08,0,FLUVANNA_UNIT2,25.8178,0.0
2024-01-08,0,FOARDCTY_UNIT1,63.6869,0.0
2024-01-08,0,FOARDCTY_UNIT2,55.9385,0.0
2024-01-08,0,MCDLD_FCW1,0.0,42.7564
2024-01-08,0,GOAT_GOATWIND,0.0,27.3204
2024-01-08,0,GOAT_GOATWIN2,0.0,23.7687
2024-01-08,0,GWEC_GWEC_G1,50.7476,0.0
2024-01-08,0,GOODNIT1_UNIT1,41.3221,0.0
2024-01-08,0,GOODNIT1_UNIT2,46.8241,0.0
2024-01-08,0,GOPHER_UNIT1,28.0034,0.0
2024-01-08,0,GOPHER_UNIT2,25.9544,0.0
2024-01-08,0,GRANDVW1_GV1A,36.6776,0.0
2024-01-08,0,GRANDVW1_GV1B,35.4482,0.0
