Date,Hour,Type,Solve Time
2024-01-08,0,SCED,1.1102
2024-01-08,1,SCED,1.0523
2024-01-08,2,SCED,1.0545
2024-01-08,3,SCED,1.0311
2024-01-08,4,SCED,1.0377
2024-01-08,5,SCED,1.0238
2024-01-08,6,SCED,1.0182
2024-01-08,7,SCED,1.0258
2024-01-08,8,SCED,1.025
2024-01-08,9,SCED,1.0193
2024-01-08,10,SCED,1.0165
2024-01-08,11,SCED,1.0329
2024-01-08,12,SCED,0.9762
2024-01-08,13,SCED,0.9951
2024-01-08,14,SCED,0.9962
2024-01-08,15,SCED,1.0111
2024-01-08,16,SCED,1.007
2024-01-08,17,SCED,0.9999
2024-01-08,18,SCED,1.002
2024-01-08,19,SCED,1.0029
2024-01-08,20,SCED,0.9987
2024-01-08,21,SCED,1.0223
2024-01-08,22,SCED,1.0195
2024-01-08,23,SCED,0.9918
