Date,Hour,Line,Flow
2024-01-08,0,L1109_1111,-219.7661
2024-01-08,0,L826_827,-0.0
2024-01-08,0,L1617_2124,-630.0536
2024-01-08,0,L32_41,20.1913
2024-01-08,0,L1625_1919,321.4479
2024-01-08,0,L1622_3102,-308.4573
2024-01-08,0,L2421_3054,152.5389
2024-01-08,0,L1922_2903,-564.9682
2024-01-08,0,L1487_1490,1274.0194
2024-01-08,0,L3037_3061,975.9243
2024-01-08,0,L2088_3124,411.4455
2024-01-08,0,L3073_3087,191.4651
2024-01-08,0,L2173_2389,-666.1423
2024-01-08,0,L710_2392,-102.5749
2024-01-08,0,L1519_1682,0.0
2024-01-08,0,L1606_1612,52.873
2024-01-08,0,L2032_3046,545.5514
2024-01-08,0,L838_2440,354.536
2024-01-08,0,L3131_3143,18.9661
2024-01-08,0,L3131_3132,0.0
2024-01-08,0,L820_821,0.0
2024-01-08,0,L3075_3076,-22.5736
2024-01-08,0,L1565_2966,138.8515
2024-01-08,0,L812_813,0.0
2024-01-08,0,L1518_1691,-379.8739
2024-01-08,0,L0_1976,10.5805
2024-01-08,0,L1588_1599,-49.648
2024-01-08,0,L99_1752,111.4071
2024-01-08,0,L804_1650,-224.726
2024-01-08,0,L2050_3059,284.5208
2024-01-08,0,L852_2447,-180.3147
2024-01-08,0,L1488_2112,0.0
2024-01-08,0,L1590_1622,-316.011
2024-01-08,0,L3042_3043,-84.2988
2024-01-08,0,L0_3078,-1261.0856
2024-01-08,0,L794_2208,582.6593
2024-01-08,0,L1531_1540,48.1035
2024-01-08,0,L1910_3051,425.907
2024-01-08,0,L1638_2380,-331.6215
2024-01-08,0,L1645_1649,0.0
2024-01-08,0,L1684_1687,68.0367
2024-01-08,0,L795_1546,-66.7212
2024-01-08,0,L1486_3053,520.9088
2024-01-08,0,L580_1645,844.9181
2024-01-08,0,L2995_3104,-194.5858
2024-01-08,0,L3096_3097,478.4503
2024-01-08,0,L1664_3042,184.2085
2024-01-08,0,L1937_2317,-1215.5945
2024-01-08,0,L1700_1822,-160.2681
2024-01-08,0,L129_818,787.5281
2024-01-08,0,L1543_3058,284.5208
2024-01-08,0,L2362_2382,-1241.0544
2024-01-08,0,L0_3108,1250.5051
2024-01-08,0,L1968_2963,194.329
2024-01-08,0,L536_999,0.0
2024-01-08,0,L346_3053,153.2978
2024-01-08,0,L1893_3040,667.0196
2024-01-08,0,L2054_2423,0.0
2024-01-08,0,L1603_2409,-199.1567
2024-01-08,0,L1593_1597,89.2136
2024-01-08,0,L3061_3069,582.3014
2024-01-08,0,L1549_3083,348.5182
2024-01-08,0,L3129_3139,398.8147
2024-01-08,0,L1492_3052,186.02
2024-01-08,0,L840_1578,-0.0
2024-01-08,0,L1560_2357,-259.3634
2024-01-08,0,L2311_2437,0.0
2024-01-08,0,L2409_3134,-0.0
2024-01-08,0,L2230_2314,0.0
2024-01-08,0,L793_924,-18.9661
2024-01-08,0,L577_820,-225.8055
2024-01-08,0,L3077_3081,333.174
2024-01-08,0,L1719_1937,-841.9005
2024-01-08,0,L1581_1582,0.0
2024-01-08,0,L1617_3104,341.3281
2024-01-08,0,L1971_3073,407.8198
2024-01-08,0,L1503_1515,1173.9642
2024-01-08,0,L3067_3068,-45.6317
2024-01-08,0,L1590_2978,480.999
2024-01-08,0,L1599_1647,-0.0
2024-01-08,0,L1641_1642,0.0
2024-01-08,0,L1603_2450,80.8812
2024-01-08,0,L1526_1528,63.975
2024-01-08,0,L1635_1636,1039.0892
2024-01-08,0,L1609_1612,102.3756
2024-01-08,0,L3006_3084,154.9679
2024-01-08,0,L1638_3135,72.7961
2024-01-08,0,L2319_2320,-1215.5945
2024-01-08,0,L1559_1821,-166.1826
2024-01-08,0,L2451_2551,0.0
2024-01-08,0,L2448_2449,0.0
2024-01-08,0,L1547_1821,-0.4038
2024-01-08,0,L1589_2978,-728.4626
2024-01-08,0,L2214_3140,388.9237
2024-01-08,0,L2354_2355,0.0
2024-01-08,0,L606_3055,34.7357
2024-01-08,0,L1648_1651,0.0
2024-01-08,0,L1601_1895,-291.6718
2024-01-08,0,L19_3127,0.0
2024-01-08,0,L2280_3136,-0.0
2024-01-08,0,L1583_2980,0.0
2024-01-08,0,L834_2385,230.9623
2024-01-08,0,L522_820,0.0
2024-01-08,0,L1516_1517,0.0
2024-01-08,0,L1482_1484,-206.1868
2024-01-08,0,L68_1604,229.87
2024-01-08,0,L2336_2342,530.547
2024-01-08,0,L1937_2783,124.7094
2024-01-08,0,L2995_3107,-88.8856
2024-01-08,0,L804_805,0.0
2024-01-08,0,L14_836,-308.0979
2024-01-08,0,L1570_1571,-721.9175
2024-01-08,0,L1818_1937,860.8821
2024-01-08,0,L126_2372,173.0292
2024-01-08,0,L862_1488,781.4813
2024-01-08,0,L2313_3063,0.0
2024-01-08,0,L794_3139,-809.0572
2024-01-08,0,L829_838,0.0
2024-01-08,0,L1515_1517,1276.4368
2024-01-08,0,L3012_3115,643.5237
2024-01-08,0,L788_1109,-219.7661
2024-01-08,0,L805_2413,0.0
2024-01-08,0,L803_2352,158.8461
2024-01-08,0,L1688_1770,-92.149
2024-01-08,0,L1910_3046,-285.5945
2024-01-08,0,L1604_1612,-17.2768
2024-01-08,0,L1570_1590,746.81
2024-01-08,0,L1553_1560,-144.7186
2024-01-08,0,L822_3065,-114.3774
2024-01-08,0,L99_1409,912.6898
2024-01-08,0,L801_1629,1346.8345
2024-01-08,0,L1531_3051,-425.907
2024-01-08,0,L1650_2277,77.711
2024-01-08,0,L1909_3122,-987.5354
2024-01-08,0,L1899_1909,-911.3843
2024-01-08,0,L3119_3120,155.6359
2024-01-08,0,L129_2428,-184.1091
2024-01-08,0,L1895_3078,1992.5282
2024-01-08,0,L999_3038,-0.0
2024-01-08,0,L2950_2952,605.3617
2024-01-08,0,L577_2719,0.0
2024-01-08,0,L991_1606,113.1356
2024-01-08,0,L3098_3099,-249.0597
2024-01-08,0,L806_2415,-525.5764
2024-01-08,0,L2341_3071,-72.872
2024-01-08,0,L1524_1662,-199.0104
2024-01-08,0,L807_2383,-72.872
2024-01-08,0,L1598_3109,-699.4083
2024-01-08,0,L2414_2415,189.725
2024-01-08,0,L3006_3089,67.7327
2024-01-08,0,L2964_3122,409.621
2024-01-08,0,L1631_3094,-498.3138
2024-01-08,0,L202_808,524.5146
2024-01-08,0,L851_3056,0.0
2024-01-08,0,L1515_1818,-465.4519
2024-01-08,0,L924_3127,-181.3031
2024-01-08,0,L177_837,-170.0574
2024-01-08,0,L1013_1498,-1395.1464
2024-01-08,0,L514_3067,-125.9705
2024-01-08,0,L1598_1680,-100.8799
2024-01-08,0,L129_2341,-603.419
2024-01-08,0,L1596_1597,378.7425
2024-01-08,0,L1650_2308,-72.7961
2024-01-08,0,L2963_2986,125.7403
2024-01-08,0,L1625_1696,-342.7866
2024-01-08,0,L520_824,0.0
2024-01-08,0,L2433_2435,0.0
2024-01-08,0,L1303_3045,-86.7134
2024-01-08,0,L999_2286,-758.5015
2024-01-08,0,L1888_3082,0.0
