UID,From Bus,To Bus,R,X,B,Cont Rating
L1109_1111,1109,1111,0.0,0.01929444,0.0,2400
L826_827,826,827,0.0,0.00361904,0.0,2400
L1617_2124,1617,2124,0.0,0.00503698,0.0,2400
L32_41,32,41,0.0,0.00571164,0.0,2400
L1625_1919,1625,1919,0.0,0.00287676,0.0,2400
L1622_3102,1622,3102,0.0,0.02561473,0.0,999999
L2421_3054,2421,3054,0.0,0.00359199,0.0,999999
L1922_2903,1922,2903,0.0,0.00044491,0.0,3600
L1487_1490,1487,1490,0.0,0.01428446,0.0,2400
L3037_3061,3037,3061,0.0,0.00393886,0.0,999999
L2088_3124,2088,3124,0.0,0.00155645,0.0,999999
L3073_3087,3073,3087,0.0,0.00021166,0.0,999999
L2173_2389,2173,2389,0.0,0.00576517,0.0,2400
L710_2392,710,2392,0.0,0.00640385,0.0,2400
L1519_1682,1519,1682,0.0,0.00205722,0.0,2400
L1606_1612,1606,1612,0.0,0.01196141,0.0,2400
L2032_3046,2032,3046,0.0,0.00381341,0.0,999999
L838_2440,838,2440,0.0,0.00963134,0.0,2400
L3131_3143,3131,3143,0.0,0.00208254,0.0,999999
L3131_3132,3131,3132,0.0,0.00013805,0.0,999999
L820_821,820,821,0.0,0.00453376,0.0,2400
L3075_3076,3075,3076,0.0,0.00382951,0.0,999999
L1565_2966,1565,2966,0.0,0.00019403,0.0,999999
L812_813,812,813,0.0,0.00252066,0.0,2400
L1518_1691,1518,1691,0.0,0.00745063,0.0,2400
L0_1976,0,1976,0.0,8.532e-05,0.0,999999
L1588_1599,1588,1599,0.0,0.01438715,0.0,2400
L99_1752,99,1752,0.0,0.00366869,0.0,2400
L804_1650,804,1650,0.0,0.00841298,0.0,2400
L2050_3059,2050,3059,0.0,0.00012112,0.0,999999
L852_2447,852,2447,0.0,0.0017629,0.0,2400
L1488_2112,1488,2112,0.0,0.00150482,0.0,2400
L1590_1622,1590,1622,0.0,0.00664223,0.0,2400
L3042_3043,3042,3043,0.0,0.01640484,0.0,999999
L0_3078,0,3078,0.0,0.00837514,0.0,999999
L794_2208,794,2208,0.0,0.01991597,0.0,2400
L1531_1540,1531,1540,0.0,0.00525989,0.0,2400
L1910_3051,1910,3051,0.0,0.0001309,0.0,999999
L1638_2380,1638,2380,0.0,0.01044365,0.0,2400
L1645_1649,1645,1649,0.0,0.06631242,0.0,2400
L1684_1687,1684,1687,0.0,0.00438206,0.0,2400
L795_1546,795,1546,0.0,0.0136084,0.0,2400
L1486_3053,1486,3053,0.0,0.00073895,0.0,999999
L580_1645,580,1645,0.0,0.00013847,0.0,999999
L2995_3104,2995,3104,0.0,0.0023184,0.0,999999
L3096_3097,3096,3097,0.0,9.083e-05,0.0,999999
L1664_3042,1664,3042,0.0,0.00245965,0.0,999999
L1937_2317,1937,2317,0.0,0.00387627,0.0,2400
L1700_1822,1700,1822,0.0,0.00725793,0.0,2400
L129_818,129,818,0.0,0.00011467,0.0,999999
L1543_3058,1543,3058,0.0,0.00429696,0.0,999999
L2362_2382,2362,2382,0.0,0.01424007,0.0,2400
L0_3108,0,3108,0.0,0.00012994,0.0,999999
L1968_2963,1968,2963,0.0,0.00151436,0.0,2400
L536_999,536,999,0.0,0.00056631,0.0,2400
L346_3053,346,3053,0.0,0.00270656,0.0,999999
L1893_3040,1893,3040,0.0,0.0050835,0.0,999999
L2054_2423,2054,2423,0.0,0.00084672,0.0,2400
L1603_2409,1603,2409,0.0,0.01132048,0.0,2400
L1593_1597,1593,1597,0.0,0.00204669,0.0,2400
L3061_3069,3061,3069,0.0,0.00013962,0.0,999999
L1549_3083,1549,3083,0.0,0.00663244,0.0,999999
L3129_3139,3129,3139,0.0,0.00019088,0.0,999999
L1492_3052,1492,3052,0.0,0.00389107,0.0,999999
L840_1578,840,1578,0.0,0.00574298,0.0,2400
L1560_2357,1560,2357,0.0,0.00116692,0.0,2400
L2311_2437,2311,2437,0.0,0.00816531,0.0,2400
L2409_3134,2409,3134,0.0,0.00569856,0.0,999999
L2230_2314,2230,2314,0.0,0.00250904,0.0,2400
L793_924,793,924,0.0,0.02160616,0.0,2400
L577_820,577,820,0.0,0.01202171,0.0,2400
L3077_3081,3077,3081,0.0,0.00012004,0.0,999999
L1719_1937,1719,1937,0.0,0.00744792,0.0,2400
L1581_1582,1581,1582,0.0,8.643e-05,0.0,999999
L1617_3104,1617,3104,0.0,0.0002447,0.0,999999
L1971_3073,1971,3073,0.0,0.01600189,0.0,999999
L1503_1515,1503,1515,0.0,0.02595748,0.0,2400
L3067_3068,3067,3068,0.0,8.641e-05,0.0,999999
L1590_2978,1590,2978,0.0,0.00461606,0.0,2400
L1599_1647,1599,1647,0.0,0.0050537,0.0,2400
L1641_1642,1641,1642,0.0,0.00034528,0.0,2400
L1603_2450,1603,2450,0.0,0.00708596,0.0,2400
L1526_1528,1526,1528,0.0,0.00575717,0.0,2400
L1635_1636,1635,1636,0.0,0.00648182,0.0,2400
L1609_1612,1609,1612,0.0,0.00147065,0.0,2400
L3006_3084,3006,3084,0.0,0.00017958,0.0,999999
L1638_3135,1638,3135,0.0,0.00664094,0.0,999999
L2319_2320,2319,2320,0.0,0.00148254,0.0,2400
L1559_1821,1559,1821,0.0,0.01356327,0.0,2400
L2451_2551,2451,2551,0.0,0.00324998,0.0,2400
L2448_2449,2448,2449,0.0,0.00255489,0.0,2400
L1547_1821,1547,1821,0.0,0.00094483,0.0,2400
L1589_2978,1589,2978,0.0,0.00455719,0.0,2400
L2214_3140,2214,3140,0.0,0.01015279,0.0,999999
L2354_2355,2354,2355,0.0,0.00016313,0.0,999999
L606_3055,606,3055,0.0,0.01919494,0.0,999999
L1648_1651,1648,1651,0.0,9.912e-05,0.0,999999
L1601_1895,1601,1895,0.0,0.0232081,0.0,2400
L19_3127,19,3127,0.0,0.00513755,0.0,999999
L2280_3136,2280,3136,0.0,0.00066178,0.0,999999
L1583_2980,1583,2980,0.0,0.00145026,0.0,2400
L834_2385,834,2385,0.0,0.01073368,0.0,2400
L522_820,522,820,0.0,0.0016278,0.0,2400
L1516_1517,1516,1517,0.0,0.00021827,0.0,999999
L1482_1484,1482,1484,0.0,0.00400549,0.0,2400
L68_1604,68,1604,0.0,0.00799664,0.0,2400
L2336_2342,2336,2342,0.0,0.00373771,0.0,2400
L1937_2783,1937,2783,0.0,0.00017656,0.0,999999
L2995_3107,2995,3107,0.0,0.00068724,0.0,999999
L804_805,804,805,0.0,0.00240104,0.0,2400
L14_836,14,836,0.0,0.00782527,0.0,2400
L1570_1571,1570,1571,0.0,0.01783802,0.0,2400
L1818_1937,1818,1937,0.0,0.02092848,0.0,2400
L126_2372,126,2372,0.0,0.00053727,0.0,2400
L862_1488,862,1488,0.0,0.00832725,0.0,2400
L2313_3063,2313,3063,0.0,0.00013241,0.0,999999
L794_3139,794,3139,0.0,0.00226566,0.0,999999
L829_838,829,838,0.0,0.00532466,0.0,2400
L1515_1517,1515,1517,0.0,0.00599827,0.0,2400
L3012_3115,3012,3115,0.0,0.00100422,0.0,999999
