Date,Hour,FixedCosts,VariableCosts,LoadShedding,OverGeneration,AvailableReserves,ReserveShortfall,RenewablesUsed,RenewablesAvailable,RenewablesCurtailment,Demand,Price,Number on/offs,Sum on/off ramps,Sum nominal ramps
2024-06-17,0,368469.85,614841.7034,451.0509,0,5931.6044,0.0,18090.357,29438.1507,11347.7937,56439.2034,17.4225,266,0.0,21335.2256
2024-06-17,1,362916.61,615551.9448,384.2998,0,5505.4293,0.0,15846.7974,28616.3269,12769.5295,53893.9679,18.1554,4,0.0,1805.4602
2024-06-17,2,362916.61,581801.4837,343.9223,0,6499.7396,0.0,15183.4283,27682.7922,12499.3639,52195.911,18.0995,0,0.0,994.3103
2024-06-17,3,358191.81,568892.6139,319.3633,0,6124.9623,0.0,14690.7078,26940.7568,12250.049,51126.4088,18.1332,12,0.0,1344.6681
2024-06-17,4,368251.57,561061.0837,316.9381,0,6355.0278,0.0,14375.7066,25859.6143,11483.9077,50936.637,18.2445,7,357.71999999999997,1790.1919
2024-06-17,5,373617.07,581874.7725,336.8039,0,6713.1398,0.0,14321.4097,25688.0694,11366.6597,51671.7738,18.4916,2,159.0,1956.5398
2024-06-17,6,379392.37,595849.024,348.2364,0,6651.6502,0.0,14635.122,25664.1323,11029.0103,52599.0282,18.5411,11,169.61999999999995,1707.4421
2024-06-17,7,379392.37,631562.4686,384.2827,0,6161.1006,0.0,14979.7343,25956.2279,10976.4936,54126.8164,18.6775,0,0.0,1592.9022
2024-06-17,8,379893.61,596887.687,468.1183,0,6533.1969,0.0,18811.6633,32565.9215,13754.2582,56928.6347,17.158,6,383.55,2139.6461
2024-06-17,9,389402.61,540986.0521,585.775,0,7998.7456,0.0,23455.8329,41388.4147,17932.5818,60086.4122,15.4842,20,519.75,3076.057
2024-06-17,10,398174.21,607211.9227,707.0786,0,7099.1838,0.0,24790.0651,44588.3836,19798.3185,63734.0999,15.7747,8,311.84,2431.7584
2024-06-17,11,393568.73,672840.6838,794.8834,0,4970.4215,0.0,26223.5185,47451.4818,21227.9633,66966.3805,15.9245,8,121.10000000000001,2435.7259
2024-06-17,12,422986.05,685051.2412,864.4056,0,4936.977,0.0,27271.9325,48927.0933,21655.1608,69571.4511,15.9266,13,1083.7900000000002,1753.8815
2024-06-17,13,426366.21,753889.7267,922.4559,0,5090.8744,0.0,27308.0517,48838.6177,21530.566,71970.9532,16.3991,3,116.72,2853.1327
2024-06-17,14,429123.21,766611.7947,1004.3496,0,4940.1964,0.0,28872.4005,51543.0581,22670.6576,74109.5037,16.1347,14,45.94999999999999,1946.7894
2024-06-17,15,430007.01,759787.7927,993.3895,0,5557.9289,0.0,29422.244,53543.9806,24121.7366,74368.2046,15.9987,5,60.9,2840.6398
2024-06-17,16,431381.01,786638.1597,970.1679,0,4861.2962,0.0,28592.812,51606.8403,23014.0283,74392.3837,16.3729,4,38.1,2481.064
2024-06-17,17,431494.41,781048.9919,952.2827,0,5276.6102,0.0,28805.9843,52308.8541,23502.8698,74327.7768,16.3135,3,2.52,2591.293
2024-06-17,18,449290.79,777561.6609,873.6927,0,5238.6147,0.0,27373.7657,49688.6712,22314.9055,73506.4037,16.6904,7,628.76,2108.0935
2024-06-17,19,443452.31,769779.5571,765.2323,0,5629.5734,0.0,25905.7392,46116.0703,20210.3311,71693.9981,16.9224,15,129.6,2279.9037
2024-06-17,20,451433.81,804487.1199,666.735,0,4849.5834,0.0,22099.6123,39096.021,16996.4087,69027.974,18.1944,24,521.2100000000002,2446.7921
2024-06-17,21,436799.51,883274.0099,617.6844,0,3359.5227,0.0,18497.7724,32169.0575,13671.2851,67190.4541,19.6467,6,12.319999999999999,3135.2948
2024-06-17,22,428719.31,810005.0763,510.9101,0,5150.0083,0.0,17763.6686,31540.3328,13776.6642,63812.6704,19.4119,5,0.0,2664.2108
2024-06-17,23,397609.61,721612.3867,415.7579,0,5852.7397,0.0,17742.9605,31309.2042,13566.2437,59812.7787,18.7121,14,0.0,4053.8124
