Date,Hour,Line,Flow
2024-06-17,0,L1109_1111,1299.6482
2024-06-17,0,L826_827,416.9873
2024-06-17,0,L1617_2124,-1831.2405
2024-06-17,0,L32_41,65.2001
2024-06-17,0,L1625_1919,244.9024
2024-06-17,0,L1622_3102,-444.3086
2024-06-17,0,L2421_3054,0.0
2024-06-17,0,L1922_2903,-460.7435
2024-06-17,0,L1487_1490,-437.5243
2024-06-17,0,L3037_3061,1080.5708
2024-06-17,0,L2088_3124,315.218
2024-06-17,0,L3073_3087,393.4268
2024-06-17,0,L2173_2389,98.9506
2024-06-17,0,L710_2392,-117.3525
2024-06-17,0,L1519_1682,0.0
2024-06-17,0,L1606_1612,-490.4139
2024-06-17,0,L2032_3046,-817.3527
2024-06-17,0,L838_2440,-1234.839
2024-06-17,0,L3131_3143,-512.9948
2024-06-17,0,L3131_3132,0.0
2024-06-17,0,L820_821,-147.58
2024-06-17,0,L3075_3076,324.4388
2024-06-17,0,L1565_2966,1662.2675
2024-06-17,0,L812_813,-301.9487
2024-06-17,0,L1518_1691,2234.7004
2024-06-17,0,L0_1976,-0.6128
2024-06-17,0,L1588_1599,-280.2166
2024-06-17,0,L99_1752,1928.7997
2024-06-17,0,L804_1650,888.4224
2024-06-17,0,L2050_3059,1050.8549
2024-06-17,0,L852_2447,0.0
2024-06-17,0,L1488_2112,0.0
2024-06-17,0,L1590_1622,-1165.0532
2024-06-17,0,L3042_3043,2889.1462
2024-06-17,0,L0_3078,-1492.0766
2024-06-17,0,L794_2208,-189.2594
2024-06-17,0,L1531_1540,-144.5813
2024-06-17,0,L1910_3051,-300.4516
2024-06-17,0,L1638_2380,573.1845
2024-06-17,0,L1645_1649,0.0
2024-06-17,0,L1684_1687,-217.3085
2024-06-17,0,L795_1546,1421.8539
2024-06-17,0,L1486_3053,0.0
2024-06-17,0,L580_1645,811.7179
2024-06-17,0,L2995_3104,-379.9673
2024-06-17,0,L3096_3097,178.1203
2024-06-17,0,L1664_3042,854.9855
2024-06-17,0,L1937_2317,-521.8679
2024-06-17,0,L1700_1822,1864.8218
2024-06-17,0,L129_818,488.1206
2024-06-17,0,L1543_3058,1050.8549
2024-06-17,0,L2362_2382,484.2083
2024-06-17,0,L0_3108,1492.6894
2024-06-17,0,L1968_2963,219.8453
2024-06-17,0,L536_999,0.0
2024-06-17,0,L346_3053,0.0
2024-06-17,0,L1893_3040,948.3043
2024-06-17,0,L2054_2423,0.0
2024-06-17,0,L1603_2409,-188.7934
2024-06-17,0,L1593_1597,109.5781
2024-06-17,0,L3061_3069,616.9609
2024-06-17,0,L1549_3083,-309.9308
2024-06-17,0,L3129_3139,-361.7055
2024-06-17,0,L1492_3052,-97.3482
2024-06-17,0,L840_1578,679.4584
2024-06-17,0,L1560_2357,227.0955
2024-06-17,0,L2311_2437,0.0
2024-06-17,0,L2409_3134,-95.3677
2024-06-17,0,L2230_2314,-548.5549
2024-06-17,0,L793_924,512.9948
2024-06-17,0,L577_820,-146.4816
2024-06-17,0,L3077_3081,-106.5203
2024-06-17,0,L1719_1937,82.5145
2024-06-17,0,L1581_1582,0.0
2024-06-17,0,L1617_3104,959.0468
2024-06-17,0,L1971_3073,679.3987
2024-06-17,0,L1503_1515,-114.581
2024-06-17,0,L3067_3068,-312.6458
2024-06-17,0,L1590_2978,626.998
2024-06-17,0,L1599_1647,-0.0
2024-06-17,0,L1641_1642,0.0
2024-06-17,0,L1603_2450,143.0426
2024-06-17,0,L1526_1528,-713.4102
2024-06-17,0,L1635_1636,-573.2153
2024-06-17,0,L1609_1612,99.5427
2024-06-17,0,L3006_3084,389.7427
2024-06-17,0,L1638_3135,-1014.8798
2024-06-17,0,L2319_2320,-521.8679
2024-06-17,0,L1559_1821,1338.7591
2024-06-17,0,L2451_2551,0.0
2024-06-17,0,L2448_2449,-0.0
2024-06-17,0,L1547_1821,-0.5077
2024-06-17,0,L1589_2978,-949.7441
2024-06-17,0,L2214_3140,-269.2905
2024-06-17,0,L2354_2355,0.0
2024-06-17,0,L606_3055,-293.6666
2024-06-17,0,L1648_1651,0.0
2024-06-17,0,L1601_1895,-440.9795
2024-06-17,0,L19_3127,-0.0
2024-06-17,0,L2280_3136,0.0
2024-06-17,0,L1583_2980,0.0
2024-06-17,0,L834_2385,-92.5006
2024-06-17,0,L522_820,110.6112
2024-06-17,0,L1516_1517,0.0
2024-06-17,0,L1482_1484,-461.418
2024-06-17,0,L68_1604,-93.763
2024-06-17,0,L2336_2342,515.8658
2024-06-17,0,L1937_2783,206.8584
2024-06-17,0,L2995_3107,9.3501
2024-06-17,0,L804_805,-324.2332
2024-06-17,0,L14_836,-46.5142
2024-06-17,0,L1570_1571,-759.204
2024-06-17,0,L1818_1937,585.3633
2024-06-17,0,L126_2372,0.0
2024-06-17,0,L862_1488,-485.4357
2024-06-17,0,L2313_3063,0.0
2024-06-17,0,L794_3139,527.4361
2024-06-17,0,L829_838,280.6233
2024-06-17,0,L1515_1517,-403.3318
2024-06-17,0,L3012_3115,759.8861
2024-06-17,0,L788_1109,1299.6482
2024-06-17,0,L805_2413,0.0
2024-06-17,0,L803_2352,3.1982
2024-06-17,0,L1688_1770,171.3115
2024-06-17,0,L1910_3046,295.3123
2024-06-17,0,L1604_1612,979.3615
2024-06-17,0,L1570_1590,636.8003
2024-06-17,0,L1553_1560,485.0802
2024-06-17,0,L822_3065,-331.7749
2024-06-17,0,L99_1409,1762.7671
2024-06-17,0,L801_1629,1339.7565
2024-06-17,0,L1531_3051,300.4516
2024-06-17,0,L1650_2277,680.7706
2024-06-17,0,L1909_3122,-433.3715
2024-06-17,0,L1899_1909,-1335.007
2024-06-17,0,L3119_3120,457.0765
2024-06-17,0,L129_2428,-179.0145
2024-06-17,0,L1895_3078,2205.0205
2024-06-17,0,L999_3038,-0.0
2024-06-17,0,L2950_2952,678.3241
2024-06-17,0,L577_2719,-296.4145
2024-06-17,0,L991_1606,-932.0873
2024-06-17,0,L3098_3099,-398.114
2024-06-17,0,L806_2415,603.9054
2024-06-17,0,L2341_3071,206.7597
2024-06-17,0,L1524_1662,1654.3814
2024-06-17,0,L807_2383,206.7597
2024-06-17,0,L1598_3109,-1000.8213
2024-06-17,0,L2414_2415,184.475
2024-06-17,0,L3006_3089,-144.79
2024-06-17,0,L2964_3122,635.6014
2024-06-17,0,L1631_3094,-672.956
2024-06-17,0,L202_808,818.6409
2024-06-17,0,L851_3056,0.0
2024-06-17,0,L1515_1818,-4.9496
2024-06-17,0,L924_3127,-56.4518
2024-06-17,0,L177_837,-292.3108
2024-06-17,0,L1013_1498,230.0729
2024-06-17,0,L514_3067,-47.6613
2024-06-17,0,L1598_1680,-42.7047
2024-06-17,0,L129_2341,-309.1061
2024-06-17,0,L1596_1597,238.7317
2024-06-17,0,L1650_2308,744.3657
2024-06-17,0,L2963_2986,113.0642
2024-06-17,0,L1625_1696,-271.7347
2024-06-17,0,L520_824,120.5729
2024-06-17,0,L2433_2435,0.0
2024-06-17,0,L1303_3045,23.102
2024-06-17,0,L999_2286,129.7632
2024-06-17,0,L1888_3082,0.0
2024-06-17,0,L3036_3124,-53.3389
2024-06-17,0,L1528_2272,-1078.9574
2024-06-17,0,L814_815,-212.958
2024-06-17,0,L2310_2311,-763.7636
2024-06-17,0,L3069_3070,-99.4177
2024-06-17,0,L2050_2051,-1050.8549
2024-06-17,0,L2955_3075,-292.0082
