Date,Hour,Type,Solve Time
2024-06-17,0,SCED,1.2707
2024-06-17,1,SCED,1.1292
2024-06-17,2,SCED,1.138
2024-06-17,3,SCED,1.1288
2024-06-17,4,SCED,1.1591
2024-06-17,5,SCED,1.1172
2024-06-17,6,SCED,1.037
2024-06-17,7,SCED,1.0532
2024-06-17,8,SCED,1.1744
2024-06-17,9,SCED,1.0614
2024-06-17,10,SCED,1.2203
2024-06-17,11,SCED,1.293
2024-06-17,12,SCED,1.1451
2024-06-17,13,SCED,1.357
2024-06-17,14,SCED,3.0127
2024-06-17,15,SCED,1.4596
2024-06-17,16,SCED,1.1418
2024-06-17,17,SCED,1.1442
2024-06-17,18,SCED,1.3828
2024-06-17,19,SCED,1.3768
2024-06-17,20,SCED,1.1593
2024-06-17,21,SCED,1.1596
2024-06-17,22,SCED,1.1511
2024-06-17,23,SCED,1.1418
