Date,Hour,FixedCosts,VariableCosts,LoadShedding,OverGeneration,AvailableReserves,ReserveShortfall,RenewablesUsed,RenewablesAvailable,RenewablesCurtailment,Demand,Price,Number on/offs,Sum on/off ramps,Sum nominal ramps
2024-06-17,0,449896.96,867517.1561,593.3982,0,4948.3,0.0,8062.6053,13247.2903,5184.685,56439.2034,23.3422,226,0.0,28647.06
2024-06-17,1,436952.56,827635.3398,492.6687,0,4661.5674,0.0,7417.3667,12877.4658,5460.0991,53893.9679,23.4644,13,0.0,3215.1593
2024-06-17,2,428500.48,799778.4755,427.1116,0,4859.9248,0.0,7105.4242,12457.3711,5351.9469,52195.911,23.5321,6,0.0,2919.5041
2024-06-17,3,410979.04,777461.6051,398.4887,0,4313.4079,0.0,7333.328,12123.4528,4790.1248,51126.4088,23.2451,7,0.0,2870.0198
2024-06-17,4,412071.04,773525.2423,395.7912,0,4011.9071,0.0,7110.0529,11636.934,4526.8811,50936.637,23.2759,7,92.7,2518.1536
2024-06-17,5,413688.04,793351.5117,420.9185,0,3642.0162,0.0,7195.5516,11559.7381,4364.1865,51671.7738,23.3597,7,38.32000000000001,2906.9863
2024-06-17,6,420275.32,820226.5297,436.7976,0,3266.2208,0.0,7162.5914,11548.9666,4386.3752,52599.0282,23.5841,5,223.66,3380.3343
2024-06-17,7,428319.76,835104.1189,499.4541,0,3518.7392,0.0,7948.3715,11547.6141,3599.2426,54126.8164,23.3419,12,255.32999999999998,2027.8227
2024-06-17,8,472726.06,856263.5953,636.1747,0,4115.8934,0.0,8583.2235,11463.2812,2880.0577,56928.6347,23.3448,42,1437.6299999999994,1919.7904
2024-06-17,9,472962.65,972200.1333,783.1625,0,4539.9962,0.0,8015.856,11907.6964,3891.8404,60086.4122,24.0514,16,62.79,5150.2512
2024-06-17,10,490743.29,994015.9123,951.9719,0,4235.9593,0.0,10302.9573,12661.3463,2358.389,63734.0999,23.2962,21,699.0299999999999,2668.737
2024-06-17,11,521770.99,1054789.9242,1081.2144,0,4231.332,0.0,10562.5181,12771.0266,2208.5085,66966.3805,23.5426,33,1413.7800000000004,3378.3088
2024-06-17,12,533100.04,1081995.1113,1276.2128,0,6661.6799,0.0,11786.3782,12835.2486,1048.8704,69571.4511,23.2149,23,337.34000000000003,3533.0904
2024-06-17,13,551967.75,1125386.2453,1479.6332,0,5568.9971,0.0,11886.2671,12952.0981,1065.831,71970.9532,23.306,62,1177.8499999999997,3025.2955
2024-06-17,14,548297.46,1232218.2173,1765.2207,0,6380.4041,0.0,11777.5771,12903.8415,1126.2644,74109.5037,24.0255,30,408.2100000000001,9459.1265
2024-06-17,15,525687.13,1259617.5712,1878.535,0,4717.8573,0.0,11792.7269,13196.9949,1404.268,74368.2046,24.0063,17,12.1,3330.3458
2024-06-17,16,522152.38,1263938.2312,1923.4834,0,4276.6958,0.0,11721.3961,13414.4798,1693.0837,74392.3837,24.0091,4,0.0,1283.4577
2024-06-17,17,524992.84,1257185.6913,1920.2817,0,4574.6424,0.0,11857.3075,13936.2936,2078.9861,74327.7768,23.9773,2,100.63,2056.5792
2024-06-17,18,533494.24,1214582.6829,1736.6635,0,6080.2132,0.0,12175.2533,14094.0876,1918.8343,73506.4037,23.7813,5,304.2,2244.8954
2024-06-17,19,566029.0,1090065.3768,1358.8816,0,8422.3824,0.0,12865.4389,14059.0321,1193.5932,71693.9981,23.0995,46,1872.3600000000001,5520.5616
2024-06-17,20,551072.03,1054509.8645,1081.9767,0,8458.3212,0.0,11194.5786,13893.0567,2698.4781,69027.974,23.2599,69,658.4399999999999,7499.2877
2024-06-17,21,531680.69,1038520.0526,926.7787,0,7697.094,0.0,10788.8694,14006.2112,3217.3418,67190.4541,23.3694,34,111.0,2140.1784
2024-06-17,22,518234.45,952853.6163,713.6755,0,8645.1328,0.0,10368.2277,14191.7882,3823.5605,63812.6704,23.0532,18,414.6,6267.338
2024-06-17,23,490289.01,907435.7847,559.8431,0,7048.9907,0.0,9014.4263,14089.2715,5074.8452,59812.7787,23.3683,36,138.0,3435.906
