Date,Hour,FixedCosts,VariableCosts,LoadShedding,OverGeneration,AvailableReserves,ReserveShortfall,RenewablesUsed,RenewablesAvailable,RenewablesCurtailment,Demand,Price,Number on/offs,Sum on/off ramps,Sum nominal ramps
2024-06-17,0,412051.11,838121.2932,423.4395,0,3674.2213,0.0,10195.8852,13247.2903,3051.4051,56439.2034,22.1508,223,0.0,28015.3587
2024-06-17,1,393463.77,805099.3775,358.8579,0,3393.9283,0.0,9396.6383,12877.4658,3480.8275,53893.9679,22.2393,9,0.0,1050.8404
2024-06-17,2,385608.27,774380.6567,318.0526,0,3619.6929,0.0,9029.1513,12457.3711,3428.2198,52195.911,22.2238,7,0.0,926.2646
2024-06-17,3,377661.57,758057.171,293.711,0,3222.9812,0.0,8732.7791,12123.4528,3390.6737,51126.4088,22.2139,9,0.0,508.5095
2024-06-17,4,378281.07,765195.0579,291.0451,0,2916.7054,0.0,8455.4973,11636.934,3181.4367,50936.637,22.449,7,40.4,327.0766
2024-06-17,5,385646.07,778832.398,312.4264,0,2844.1894,0.0,8526.1868,11559.7381,3033.5513,51671.7738,22.5361,13,206.94999999999993,436.116
2024-06-17,6,388046.37,795834.6812,324.8971,0,3131.1539,0.0,8679.335,11548.9666,2869.6316,52599.0282,22.5077,4,76.05000000000001,835.2067
2024-06-17,7,414611.31,807799.0242,363.9179,0,2961.3206,0.0,8817.2791,11547.6141,2730.335,54126.8164,22.5842,18,874.5399999999997,483.947
2024-06-17,8,433628.64,871004.7991,449.9363,0,3037.3804,0.0,8801.2488,11463.2812,2662.0324,56928.6347,22.917,22,641.4300000000001,2408.777
2024-06-17,9,463378.1,938480.5993,568.3957,0,3537.5792,0.0,9228.0157,11907.6964,2679.6807,60086.4122,23.3307,36,894.68,1855.8446
2024-06-17,10,481742.18,1029273.1978,698.1827,0,4026.765,0.0,9916.8223,12661.3463,2744.524,63734.0999,23.7081,10,655.86,2173.2648
2024-06-17,11,519025.62,1065733.8162,803.2108,0,4093.4305,0.0,10196.0202,12771.0266,2575.0064,66966.3805,23.665,18,1384.3799999999994,2884.7766
2024-06-17,12,524834.22,1127231.7128,887.8423,0,4238.4921,0.0,10226.2609,12835.2486,2608.9877,69571.4511,23.7463,6,454.14,4602.378
2024-06-17,13,537605.98,1161818.5903,981.0032,0,3598.5477,0.0,10894.9177,12952.0981,2057.1804,71970.9532,23.6126,28,456.6800000000002,3737.2919
2024-06-17,14,543197.23,1215681.8079,1100.7915,0,3705.4752,0.0,11172.3374,12903.8415,1731.5041,74109.5037,23.7335,4,174.15,1954.5061
2024-06-17,15,543197.23,1223692.8407,1098.6276,0,3937.8835,0.0,11259.2605,13196.9949,1937.7344,74368.2046,23.7587,0,0.0,427.9778
2024-06-17,16,544177.51,1227209.4546,1081.0255,0,3925.8322,0.0,11258.1504,13414.4798,2156.3294,74392.3837,23.8114,4,30.84,996.0896
2024-06-17,17,544177.51,1222959.677,1062.5599,0,4234.9137,0.0,11393.5306,13936.2936,2542.763,74327.7768,23.7749,0,0.0,711.1464
2024-06-17,18,518055.26,1191590.2809,979.1462,0,3675.3202,0.0,12679.1777,14094.0876,1414.9099,73506.4037,23.2585,4,0.0,1835.3668
2024-06-17,19,517880.12,1187923.4337,837.4121,0,3584.6999,0.0,10959.586,14059.0321,3099.4461,71693.9981,23.7928,1,0.0,2590.2125
2024-06-17,20,522637.28,1097573.9885,703.326,0,5545.6366,0.0,10635.1446,13893.0567,3257.9121,69027.974,23.4718,11,293.64,3171.1931
2024-06-17,21,503014.07,1047425.0205,628.0986,0,5051.2422,0.0,10820.7977,14006.2112,3185.4135,67190.4541,23.0753,26,632.8,1744.6705
2024-06-17,22,483862.37,981141.9317,505.1083,0,6699.8151,0.0,11090.5772,14191.7882,3101.211,63812.6704,22.9579,16,22.6,7122.9826
2024-06-17,23,437901.35,885067.0204,406.2141,0,5892.5241,0.0,11294.0886,14089.2715,2795.1829,59812.7787,22.1185,22,0.0,3104.2028
