Date,Hour,Line,Flow
2024-06-17,0,L1109_1111,168.2345
2024-06-17,0,L826_827,0.0
2024-06-17,0,L1617_2124,-652.1622
2024-06-17,0,L32_41,-18.1399
2024-06-17,0,L1625_1919,393.4439
2024-06-17,0,L1622_3102,-348.7708
2024-06-17,0,L2421_3054,148.3179
2024-06-17,0,L1922_2903,-668.9095
2024-06-17,0,L1487_1490,960.0142
2024-06-17,0,L3037_3061,997.1609
2024-06-17,0,L2088_3124,415.4852
2024-06-17,0,L3073_3087,202.4041
2024-06-17,0,L2173_2389,-905.9769
2024-06-17,0,L710_2392,72.416
2024-06-17,0,L1519_1682,0.0
2024-06-17,0,L1606_1612,106.9401
2024-06-17,0,L2032_3046,353.0942
2024-06-17,0,L838_2440,640.5175
2024-06-17,0,L3131_3143,-29.3159
2024-06-17,0,L3131_3132,0.0
2024-06-17,0,L820_821,0.0
2024-06-17,0,L3075_3076,13.5725
2024-06-17,0,L1565_2966,384.9762
2024-06-17,0,L812_813,0.0
2024-06-17,0,L1518_1691,212.4357
2024-06-17,0,L0_1976,43.3446
2024-06-17,0,L1588_1599,-71.9865
2024-06-17,0,L99_1752,611.6712
2024-06-17,0,L804_1650,-142.4987
2024-06-17,0,L2050_3059,597.4003
2024-06-17,0,L852_2447,0.0
2024-06-17,0,L1488_2112,0.0
2024-06-17,0,L1590_1622,-334.4531
2024-06-17,0,L3042_3043,397.6065
2024-06-17,0,L0_3078,-1393.8606
2024-06-17,0,L794_2208,712.4531
2024-06-17,0,L1531_1540,33.7477
2024-06-17,0,L1910_3051,316.3449
2024-06-17,0,L1638_2380,-266.3047
2024-06-17,0,L1645_1649,0.0
2024-06-17,0,L1684_1687,-13.1774
2024-06-17,0,L795_1546,135.2058
2024-06-17,0,L1486_3053,506.4944
2024-06-17,0,L580_1645,988.9207
2024-06-17,0,L2995_3104,-92.9527
2024-06-17,0,L3096_3097,524.4986
2024-06-17,0,L1664_3042,606.4653
2024-06-17,0,L1937_2317,-1322.1961
2024-06-17,0,L1700_1822,231.5164
2024-06-17,0,L129_818,488.9529
2024-06-17,0,L1543_3058,597.4003
2024-06-17,0,L2362_2382,-705.7822
2024-06-17,0,L0_3108,1350.516
2024-06-17,0,L1968_2963,176.6795
2024-06-17,0,L536_999,-0.0
2024-06-17,0,L346_3053,149.0558
2024-06-17,0,L1893_3040,631.6395
2024-06-17,0,L2054_2423,0.0
2024-06-17,0,L1603_2409,64.1181
2024-06-17,0,L1593_1597,0.0
2024-06-17,0,L3061_3069,612.3693
2024-06-17,0,L1549_3083,561.3169
2024-06-17,0,L3129_3139,530.0019
2024-06-17,0,L1492_3052,127.5701
2024-06-17,0,L840_1578,679.4584
2024-06-17,0,L1560_2357,-415.0377
2024-06-17,0,L2311_2437,0.0
2024-06-17,0,L2409_3134,0.0
2024-06-17,0,L2230_2314,0.0
2024-06-17,0,L793_924,29.3159
2024-06-17,0,L577_820,-167.216
2024-06-17,0,L3077_3081,391.8112
2024-06-17,0,L1719_1937,-828.8922
2024-06-17,0,L1581_1582,110.3898
2024-06-17,0,L1617_3104,293.0224
2024-06-17,0,L1971_3073,437.5277
2024-06-17,0,L1503_1515,949.8298
2024-06-17,0,L3067_3068,-44.2507
2024-06-17,0,L1590_2978,481.5591
2024-06-17,0,L1599_1647,-0.0
2024-06-17,0,L1641_1642,0.0
2024-06-17,0,L1603_2450,-291.2838
2024-06-17,0,L1526_1528,-63.6698
2024-06-17,0,L1635_1636,1016.2336
2024-06-17,0,L1609_1612,-0.0
2024-06-17,0,L3006_3084,126.6755
2024-06-17,0,L1638_3135,-81.5187
2024-06-17,0,L2319_2320,-1322.1961
2024-06-17,0,L1559_1821,-276.9879
2024-06-17,0,L2451_2551,0.0
2024-06-17,0,L2448_2449,0.0
2024-06-17,0,L1547_1821,-0.5077
2024-06-17,0,L1589_2978,-731.5591
2024-06-17,0,L2214_3140,240.4333
2024-06-17,0,L2354_2355,0.0
2024-06-17,0,L606_3055,-45.9241
2024-06-17,0,L1648_1651,0.0
2024-06-17,0,L1601_1895,-52.2684
2024-06-17,0,L19_3127,221.4438
2024-06-17,0,L2280_3136,0.0
2024-06-17,0,L1583_2980,0.0
2024-06-17,0,L834_2385,51.2564
2024-06-17,0,L522_820,0.0
2024-06-17,0,L1516_1517,0.0
2024-06-17,0,L1482_1484,-391.4134
2024-06-17,0,L68_1604,49.994
2024-06-17,0,L2336_2342,515.8658
2024-06-17,0,L1937_2783,227.0083
2024-06-17,0,L2995_3107,-274.5439
2024-06-17,0,L804_805,0.0
2024-06-17,0,L14_836,132.8387
2024-06-17,0,L1570_1571,-974.8171
2024-06-17,0,L1818_1937,886.3528
2024-06-17,0,L126_2372,168.2412
2024-06-17,0,L862_1488,364.0084
2024-06-17,0,L2313_3063,0.0
2024-06-17,0,L794_3139,-1037.4576
2024-06-17,0,L829_838,-0.0
2024-06-17,0,L1515_1517,1031.494
2024-06-17,0,L3012_3115,764.3739
2024-06-17,0,L788_1109,168.2345
2024-06-17,0,L805_2413,-0.0
2024-06-17,0,L803_2352,252.7566
2024-06-17,0,L1688_1770,-26.9113
2024-06-17,0,L1910_3046,-201.9014
2024-06-17,0,L1604_1612,-186.3143
2024-06-17,0,L1570_1590,988.9671
2024-06-17,0,L1553_1560,-191.0497
2024-06-17,0,L822_3065,-90.0052
2024-06-17,0,L99_1409,1174.2686
2024-06-17,0,L801_1629,1495.5735
2024-06-17,0,L1531_3051,-316.3449
2024-06-17,0,L1650_2277,171.6084
2024-06-17,0,L1909_3122,-1238.5201
2024-06-17,0,L1899_1909,-1104.5416
2024-06-17,0,L3119_3120,307.1032
2024-06-17,0,L129_2428,0.0
2024-06-17,0,L1895_3078,2231.9316
2024-06-17,0,L999_3038,0.0
2024-06-17,0,L2950_2952,762.9177
2024-06-17,0,L577_2719,0.0
2024-06-17,0,L991_1606,207.0375
2024-06-17,0,L3098_3099,-268.6742
2024-06-17,0,L806_2415,-532.4427
2024-06-17,0,L2341_3071,26.9129
2024-06-17,0,L1524_1662,14.3578
2024-06-17,0,L807_2383,26.9129
2024-06-17,0,L1598_3109,-730.9421
2024-06-17,0,L2414_2415,184.475
2024-06-17,0,L3006_3089,-129.5558
2024-06-17,0,L2964_3122,507.0083
2024-06-17,0,L1631_3094,-628.2667
2024-06-17,0,L202_808,61.256
2024-06-17,0,L851_3056,0.0
2024-06-17,0,L1515_1818,-360.892
2024-06-17,0,L924_3127,-335.7694
2024-06-17,0,L177_837,-243.4511
2024-06-17,0,L1013_1498,-991.2961
2024-06-17,0,L514_3067,-157.0023
2024-06-17,0,L1598_1680,-96.0657
2024-06-17,0,L129_2341,-488.9529
2024-06-17,0,L1596_1597,-1.5981
2024-06-17,0,L1650_2308,81.5187
2024-06-17,0,L2963_2986,96.5237
2024-06-17,0,L1625_1696,-420.2762
2024-06-17,0,L520_824,0.0
2024-06-17,0,L2433_2435,0.0
2024-06-17,0,L1303_3045,-38.8253
2024-06-17,0,L999_2286,-544.2664
2024-06-17,0,L1888_3082,0.0
2024-06-17,0,L3036_3124,153.8373
2024-06-17,0,L1528_2272,-126.763
2024-06-17,0,L814_815,0.0
2024-06-17,0,L2310_2311,640.5175
2024-06-17,0,L3069_3070,-178.6919
2024-06-17,0,L2050_2051,-597.4003
2024-06-17,0,L2955_3075,-343.5283
2024-06-17,0,L1692_1693,235.1802
2024-06-17,0,L804_816,142.4987
2024-06-17,0,L1484_2373,-178.1668
2024-06-17,0,L1496_2364,-570.5551
2024-06-17,0,L1490_1495,1088.9163
2024-06-17,0,L1664_1821,-396.9208
2024-06-17,0,L2028_2317,-0.0
2024-06-17,0,L1599_2261,348.7708
2024-06-17,0,L206_3128,-48.9486
2024-06-17,0,L1889_3026,-22.7673
2024-06-17,0,L1600_1895,0.0
2024-06-17,0,L1613_3089,178.1723
2024-06-17,0,L1937_3057,932.4917
2024-06-17,0,L2411_2412,0.0
2024-06-17,0,L1607_1612,0.0
2024-06-17,0,L1573_1590,-454.3992
2024-06-17,0,L1621_3087,-181.3936
2024-06-17,0,L836_1583,-197.3179
2024-06-17,0,L1636_2380,266.3047
2024-06-17,0,L62_1601,-14.6711
2024-06-17,0,L808_2230,137.6316
2024-06-17,0,L202_2131,29.3159
2024-06-17,0,L2390_3038,0.0
2024-06-17,0,L2261_3145,348.7708
2024-06-17,0,L807_3071,-26.9129
2024-06-17,0,L2307_2335,0.0
2024-06-17,0,L788_1584,317.5336
2024-06-17,0,L1664_1851,-418.6081
2024-06-17,0,L125_2230,-137.6316
2024-06-17,0,L2195_3092,-90.0675
2024-06-17,0,L1515_1791,279.2279
2024-06-17,0,L1580_3067,112.7515
2024-06-17,0,L2365_2366,0.0
2024-06-17,0,L1013_3045,168.8942
2024-06-17,0,L515_1650,0.0
2024-06-17,0,L1483_3055,45.9241
2024-06-17,0,L2951_3085,-917.6523
2024-06-17,0,L1665_3100,-518.8625
2024-06-17,0,L1062_2272,126.763
2024-06-17,0,L795_2049,-597.4003
2024-06-17,0,L1583_1584,-6.3226
2024-06-17,0,L1818_1845,558.0009
2024-06-17,0,L1571_2969,885.9372
2024-06-17,0,L850_2054,73.0867
2024-06-17,0,L5_182,-217.3548
2024-06-17,0,L31_32,-21.1192
2024-06-17,0,L643_644,0.0
2024-06-17,0,L2042_3109,-37.1403
2024-06-17,0,L794_2389,905.9769
2024-06-17,0,L3113_3117,-873.2923
2024-06-17,0,L1937_3029,0.0
2024-06-17,0,L10_753,434.0884
2024-06-17,0,L1598_2436,0.0
2024-06-17,0,L580_2311,-999.8802
2024-06-17,0,L1578_2115,929.0338
2024-06-17,0,L1522_1761,-38.4417
2024-06-17,0,L182_2320,1322.1961
2024-06-17,0,L1605_3062,523.0489
2024-06-17,0,L2113_3019,0.0
2024-06-17,0,L1622_3103,14.3177
2024-06-17,0,L3111_3112,-518.8625
2024-06-17,0,L1637_1638,196.7126
2024-06-17,0,L3048_3049,212.0111
2024-06-17,0,L3041_3044,-267.1625
2024-06-17,0,L2279_3137,0.0
2024-06-17,0,L1409_1807,-11.3964
2024-06-17,0,L1754_3083,-614.696
2024-06-17,0,L2984_3012,764.3739
2024-06-17,0,L2312_3072,90.0052
2024-06-17,0,L2064_2282,-252.2056
2024-06-17,0,L3061_3070,384.7916
2024-06-17,0,L1558_3122,680.6899
2024-06-17,0,L182_2137,-162.0398
2024-06-17,0,L44_491,-123.3123
2024-06-17,0,L1691_1837,158.7586
2024-06-17,0,L3086_3103,-55.5672
2024-06-17,0,L1615_3105,-347.422
2024-06-17,0,L1847_2534,549.9955
2024-06-17,0,L2229_2274,0.0
2024-06-17,0,L2366_2382,705.7822
2024-06-17,0,L1623_3086,-195.7113
2024-06-17,0,L2061_2062,221.4438
2024-06-17,0,L1511_1937,-101.9693
2024-06-17,0,L788_2282,-338.5571
2024-06-17,0,L1554_1555,127.6841
2024-06-17,0,L792_3130,-29.3159
2024-06-17,0,L1738_1739,189.966
2024-06-17,0,L4_819,395.6122
2024-06-17,0,L19_2062,-221.4438
2024-06-17,0,L1487_2372,-156.1461
2024-06-17,0,L643_1525,279.6434
2024-06-17,0,L2042_3079,95.1744
2024-06-17,0,L202_1613,178.1723
2024-06-17,0,L1578_1605,62.5955
2024-06-17,0,L1522_1770,32.6765
2024-06-17,0,L808_1606,-92.0705
2024-06-17,0,L94_3056,73.0867
2024-06-17,0,L2409_2410,0.0
2024-06-17,0,L832_1604,-318.6894
2024-06-17,0,L345_346,149.0558
2024-06-17,0,L577_578,-0.0
2024-06-17,0,L1623_2352,-252.7566
2024-06-17,0,L837_2448,-0.0
2024-06-17,0,L1525_1527,266.2491
2024-06-17,0,L2506_2507,0.0
2024-06-17,0,L791_1633,0.0
2024-06-17,0,L68_2385,-51.2564
2024-06-17,0,L3130_3131,-29.3159
2024-06-17,0,L1567_1909,843.6328
2024-06-17,0,L2959_3124,-569.3225
2024-06-17,0,L837_1578,271.8816
2024-06-17,0,L1818_2137,162.0398
2024-06-17,0,L94_331,-0.0
2024-06-17,0,L2255_3139,507.4556
2024-06-17,0,L1845_2259,623.772
2024-06-17,0,L1613_1614,0.0
2024-06-17,0,L1683_1687,27.2264
2024-06-17,0,L809_828,0.0
2024-06-17,0,L1919_3104,-200.0697
2024-06-17,0,L3122_3123,-50.8219
2024-06-17,0,L2415_3142,-173.4544
2024-06-17,0,L812_3066,-269.4184
2024-06-17,0,L117_1505,996.7911
2024-06-17,0,L2438_2439,0.0
2024-06-17,0,L2983_3117,873.2923
2024-06-17,0,L1483_2373,-740.6661
2024-06-17,0,L2309_2440,-640.5175
2024-06-17,0,L164_3040,-1037.7797
2024-06-17,0,L1546_2576,0.9161
2024-06-17,0,L51_1684,-11.4543
2024-06-17,0,L1552_1553,-134.8276
2024-06-17,0,L1574_2392,-72.416
2024-06-17,0,L1722_1752,19.4492
2024-06-17,0,L1541_1742,549.9955
2024-06-17,0,L830_838,0.0
2024-06-17,0,L3136_3137,-0.0
2024-06-17,0,L3080_3081,-497.519
2024-06-17,0,L3046_3048,151.1928
2024-06-17,0,L1569_3081,105.7078
2024-06-17,0,L16_2308,0.0
2024-06-17,0,L1621_3101,181.3936
2024-06-17,0,L3115_3116,201.9493
2024-06-17,0,L3102_3145,-348.7708
2024-06-17,0,L1517_1682,354.4213
2024-06-17,0,L2373_2375,-918.8329
2024-06-17,0,L1662_3049,-212.0111
2024-06-17,0,L1637_3084,66.2561
2024-06-17,0,L2378_3052,-531.2175
2024-06-17,0,L3050_3126,-131.863
2024-06-17,0,L1638_1639,-40.8431
2024-06-17,0,L803_1624,562.117
2024-06-17,0,L37_41,21.4342
2024-06-17,0,L819_1365,-186.201
2024-06-17,0,L924_2236,-408.6723
2024-06-17,0,L1620_1971,437.5277
2024-06-17,0,L1608_1612,0.0
2024-06-17,0,L996_3037,943.1566
2024-06-17,0,L1634_3078,-838.0711
2024-06-17,0,L1599_2430,65.8923
2024-06-17,0,L1596_1606,-8.0269
2024-06-17,0,L1680_2984,764.3739
2024-06-17,0,L2953_3076,-13.5725
2024-06-17,0,L1572_3034,-60.6717
2024-06-17,0,L1558_1559,418.3101
2024-06-17,0,L1597_1605,-1.5981
2024-06-17,0,L827_3064,0.0
2024-06-17,0,L1518_1687,-229.8351
2024-06-17,0,L58_872,0.0
2024-06-17,0,L31_3070,-206.0997
2024-06-17,0,L1495_2364,281.432
2024-06-17,0,L1564_2966,-384.9762
2024-06-17,0,L1557_3123,50.8219
2024-06-17,0,L1811_3129,816.6779
2024-06-17,0,L2064_2285,417.4952
2024-06-17,0,L22_2111,0.0
2024-06-17,0,L206_835,53.731
2024-06-17,0,L991_1692,-207.0375
2024-06-17,0,L753_1574,-16.9248
2024-06-17,0,L55_1689,-6.285
2024-06-17,0,L1583_2411,-387.3975
2024-06-17,0,L1495_3052,403.6473
2024-06-17,0,L1607_1610,0.0
2024-06-17,0,L2115_3068,241.7504
2024-06-17,0,L62_63,0.0
2024-06-17,0,L823_2348,0.0
2024-06-17,0,L808_3060,-348.1562
2024-06-17,0,L632_829,-0.0
2024-06-17,0,L3128_3142,-48.9486
2024-06-17,0,L817_820,167.216
2024-06-17,0,L1555_3050,-131.863
2024-06-17,0,L1580_3037,-112.7515
2024-06-17,0,L2138_2420,0.0
2024-06-17,0,L2088_2986,-677.1755
2024-06-17,0,L2407_3134,0.0
2024-06-17,0,L1228_1866,0.0
