Date,Hour,Type,Solve Time
2024-06-17,0,SCED,4.1209
2024-06-17,1,SCED,3.9275
2024-06-17,2,SCED,3.3636
2024-06-17,3,SCED,3.8683
2024-06-17,4,SCED,3.3534
2024-06-17,5,SCED,3.4154
2024-06-17,6,SCED,3.751
2024-06-17,7,SCED,3.5653
2024-06-17,8,SCED,5.3829
2024-06-17,9,SCED,3.171
2024-06-17,10,SCED,3.3378
2024-06-17,11,SCED,3.6537
2024-06-17,12,SCED,6.4817
2024-06-17,13,SCED,3.7295
2024-06-17,14,SCED,7.5776
2024-06-17,15,SCED,6.5329
2024-06-17,16,SCED,6.0253
2024-06-17,17,SCED,5.9264
2024-06-17,18,SCED,6.0075
2024-06-17,19,SCED,10.0335
2024-06-17,20,SCED,6.4919
2024-06-17,21,SCED,9.6001
2024-06-17,22,SCED,9.4954
2024-06-17,23,SCED,6.5407
