Date,Hour,FixedCosts,VariableCosts,LoadShedding,OverGeneration,AvailableReserves,ReserveShortfall,RenewablesUsed,RenewablesAvailable,RenewablesCurtailment,Demand,Price,Number on/offs,Sum on/off ramps,Sum nominal ramps
2024-06-17,0,437899.74,808795.0928,550.155,0,7061.4293,0.0,10800.0777,29438.1507,18638.073,56439.2034,22.0892,209,0.0,26497.2407
2024-06-17,1,410504.82,758065.184,455.5518,0,5880.3494,0.0,10797.1656,28616.3269,17819.1613,53893.9679,21.6828,24,0.0,2109.6396
2024-06-17,2,386181.54,692052.0116,407.2694,0,4905.1513,0.0,11670.7928,27682.7922,16011.9994,52195.911,20.6574,32,0.0,3756.9318
2024-06-17,3,383214.54,664425.8665,380.0054,0,5369.5143,0.0,11587.4176,26940.7568,15353.3392,51126.4088,20.4912,15,0.0,1758.6213
2024-06-17,4,384718.14,661725.8788,377.2278,0,5527.978,0.0,11505.1873,25859.6143,14354.427,50936.637,20.544,1,53.7,1359.2055
2024-06-17,5,384718.14,689305.1802,400.1754,0,4801.483,0.0,11365.5814,25688.0694,14322.488,51671.7738,20.7855,0,0.0,1954.9127
2024-06-17,6,391103.64,715276.0369,412.1168,0,3840.3793,0.0,11165.1408,25664.1323,14498.9915,52599.0282,21.0342,25,154.65,1781.0197
2024-06-17,7,397309.14,767952.842,458.0819,0,3834.0679,0.0,11224.2825,25956.2279,14731.9454,54126.8164,21.5284,11,168.12,2871.0818
2024-06-17,8,401215.14,740370.4218,582.5437,0,5383.27,0.0,14666.761,32565.9215,17899.1605,56928.6347,20.0529,15,92.99999999999997,1500.7743
2024-06-17,9,402019.13,713208.3266,722.1706,0,5960.5359,0.0,18626.4876,41388.4147,22761.9271,60086.4122,18.5604,28,556.1900000000002,1583.9315
2024-06-17,10,406791.41,752655.1934,874.3787,0,4905.0272,0.0,20784.8184,44588.3836,23803.5652,63734.0999,18.1919,17,559.5299999999999,1716.8004
2024-06-17,11,434198.46,793386.1549,982.427,0,4298.3772,0.0,21734.9307,47451.4818,25716.5511,66966.3805,18.3314,33,1182.1000000000001,2051.4719
2024-06-17,12,455514.68,892886.4581,1114.1159,0,4714.9926,0.0,20667.1078,48927.0933,28259.9855,69571.4511,19.3815,15,729.7199999999998,5307.0942
2024-06-17,13,456564.68,945662.8395,1287.3491,0,4595.7305,0.0,20958.6346,48838.6177,27879.9831,71970.9532,19.4832,1,30.0,2951.8595
2024-06-17,14,456564.68,942066.4932,1453.622,0,4904.5294,0.0,22969.711,51543.0581,28573.3471,74109.5037,18.8725,0,0.0,1720.8518
2024-06-17,15,460659.68,932109.131,1476.7516,0,5244.7695,0.0,23428.5225,53543.9806,30115.4581,74368.2046,18.728,1,117.0,1081.0527
2024-06-17,16,455019.83,948724.6819,1474.245,0,4561.7131,0.0,23069.5318,51606.8403,28537.3085,74392.3837,18.8695,3,10.12,1978.4212
2024-06-17,17,457529.33,949140.8861,1454.4136,0,4587.2548,0.0,22887.518,52308.8541,29421.3361,74327.7768,18.9252,1,71.7,2037.4455
2024-06-17,18,459820.33,960598.2201,1346.7424,0,4315.4821,0.0,21672.1433,49688.6712,28016.5279,73506.4037,19.3237,8,62.6,1900.6977
2024-06-17,19,463447.45,952626.8324,1160.0057,0,5019.7928,0.0,20192.8452,46116.0703,25923.2251,71693.9981,19.7516,3,114.53999999999999,2042.5481
2024-06-17,20,470952.61,969210.1704,971.413,0,4098.9067,0.0,16744.2177,39096.021,22351.8033,69027.974,20.8635,15,632.25,1288.6211
2024-06-17,21,470952.61,1028229.6677,856.3883,0,3859.8616,0.0,13307.4274,32169.0575,18861.6301,67190.4541,22.3124,0,0.0,3017.6476
2024-06-17,22,472831.81,957480.7952,651.7886,0,5602.3112,0.0,12103.143,31540.3328,19437.1898,63812.6704,22.4142,7,184.15,3570.2832
2024-06-17,23,443610.26,895528.6318,508.7695,0,5136.7794,0.0,11320.8887,31309.2042,19988.3155,59812.7787,22.3888,38,166.5,2448.3853
