Date,Hour,Line,Flow
2024-06-17,0,L1109_1111,595.9754
2024-06-17,0,L826_827,416.9873
2024-06-17,0,L1617_2124,-1200.0
2024-06-17,0,L32_41,47.7901
2024-06-17,0,L1625_1919,75.6438
2024-06-17,0,L1622_3102,-433.1893
2024-06-17,0,L2421_3054,0.0
2024-06-17,0,L1922_2903,-574.1585
2024-06-17,0,L1487_1490,-557.0753
2024-06-17,0,L3037_3061,1066.5737
2024-06-17,0,L2088_3124,419.1644
2024-06-17,0,L3073_3087,354.217
2024-06-17,0,L2173_2389,-116.9573
2024-06-17,0,L710_2392,-112.5768
2024-06-17,0,L1519_1682,294.66
2024-06-17,0,L1606_1612,-41.3455
2024-06-17,0,L2032_3046,-273.605
2024-06-17,0,L838_2440,-794.1359
2024-06-17,0,L3131_3143,63.2261
2024-06-17,0,L3131_3132,-0.0
2024-06-17,0,L820_821,-147.58
2024-06-17,0,L3075_3076,6.0167
2024-06-17,0,L1565_2966,1200.0
2024-06-17,0,L812_813,-301.9487
2024-06-17,0,L1518_1691,1200.0
2024-06-17,0,L0_1976,-37.2646
2024-06-17,0,L1588_1599,-222.5656
2024-06-17,0,L99_1752,1773.8112
2024-06-17,0,L804_1650,414.8479
2024-06-17,0,L2050_3059,1035.0782
2024-06-17,0,L852_2447,0.0
2024-06-17,0,L1488_2112,0.0
2024-06-17,0,L1590_1622,-683.5783
2024-06-17,0,L3042_3043,2242.6354
2024-06-17,0,L0_3078,-1530.115
2024-06-17,0,L794_2208,-185.1539
2024-06-17,0,L1531_1540,-101.1525
2024-06-17,0,L1910_3051,136.7838
2024-06-17,0,L1638_2380,111.1521
2024-06-17,0,L1645_1649,0.0
2024-06-17,0,L1684_1687,-80.4725
2024-06-17,0,L795_1546,1292.8803
2024-06-17,0,L1486_3053,0.0
2024-06-17,0,L580_1645,811.7543
2024-06-17,0,L2995_3104,-209.2122
2024-06-17,0,L3096_3097,204.6161
2024-06-17,0,L1664_3042,675.2126
2024-06-17,0,L1937_2317,-358.8795
2024-06-17,0,L1700_1822,1474.0688
2024-06-17,0,L129_818,382.8885
2024-06-17,0,L1543_3058,1035.0782
2024-06-17,0,L2362_2382,608.0138
2024-06-17,0,L0_3108,1567.3797
2024-06-17,0,L1968_2963,-68.8231
2024-06-17,0,L536_999,0.0
2024-06-17,0,L346_3053,-0.0
2024-06-17,0,L1893_3040,768.0104
2024-06-17,0,L2054_2423,-0.0
2024-06-17,0,L1603_2409,-619.9336
2024-06-17,0,L1593_1597,48.6389
2024-06-17,0,L3061_3069,618.2341
2024-06-17,0,L1549_3083,-146.9856
2024-06-17,0,L3129_3139,-179.2402
2024-06-17,0,L1492_3052,-106.7712
2024-06-17,0,L840_1578,-0.0
2024-06-17,0,L1560_2357,90.1527
2024-06-17,0,L2311_2437,0.0
2024-06-17,0,L2409_3134,-0.0
2024-06-17,0,L2230_2314,-548.5549
