Date,Hour,Type,Solve Time
2024-06-17,0,SCED,1.4172
2024-06-17,1,SCED,1.268
2024-06-17,2,SCED,1.2737
2024-06-17,3,SCED,1.2857
2024-06-17,4,SCED,3.2382
2024-06-17,5,SCED,1.2647
2024-06-17,6,SCED,1.051
2024-06-17,7,SCED,1.0503
2024-06-17,8,SCED,1.2132
2024-06-17,9,SCED,3.3633
2024-06-17,10,SCED,1.3551
2024-06-17,11,SCED,1.1263
2024-06-17,12,SCED,1.7137
2024-06-17,13,SCED,1.4774
2024-06-17,14,SCED,3.3603
2024-06-17,15,SCED,1.4903
2024-06-17,16,SCED,1.5438
2024-06-17,17,SCED,1.2162
2024-06-17,18,SCED,1.197
2024-06-17,19,SCED,1.2233
2024-06-17,20,SCED,1.1854
2024-06-17,21,SCED,1.5316
2024-06-17,22,SCED,1.2212
2024-06-17,23,SCED,1.4556
