Date,Hour,Type,Solve Time
2024-01-08,0,SCED,1.3111
2024-01-08,1,SCED,1.1333
2024-01-08,2,SCED,1.5365
2024-01-08,3,SCED,1.156
2024-01-08,4,SCED,1.17
2024-01-08,5,SCED,1.1752
2024-01-08,6,SCED,1.0361
2024-01-08,7,SCED,1.5646
2024-01-08,8,SCED,1.1189
2024-01-08,9,SCED,1.1284
2024-01-08,10,SCED,1.133
2024-01-08,11,SCED,1.1285
2024-01-08,12,SCED,1.1113
2024-01-08,13,SCED,1.062
2024-01-08,14,SCED,1.0573
2024-01-08,15,SCED,1.0301
2024-01-08,16,SCED,1.0511
2024-01-08,17,SCED,1.0382
2024-01-08,18,SCED,1.1753
2024-01-08,19,SCED,1.2329
2024-01-08,20,SCED,1.0402
2024-01-08,21,SCED,1.0538
2024-01-08,22,SCED,1.0524
2024-01-08,23,SCED,1.0429
