Date,Hour,FixedCosts,VariableCosts,LoadShedding,OverGeneration,AvailableReserves,ReserveShortfall,RenewablesUsed,RenewablesAvailable,RenewablesCurtailment,Demand,Price,Number on/offs,Sum on/off ramps,Sum nominal ramps
2024-08-20,0,473385.54,531666.1639,0.0,0,13849.0947,0.0,16558.2988,16558.2988,0.0,57112.5041,17.5978,263,0.0,20319.2853
2024-08-20,1,475164.24,444255.6222,0.0,0,16803.7476,0.0,16760.9719,16760.9719,0.0,54402.8743,16.9002,7,42.349999999999994,4056.9438
2024-08-20,2,470844.54,389282.7461,0.0,0,18169.6914,0.0,16675.8521,16675.8521,-0.0,52304.4607,16.4446,17,0.0,3135.2905
2024-08-20,3,469918.44,358920.9451,0.0,0,18981.8423,0.0,16197.5463,16197.5463,0.0,50793.504,16.3178,5,0.0,2686.4554
2024-08-20,4,469918.44,381036.9582,0.0,0,18154.3037,0.0,14985.5652,14985.5652,-0.0,50409.0615,16.881,0,0.0,953.235
2024-08-20,5,469918.44,440582.0385,0.0,0,16058.164,0.0,13579.024,13579.024,0.0,51098.66,17.8185,0,0.0,2706.3056
2024-08-20,6,472877.34,508790.164,0.0,0,13618.2613,0.0,12367.0446,12367.0446,-0.0,52397.0333,18.7352,13,70.44999999999999,3962.0081
2024-08-20,7,473385.54,527096.0235,0.0,0,13204.2878,0.0,11811.0122,11811.0122,-0.0,52519.9744,19.0495,16,54.44999999999999,1816.9585
2024-08-20,8,471102.42,411215.4258,0.0,0,17831.6388,0.0,17561.1283,17561.1283,0.0,53860.9895,16.3814,3,0.0,5634.8213
2024-08-20,9,472876.92,351662.6292,0.0,0,20288.5813,0.0,22808.0073,22808.0073,-0.0,56699.176,14.5424,8,48.25,5603.8574
2024-08-20,10,485097.52,403583.9095,0.0,0,18519.1079,0.0,25027.3015,25263.8985,236.597,60763.2336,14.6253,41,846.0399999999993,6605.9806
2024-08-20,11,499819.88,554499.2266,0.0,0,17062.2087,0.0,24519.6577,24598.7389,79.0812,64906.079,16.2438,38,412.43,8097.9786
2024-08-20,12,551773.29,791616.9889,0.0,0,13317.9703,0.0,21716.7649,24929.882,3213.1171,69506.4964,19.3275,72,1671.5600000000002,9189.36
2024-08-20,13,572454.07,986845.5489,406.7028,0,13212.0211,0.0,20918.4689,25563.8364,4645.3675,73457.9258,21.2271,9,674.1999999999999,8414.6912
2024-08-20,14,585170.77,1039440.6636,778.5041,0,12965.6341,0.0,20559.2757,25395.6861,4836.4104,75554.8186,21.5024,26,396.9499999999999,2835.7068
2024-08-20,15,586379.17,1100810.4606,1016.2635,0,12669.0183,0.0,18393.2659,25150.3301,6757.0642,76632.1474,22.0167,5,27.4,6349.1001
2024-08-20,16,585223.97,1094516.2644,1167.3891,0,12916.6335,0.0,18211.8232,25066.7986,6854.9754,77162.9788,21.7687,7,12.6,3339.3079
2024-08-20,17,586134.77,1105562.7048,1222.6208,0,12589.8124,0.0,17918.4297,23855.1186,5936.6889,77301.278,21.8845,4,20.24,2739.9027
2024-08-20,18,594982.57,1141351.6568,1122.1437,0,11470.9168,0.0,15574.5521,20098.5131,4523.961,76472.7789,22.7053,18,314.79999999999995,3496.8222
2024-08-20,19,595236.67,1182651.0323,951.4317,0,11059.2352,0.0,11229.7885,11545.4485,315.66,73728.2349,24.1141,1,6.05,5883.3976
2024-08-20,20,595236.67,1192110.6253,519.2385,0,10646.295,0.0,8441.6566,9072.8644,631.2078,70975.3001,25.1827,0,0.0,3736.7963
2024-08-20,21,595236.67,1111677.1947,15.5974,0,13390.9767,0.0,9712.4698,12658.8958,2946.426,68997.7905,24.7387,0,0.0,7340.9152
2024-08-20,22,562060.07,750162.1724,0.0,0,17601.2221,0.0,15528.7285,15528.7285,-0.0,65618.3064,19.9978,47,262.0,16224.9436
2024-08-20,23,505383.84,653511.2683,0.0,0,13484.4803,0.0,15934.0735,15934.0735,-0.0,61588.9932,18.8166,102,0.0,5306.8799
