Date,Hour,Line,Flow
2024-08-20,0,L1125_2389,-567.8876
2024-08-20,0,L3595_3616,-491.206
2024-08-20,0,L4611_4660,-448.2212
2024-08-20,0,L2384_4611,-352.1571
2024-08-20,0,L4612_4630,76.2358
2024-08-20,0,L1076_4612,112.7464
2024-08-20,0,L2193_2384,-199.2942
2024-08-20,0,L89_1584,-0.0
2024-08-20,0,L1575_4614,339.2137
2024-08-20,0,L1575_1584,-183.7024
2024-08-20,0,L2820_3156,61.014
2024-08-20,0,L569_2384,-80.3377
2024-08-20,0,L2384_4615,-282.9161
2024-08-20,0,L597_1156,31.5983
2024-08-20,0,L136_4615,282.9161
2024-08-20,0,L1550_1552,-97.0596
2024-08-20,0,L1552_3702,-97.0596
2024-08-20,0,L4616_4617,97.0596
2024-08-20,0,L1550_4616,97.0596
2024-08-20,0,L4617_4620,97.0596
2024-08-20,0,L1548_4620,-97.0596
2024-08-20,0,L136_1548,-160.2027
2024-08-20,0,L136_591,-122.7134
2024-08-20,0,L1125_4287,511.9426
2024-08-20,0,L51_2389,122.55
2024-08-20,0,L3050_3668,0.0
2024-08-20,0,L46_3156,0.0
2024-08-20,0,L3050_4625,-0.0
2024-08-20,0,L1550_4625,0.0
2024-08-20,0,L2389_3157,0.0
2024-08-20,0,L1575_1583,-199.1109
2024-08-20,0,L2394_3613,-301.8635
2024-08-20,0,L2398_4630,-76.2358
2024-08-20,0,L1152_2398,-70.3526
2024-08-20,0,L1152_3822,70.3526
2024-08-20,0,L3822_4631,217.3331
2024-08-20,0,L1095_4631,50.1948
2024-08-20,0,L3613_4631,-267.5279
2024-08-20,0,L2398_3038,149.2936
2024-08-20,0,L2398_3599,256.2369
2024-08-20,0,L2391_2398,583.3638
2024-08-20,0,L3038_4632,168.4895
2024-08-20,0,L2395_3597,-294.3725
2024-08-20,0,L3597_4632,-123.9159
2024-08-20,0,L1095_2393,14.857
2024-08-20,0,L611_2391,498.1956
2024-08-20,0,L611_2388,-498.1956
2024-08-20,0,L2388_4636,-445.0199
2024-08-20,0,L504_2388,53.1757
2024-08-20,0,L2386_3605,-102.6024
2024-08-20,0,L4634_4635,-280.3944
2024-08-20,0,L608_4634,82.517
2024-08-20,0,L4634_4637,362.9114
2024-08-20,0,L2387_4635,280.3944
2024-08-20,0,L4636_4637,-445.0199
2024-08-20,0,L3666_4637,82.1085
2024-08-20,0,L2385_4638,-60.4429
2024-08-20,0,L2385_3582,162.4756
2024-08-20,0,L2383_3582,-142.9846
2024-08-20,0,L3606_4638,214.5439
2024-08-20,0,L607_608,82.517
2024-08-20,0,L200_3605,93.138
2024-08-20,0,L3452_3605,9.4644
2024-08-20,0,L600_3452,9.4644
2024-08-20,0,L2391_3667,-92.3618
2024-08-20,0,L44_3613,0.0
2024-08-20,0,L1087_3613,16.8821
2024-08-20,0,L3606_4660,294.1202
2024-08-20,0,L3606_3608,-508.6641
2024-08-20,0,L3583_3608,0.0
2024-08-20,0,L2385_3607,-111.3571
2024-08-20,0,L3598_3599,0.0
2024-08-20,0,L3599_3616,256.2369
2024-08-20,0,L3616_3617,0.0
2024-08-20,0,L3596_3597,89.87
2024-08-20,0,L3458_3597,0.0
2024-08-20,0,L3597_3613,17.4535
2024-08-20,0,L967_3764,-323.9613
2024-08-20,0,L967_1780,323.9613
2024-08-20,0,L964_3764,289.4512
2024-08-20,0,L964_1783,-289.4512
2024-08-20,0,L3764_3765,0.0
2024-08-20,0,L1783_3764,301.9355
2024-08-20,0,L69_873,-131.3218
2024-08-20,0,L966_1783,153.1961
2024-08-20,0,L3631_4665,0.0
2024-08-20,0,L3630_4665,0.0
2024-08-20,0,L966_4665,-0.0
2024-08-20,0,L1777_1783,438.1906
2024-08-20,0,L1777_3470,-261.7301
2024-08-20,0,L2589_4667,-450.3049
2024-08-20,0,L4667_4730,-716.4417
2024-08-20,0,L84_2588,-139.5737
2024-08-20,0,L2659_2670,-27.8023
2024-08-20,0,L2670_4673,-30.1913
2024-08-20,0,L2424_4673,59.9407
2024-08-20,0,L2734_3055,-78.3506
2024-08-20,0,L1803_4696,689.5153
2024-08-20,0,L4696_4700,689.5153
2024-08-20,0,L2155_4700,-689.5153
2024-08-20,0,L1803_3051,414.9194
2024-08-20,0,L88_2689,172.943
2024-08-20,0,L2154_2417,-494.4021
2024-08-20,0,L2154_2689,400.0767
2024-08-20,0,L2589_4711,466.4654
2024-08-20,0,L2417_4710,-868.0081
2024-08-20,0,L2406_4710,868.0081
2024-08-20,0,L2734_4711,-255.7874
2024-08-20,0,L2406_3825,80.5753
2024-08-20,0,L2417_2716,-93.315
2024-08-20,0,L2586_4714,720.7142
2024-08-20,0,L2420_4714,-733.137
2024-08-20,0,L2583_4715,144.2689
2024-08-20,0,L76_4715,-143.0951
2024-08-20,0,L2582_2592,-449.5039
2024-08-20,0,L2583_2586,-145.4427
2024-08-20,0,L3019_4716,12.9219
2024-08-20,0,L2419_3019,-59.9404
2024-08-20,0,L2806_4716,-12.9219
2024-08-20,0,L2581_4717,14.1747
2024-08-20,0,L2806_4717,-14.1747
2024-08-20,0,L1651_2806,-69.3919
2024-08-20,0,L36_1651,152.4979
2024-08-20,0,L36_5024,12.8489
2024-08-20,0,L2559_4720,-64.6482
2024-08-20,0,L2600_4720,64.6482
2024-08-20,0,L2419_2559,342.7348
2024-08-20,0,L2431_2806,18.2751
2024-08-20,0,L2418_2581,-62.8533
2024-08-20,0,L2581_4725,-140.2627
2024-08-20,0,L2421_4725,140.2627
2024-08-20,0,L2418_2419,62.8533
2024-08-20,0,L2659_2806,22.5152
2024-08-20,0,L84_2587,71.7232
2024-08-20,0,L2582_2586,449.5039
2024-08-20,0,L2419_4728,-371.7138
2024-08-20,0,L2417_4728,371.7138
2024-08-20,0,L1803_2401,-883.6773
2024-08-20,0,L4730_4746,-358.5971
2024-08-20,0,L2420_4746,717.6155
2024-08-20,0,L472_2401,240.0532
2024-08-20,0,L472_2399,-240.0532
2024-08-20,0,L1928_2880,574.373
