Date,Hour,Type,Solve Time
2024-08-20,0,SCED,2.3988
2024-08-20,1,SCED,2.195
2024-08-20,2,SCED,2.2919
2024-08-20,3,SCED,2.1882
2024-08-20,4,SCED,2.2562
2024-08-20,5,SCED,2.1518
2024-08-20,6,SCED,1.13
2024-08-20,7,SCED,1.1443
2024-08-20,8,SCED,1.2739
2024-08-20,9,SCED,4.0281
2024-08-20,10,SCED,1.5089
2024-08-20,11,SCED,1.3659
2024-08-20,12,SCED,1.7402
2024-08-20,13,SCED,3.6905
2024-08-20,14,SCED,1.9733
2024-08-20,15,SCED,2.146
2024-08-20,16,SCED,2.2089
2024-08-20,17,SCED,2.0767
2024-08-20,18,SCED,2.5319
2024-08-20,19,SCED,2.567
2024-08-20,20,SCED,3.4681
2024-08-20,21,SCED,1.5165
2024-08-20,22,SCED,2.1798
2024-08-20,23,SCED,2.213
