Date,Hour,FixedCosts,VariableCosts,LoadShedding,OverGeneration,AvailableReserves,ReserveShortfall,RenewablesUsed,RenewablesAvailable,RenewablesCurtailment,Demand,Price,Number on/offs,Sum on/off ramps,Sum nominal ramps
2024-08-20,0,425848.1,561467.0836,0.0,0,8636.2947,0.0,16558.2988,16558.2988,0.0,57112.5041,17.2872,271,0.0,21552.1753
2024-08-20,1,422084.9,479504.0804,0.0,0,11100.5976,0.0,16760.9719,16760.9719,0.0,54402.8743,16.5725,2,0.0,2882.5476
2024-08-20,2,403111.82,438962.9919,0.0,0,10230.6914,0.0,16675.8521,16675.8521,-0.0,52304.4607,16.0995,28,0.0,1502.5529
2024-08-20,3,403111.82,408700.0268,0.0,0,11263.3423,0.0,16197.5463,16197.5463,0.0,50793.504,15.9826,0,0.0,2032.6782
2024-08-20,4,403111.82,431548.4497,0.0,0,10435.8037,0.0,14985.5652,14985.5652,-0.0,50409.0615,16.5577,0,0.0,827.5386
2024-08-20,5,411691.58,482511.4165,0.0,0,8646.084,0.0,13579.024,13579.024,-0.0,51098.66,17.4995,5,306.41999999999996,2650.6946
2024-08-20,6,415589.18,549647.9554,0.0,0,6989.9113,869.6437,12367.0446,12367.0446,-0.0,52397.0333,18.4216,2,139.2,3569.1567
2024-08-20,7,415589.18,568385.7742,0.0,0,6635.7378,1242.2584,11811.0122,11811.0122,0.0,52519.9744,18.7353,0,0.0,1401.3573
2024-08-20,8,420834.98,444154.0691,0.0,0,11169.7388,0.0,17561.1283,17561.1283,0.0,53860.9895,16.0597,22,124.89999999999996,5031.8965
2024-08-20,9,419272.58,386097.1364,0.0,0,14516.5313,0.0,22808.0073,22808.0073,0.0,56699.176,14.2043,1,0.0,3482.7155
2024-08-20,10,446084.54,414759.0938,0.0,0,13394.2749,0.0,25263.8985,25263.8985,0.0,60763.2336,14.1672,22,1159.7100000000003,2632.4342
2024-08-20,11,465102.7,540841.0782,0.0,0,11311.2599,0.0,24598.7389,24598.7389,0.0,64906.079,15.4985,46,1103.9999999999995,7375.3807
2024-08-20,12,516883.16,649946.7048,0.0,0,12283.3556,0.0,24929.882,24929.882,0.0,69506.4964,16.7873,48,1537.7700000000002,4998.2817
2024-08-20,13,534561.85,834133.2752,0.0,0,12192.3937,0.0,23573.2095,25563.8364,1990.6269,73457.9258,18.6324,48,432.41,7848.2294
2024-08-20,14,551614.25,999623.4679,49.1423,0,11333.2228,0.0,22300.0393,25395.6861,3095.6468,75554.8186,20.5313,17,472.2799999999999,6658.8103
2024-08-20,15,551614.25,1050288.8883,109.7957,0,11494.8221,0.0,21963.221,25150.3301,3187.1091,76632.1474,20.9038,0,0.0,3231.5534
2024-08-20,16,558115.85,1052726.2922,164.7473,0,11574.4468,0.0,21590.6581,25066.7986,3476.1405,77162.9788,20.8758,4,232.2,2769.2496
2024-08-20,17,575367.57,1068170.6058,180.4043,0,11595.1917,0.0,20804.9804,23855.1186,3050.1382,77301.278,21.2615,23,572.4200000000001,1460.5759
2024-08-20,18,575367.57,1134286.186,125.3067,0,11470.9168,0.0,18019.0522,20098.5131,2079.4609,76472.7789,22.3564,0,0.0,2175.5803
2024-08-20,19,611222.69,1175991.3962,35.7588,0,9787.1124,1272.1229,11545.4485,11545.4485,0.0,73728.2349,24.2406,18,1327.04,3787.4532
2024-08-20,20,611222.69,1074147.0408,0.0,0,12766.4643,0.0,9072.8644,9072.8644,0.0,70975.3001,23.7459,0,0.0,12832.9574
2024-08-20,21,564757.68,919535.6215,0.0,0,12149.6053,0.0,12658.8958,12658.8958,0.0,68997.7905,21.5122,70,0.0,6390.5578
2024-08-20,22,523600.2,757463.8362,0.0,0,13132.5221,0.0,15528.7285,15528.7285,-0.0,65618.3064,19.523,32,0.0,6480.4908
2024-08-20,23,494095.72,649478.8947,0.0,0,13454.5803,0.0,15934.0735,15934.0735,0.0,61588.9932,18.5678,30,0.0,5973.11
