Date,Hour,Line,Flow
2024-08-20,0,L1125_2389,-567.4308
2024-08-20,0,L3595_3616,-489.6462
2024-08-20,0,L4611_4660,-448.107
2024-08-20,0,L2384_4611,-352.0378
2024-08-20,0,L4612_4630,76.6728
2024-08-20,0,L1076_4612,112.7103
2024-08-20,0,L2193_2384,-199.4477
2024-08-20,0,L89_1584,0.0
2024-08-20,0,L1575_4614,338.9732
2024-08-20,0,L1575_1584,-183.7024
2024-08-20,0,L2820_3156,60.7824
2024-08-20,0,L569_2384,-80.328
2024-08-20,0,L2384_4615,-283.0728
2024-08-20,0,L597_1156,31.5986
2024-08-20,0,L136_4615,283.0728
2024-08-20,0,L1550_1552,-97.0596
2024-08-20,0,L1552_3702,-97.0596
2024-08-20,0,L4616_4617,97.0596
2024-08-20,0,L1550_4616,97.0596
2024-08-20,0,L4617_4620,97.0596
2024-08-20,0,L1548_4620,-97.0596
2024-08-20,0,L136_1548,-160.3594
2024-08-20,0,L136_591,-122.7134
2024-08-20,0,L1125_4287,511.0745
2024-08-20,0,L51_2389,122.55
2024-08-20,0,L3050_3668,0.0
2024-08-20,0,L46_3156,0.0
2024-08-20,0,L3050_4625,-0.0
2024-08-20,0,L1550_4625,0.0
2024-08-20,0,L2389_3157,0.0
2024-08-20,0,L1575_1583,-198.8744
2024-08-20,0,L2394_3613,-304.7148
2024-08-20,0,L2398_4630,-76.6728
2024-08-20,0,L1152_2398,-70.8799
2024-08-20,0,L1152_3822,70.8799
2024-08-20,0,L3822_4631,219.1521
2024-08-20,0,L1095_4631,49.9136
2024-08-20,0,L3613_4631,-269.0657
2024-08-20,0,L2398_3038,149.7271
2024-08-20,0,L2398_3599,254.6771
2024-08-20,0,L2391_2398,583.4987
2024-08-20,0,L3038_4632,168.9677
2024-08-20,0,L2395_3597,-293.5579
2024-08-20,0,L3597_4632,-124.362
2024-08-20,0,L1095_2393,15.1406
2024-08-20,0,L611_2391,498.3371
2024-08-20,0,L611_2388,-498.3371
2024-08-20,0,L2388_4636,-445.0199
2024-08-20,0,L504_2388,53.3172
2024-08-20,0,L2386_3605,-102.7271
2024-08-20,0,L4634_4635,-280.3944
2024-08-20,0,L608_4634,82.517
2024-08-20,0,L4634_4637,362.9114
2024-08-20,0,L2387_4635,280.3944
2024-08-20,0,L4636_4637,-445.0199
2024-08-20,0,L3666_4637,82.1085
2024-08-20,0,L2385_4638,-60.5571
2024-08-20,0,L2385_3582,162.4579
2024-08-20,0,L2383_3582,-142.969
2024-08-20,0,L3606_4638,214.5642
2024-08-20,0,L607_608,82.517
2024-08-20,0,L200_3605,93.138
2024-08-20,0,L3452_3605,9.5891
2024-08-20,0,L600_3452,9.5891
2024-08-20,0,L2391_3667,-92.3618
2024-08-20,0,L44_3613,0.0
2024-08-20,0,L1087_3613,16.9349
2024-08-20,0,L3606_4660,294.0999
2024-08-20,0,L3606_3608,-508.6641
2024-08-20,0,L3583_3608,0.0
2024-08-20,0,L2385_3607,-111.3571
2024-08-20,0,L3598_3599,0.0
2024-08-20,0,L3599_3616,254.6771
2024-08-20,0,L3616_3617,0.0
2024-08-20,0,L3596_3597,89.87
2024-08-20,0,L3458_3597,0.0
2024-08-20,0,L3597_3613,18.7142
2024-08-20,0,L967_3764,-333.0843
2024-08-20,0,L967_1780,333.0843
2024-08-20,0,L964_3764,297.3352
2024-08-20,0,L964_1783,-297.3352
2024-08-20,0,L3764_3765,0.0
2024-08-20,0,L1783_3764,310.1596
2024-08-20,0,L69_873,-134.2527
2024-08-20,0,L966_1783,154.6869
2024-08-20,0,L3631_4665,0.0
2024-08-20,0,L3630_4665,0.0
2024-08-20,0,L966_4665,-0.0
2024-08-20,0,L1777_1783,452.8079
2024-08-20,0,L1777_3470,-279.4053
2024-08-20,0,L2589_4667,-430.4575
2024-08-20,0,L4667_4730,-684.2939
2024-08-20,0,L84_2588,-122.0799
2024-08-20,0,L2659_2670,-17.6989
2024-08-20,0,L2670_4673,-21.2644
2024-08-20,0,L2424_4673,50.3609
2024-08-20,0,L2734_3055,-85.7962
2024-08-20,0,L1803_4696,692.3857
2024-08-20,0,L4696_4700,692.3857
2024-08-20,0,L2155_4700,-692.3857
2024-08-20,0,L1803_3051,412.1095
2024-08-20,0,L88_2689,169.7405
2024-08-20,0,L2154_2417,-500.7851
2024-08-20,0,L2154_2689,411.0598
2024-08-20,0,L2589_4711,443.6083
2024-08-20,0,L2417_4710,-862.441
2024-08-20,0,L2406_4710,862.441
2024-08-20,0,L2734_4711,-244.1644
2024-08-20,0,L2406_3825,84.3141
