Date,Hour,Type,Solve Time
2024-08-20,0,SCED,1.5434
2024-08-20,1,SCED,1.4139
2024-08-20,2,SCED,1.3348
2024-08-20,3,SCED,1.3337
2024-08-20,4,SCED,1.3353
2024-08-20,5,SCED,1.3382
2024-08-20,6,SCED,1.0105
2024-08-20,7,SCED,1.0184
2024-08-20,8,SCED,1.0045
2024-08-20,9,SCED,1.1252
2024-08-20,10,SCED,1.2199
2024-08-20,11,SCED,1.0574
2024-08-20,12,SCED,1.2264
2024-08-20,13,SCED,1.1038
2024-08-20,14,SCED,1.8626
2024-08-20,15,SCED,1.3056
2024-08-20,16,SCED,1.168
2024-08-20,17,SCED,1.1175
2024-08-20,18,SCED,1.0808
2024-08-20,19,SCED,1.1189
2024-08-20,20,SCED,3.6565
2024-08-20,21,SCED,1.397
2024-08-20,22,SCED,1.1525
2024-08-20,23,SCED,1.1522
