Date,Hour,Line,Flow
2024-06-17,0,L1125_2389,-1109.46
2024-06-17,0,L3595_3616,-1024.6614
2024-06-17,0,L4611_4660,-795.1871
2024-06-17,0,L2384_4611,-654.0868
2024-06-17,0,L4612_4630,214.9029
2024-06-17,0,L1076_4612,297.6249
2024-06-17,0,L2193_2384,-558.034
2024-06-17,0,L89_1584,0.0
2024-06-17,0,L1575_4614,691.3857
2024-06-17,0,L1575_1584,-331.8336
2024-06-17,0,L2820_3156,178.0174
2024-06-17,0,L569_2384,-96.9951
2024-06-17,0,L2384_4615,-467.5168
2024-06-17,0,L597_1156,46.0111
2024-06-17,0,L136_4615,467.5168
2024-06-17,0,L1550_1552,-175.3251
2024-06-17,0,L1552_3702,-175.3251
2024-06-17,0,L4616_4617,175.3251
2024-06-17,0,L1550_4616,175.3251
2024-06-17,0,L4617_4620,175.3251
2024-06-17,0,L1548_4620,-175.3251
2024-06-17,0,L136_1548,-245.8516
2024-06-17,0,L136_591,-221.6652
2024-06-17,0,L1125_4287,1040.4711
2024-06-17,0,L51_2389,221.37
2024-06-17,0,L3050_3668,0.0
2024-06-17,0,L46_3156,0.0
2024-06-17,0,L3050_4625,-0.0
2024-06-17,0,L1550_4625,0.0
2024-06-17,0,L2389_3157,0.0
2024-06-17,0,L1575_1583,-430.0233
2024-06-17,0,L2394_3613,-504.4677
2024-06-17,0,L2398_4630,-214.9029
2024-06-17,0,L1152_2398,-161.8255
2024-06-17,0,L1152_3822,161.8255
2024-06-17,0,L3822_4631,504.9688
2024-06-17,0,L1095_4631,102.0154
2024-06-17,0,L3613_4631,-606.9841
2024-06-17,0,L2398_3038,429.6367
2024-06-17,0,L2398_3599,600.2212
2024-06-17,0,L2391_2398,1196.2895
2024-06-17,0,L3038_4632,486.2594
2024-06-17,0,L2395_3597,-869.6233
2024-06-17,0,L3597_4632,-384.3287
2024-06-17,0,L1095_2393,26.6637
2024-06-17,0,L611_2391,1030.1284
2024-06-17,0,L611_2388,-1030.1284
2024-06-17,0,L2388_4636,-803.8681
2024-06-17,0,L504_2388,226.2603
2024-06-17,0,L2386_3605,-299.8724
2024-06-17,0,L4634_4635,-506.4944
2024-06-17,0,L608_4634,149.0558
2024-06-17,0,L4634_4637,655.5502
2024-06-17,0,L2387_4635,506.4944
