Date,Hour,Line,Flow
2024-06-17,0,L1125_2389,-1111.2879
2024-06-17,0,L3595_3616,-1036.4817
2024-06-17,0,L4611_4660,-795.8583
2024-06-17,0,L2384_4611,-654.7885
2024-06-17,0,L4612_4630,212.5083
2024-06-17,0,L1076_4612,297.7351
2024-06-17,0,L2193_2384,-557.1246
2024-06-17,0,L89_1584,0.0
2024-06-17,0,L1575_4614,692.6846
2024-06-17,0,L1575_1584,-331.8336
2024-06-17,0,L2820_3156,179.3862
2024-06-17,0,L569_2384,-97.0532
2024-06-17,0,L2384_4615,-466.5908
2024-06-17,0,L597_1156,46.0092
2024-06-17,0,L136_4615,466.5908
2024-06-17,0,L1550_1552,-175.3251
2024-06-17,0,L1552_3702,-175.3251
2024-06-17,0,L4616_4617,175.3251
2024-06-17,0,L1550_4616,175.3251
2024-06-17,0,L4617_4620,175.3251
2024-06-17,0,L1548_4620,-175.3251
2024-06-17,0,L136_1548,-244.9256
2024-06-17,0,L136_591,-221.6652
2024-06-17,0,L1125_4287,1041.536
2024-06-17,0,L51_2389,221.37
2024-06-17,0,L3050_3668,0.0
2024-06-17,0,L46_3156,0.0
2024-06-17,0,L3050_4625,-0.0
2024-06-17,0,L1550_4625,0.0
2024-06-17,0,L2389_3157,0.0
2024-06-17,0,L1575_1583,-431.4067
2024-06-17,0,L2394_3613,-489.4126
2024-06-17,0,L2398_4630,-212.5083
2024-06-17,0,L1152_2398,-158.533
2024-06-17,0,L1152_3822,158.533
2024-06-17,0,L3822_4631,493.7979
2024-06-17,0,L1095_4631,103.6037
2024-06-17,0,L3613_4631,-597.4017
2024-06-17,0,L2398_3038,425.4544
2024-06-17,0,L2398_3599,612.0415
2024-06-17,0,L2391_2398,1195.4964
2024-06-17,0,L3038_4632,481.5842
2024-06-17,0,L2395_3597,-870.9645
2024-06-17,0,L3597_4632,-380.5675
2024-06-17,0,L1095_2393,24.9981
2024-06-17,0,L611_2391,1029.2963
2024-06-17,0,L611_2388,-1029.2963
2024-06-17,0,L2388_4636,-803.8681
2024-06-17,0,L504_2388,225.4282
2024-06-17,0,L2386_3605,-299.1388
2024-06-17,0,L4634_4635,-506.4944
2024-06-17,0,L608_4634,149.0558
2024-06-17,0,L4634_4637,655.5502
2024-06-17,0,L2387_4635,506.4944
2024-06-17,0,L4636_4637,-803.8681
2024-06-17,0,L3666_4637,148.3179
2024-06-17,0,L2385_4638,-122.9746
2024-06-17,0,L2385_3582,217.2493
2024-06-17,0,L2383_3582,-191.1875
2024-06-17,0,L3606_4638,390.0045
2024-06-17,0,L607_608,149.0558
2024-06-17,0,L200_3605,168.2412
2024-06-17,0,L3452_3605,130.8976
2024-06-17,0,L600_3452,130.8976
2024-06-17,0,L2391_3667,-166.8392
2024-06-17,0,L44_3613,0.0
2024-06-17,0,L1087_3613,42.974
2024-06-17,0,L3606_4660,528.8284
2024-06-17,0,L3606_3608,-918.8329
2024-06-17,0,L3583_3608,0.0
2024-06-17,0,L2385_3607,-201.1515
2024-06-17,0,L3598_3599,0.0
2024-06-17,0,L3599_3616,612.0415
2024-06-17,0,L3616_3617,0.0
2024-06-17,0,L3596_3597,162.338
2024-06-17,0,L3458_3597,0.0
2024-06-17,0,L3597_3613,-150.963
2024-06-17,0,L967_3764,-347.1311
2024-06-17,0,L967_1780,347.1311
2024-06-17,0,L964_3764,270.6855
2024-06-17,0,L964_1783,-270.6855
2024-06-17,0,L3764_3765,0.0
2024-06-17,0,L1783_3764,282.3604
2024-06-17,0,L69_873,-153.9531
2024-06-17,0,L966_1783,231.4004
2024-06-17,0,L3631_4665,0.0
2024-06-17,0,L3630_4665,0.0
2024-06-17,0,L966_4665,-0.0
2024-06-17,0,L1777_1783,321.6455
2024-06-17,0,L1777_3470,74.1786
2024-06-17,0,L2589_4667,-1537.8606
2024-06-17,0,L4667_4730,-2331.5722
2024-06-17,0,L84_2588,-545.0262
2024-06-17,0,L2659_2670,-157.3931
2024-06-17,0,L2670_4673,-153.6276
2024-06-17,0,L2424_4673,288.179
