Date,Hour,Type,Solve Time
2024-06-17,0,SCED,1.8682
2024-06-17,1,SCED,1.6613
2024-06-17,2,SCED,1.6436
2024-06-17,3,SCED,1.6852
2024-06-17,4,SCED,1.6628
2024-06-17,5,SCED,1.6607
2024-06-17,6,SCED,1.0171
2024-06-17,7,SCED,1.0173
2024-06-17,8,SCED,1.0687
2024-06-17,9,SCED,1.3721
2024-06-17,10,SCED,1.2439
2024-06-17,11,SCED,1.392
2024-06-17,12,SCED,1.3602
2024-06-17,13,SCED,1.5654
2024-06-17,14,SCED,1.6769
2024-06-17,15,SCED,1.2817
2024-06-17,16,SCED,1.2804
2024-06-17,17,SCED,1.2873
2024-06-17,18,SCED,1.2884
2024-06-17,19,SCED,1.2673
2024-06-17,20,SCED,3.9474
2024-06-17,21,SCED,1.7114
2024-06-17,22,SCED,1.8795
2024-06-17,23,SCED,1.3579
