Date,Hour,FixedCosts,VariableCosts,LoadShedding,OverGeneration,AvailableReserves,ReserveShortfall,RenewablesUsed,RenewablesAvailable,RenewablesCurtailment,Demand,Price,Number on/offs,Sum on/off ramps,Sum nominal ramps
2025-11-05,0,385300.17,730552.7908,2033.1737,0,5135.2746,0.0,8178.3024,19818.22,11639.9176,50894.0015,21.925,234,0.0,23932.3954
2025-11-05,1,385406.97,730445.9908,2033.1737,0,5079.4546,0.0,8178.3024,19818.22,11639.9176,50894.0015,21.925,4,8.18,860.7182
2025-11-05,2,386045.07,729807.8908,2033.1737,0,5111.0746,0.0,8178.3024,19818.22,11639.9176,50894.0015,21.925,5,18.5,1280.1896
2025-11-05,3,385300.17,730552.7908,2033.1737,0,5080.8246,0.0,8178.3024,19818.22,11639.9176,50894.0015,21.925,5,6.05,1187.6287
2025-11-05,4,385790.97,728578.5115,2033.3252,0,5072.3516,0.0,8215.9479,19818.22,11602.2721,50894.0015,21.8959,6,20.279999999999998,130.5983
2025-11-05,5,383657.97,730711.5115,2033.3252,0,4868.6716,0.0,8215.9479,19818.22,11602.2721,50894.0015,21.8959,7,12.1,727.322
2025-11-05,6,383728.77,730640.7115,2033.3252,0,4806.8516,0.0,8215.9479,19818.22,11602.2721,50894.0015,21.8959,8,20.279999999999998,1298.0481
2025-11-05,7,368930.77,744854.4615,2033.3252,0,3242.6416,0.0,8215.9479,19818.22,11602.2721,50894.0015,21.8844,10,107.27,1893.7125
2025-11-05,8,374104.57,740264.9115,2033.3252,0,3469.1116,0.0,8215.9479,19818.22,11602.2721,50894.0015,21.8959,7,305.74,2209.5425
2025-11-05,9,374104.57,740264.9115,2033.3252,0,3909.5716,0.0,8215.9479,19818.22,11602.2721,50894.0015,21.8959,4,12.1,1529.1469
2025-11-05,10,374104.57,740264.9115,2033.3252,0,3909.5716,0.0,8215.9479,19818.22,11602.2721,50894.0015,21.8959,4,12.1,0.0
2025-11-05,11,373907.17,740462.3115,2033.3252,0,3890.7716,0.0,8215.9479,19818.22,11602.2721,50894.0015,21.8959,5,12.1,467.64
2025-11-05,12,371826.07,744026.8908,2033.1737,0,3505.2746,0.0,8178.3024,19818.22,11639.9176,50894.0015,21.925,6,67.89999999999999,2119.0547
2025-11-05,13,369503.47,744571.9413,2033.3552,0,3398.2141,0.0,8223.4104,19818.22,11594.8096,50894.0015,21.8901,5,6.05,378.1123
2025-11-05,14,371065.87,744787.0908,2033.1737,0,3463.1746,0.0,8178.3024,19818.22,11639.9176,50894.0015,21.925,1,55.8,314.7325
2025-11-05,15,371605.57,744247.3908,2033.1737,0,3547.1646,0.0,8178.3024,19818.22,11639.9176,50894.0015,21.925,6,23.79,1616.5634
2025-11-05,16,369799.57,743981.7712,2033.3852,0,3368.0566,0.0,8230.8729,19818.22,11587.3471,50894.0015,21.8843,8,19.6,1869.5304
2025-11-05,17,370815.97,744141.6517,2033.2651,0,3454.6866,0.0,8201.023,19818.22,11617.197,50894.0015,21.9074,4,24.2,1402.3714
2025-11-05,18,369799.57,743981.7712,2033.3852,0,3460.4566,0.0,8230.8729,19818.22,11587.3471,50894.0015,21.8843,4,0.0,5.7704
2025-11-05,19,376086.97,738871.3329,2033.2669,0,3642.9088,0.0,8200.9933,19818.22,11617.2267,50894.0015,21.9075,7,212.45000000000005,194.1295
2025-11-05,20,374524.57,741328.3908,2033.1737,0,4091.1746,0.0,8178.3024,19818.22,11639.9176,50894.0015,21.925,1,0.0,846.7308
2025-11-05,21,374314.57,741538.3908,2033.1737,0,4056.1746,0.0,8178.3024,19818.22,11639.9176,50894.0015,21.925,1,0.0,802.9656
2025-11-05,22,374034.73,741815.5749,2033.1759,0,3859.5318,0.0,8178.3574,19818.22,11639.8626,50894.0015,21.925,4,59.3,775.3199
2025-11-05,23,370835.33,746233.7654,2033.0896,0,3228.9347,0.0,8202.0567,19818.22,11616.1633,50894.0015,21.9489,6,265.69,1525.3949
