Date,Hour,FixedCosts,VariableCosts,LoadShedding,OverGeneration,AvailableReserves,ReserveShortfall,RenewablesUsed,RenewablesAvailable,RenewablesCurtailment,Demand,Price,Number on/offs,Sum on/off ramps,Sum nominal ramps
2025-11-05,0,383253.83,658374.2425,3411.1284,14.7,6376.2548,0.0,8224.9154,19818.22,11593.3046,50893.989,20.4666,249,0.0,22450.4952
2025-11-05,1,380814.23,660813.8425,3411.1284,14.7,6062.4548,0.0,8224.9154,19818.22,11593.3046,50893.989,20.4666,3,0.0,874.515
2025-11-05,2,381305.03,660323.0425,3411.1284,14.7,6070.6348,0.0,8224.9154,19818.22,11593.3046,50893.989,20.4666,2,8.18,8.18
2025-11-05,3,380568.83,661059.2425,3411.1284,14.7,6021.5548,0.0,8224.9154,19818.22,11593.3046,50893.989,20.4666,3,0.0,2189.9918
2025-11-05,4,387526.07,654278.4025,3411.1284,21.0,6071.2048,0.0,8224.9154,19818.22,11593.3046,50893.989,20.4701,10,310.95,487.15
2025-11-05,5,386789.87,655014.6025,3411.1284,21.0,6755.8548,0.0,8224.9154,19818.22,11593.3046,50893.989,20.4701,3,0.0,2411.5463
2025-11-05,6,388610.51,653193.9625,3411.1284,21.0,6806.8548,0.0,8224.9154,19818.22,11593.3046,50893.989,20.4701,4,51.0,51.0
2025-11-05,7,387874.31,653930.1625,3411.1284,21.0,6884.9548,0.0,8224.9154,19818.22,11593.3046,50893.989,20.4701,3,0.0,12.27
2025-11-05,8,390559.31,651245.1625,3411.1284,21.0,6526.3648,0.0,8224.9154,19818.22,11593.3046,50893.989,20.4701,6,375.50999999999993,1082.0786
2025-11-05,9,389823.11,651981.3625,3411.1284,21.0,7116.9548,0.0,8224.9154,19818.22,11593.3046,50893.989,20.4701,3,0.0,1143.9941
2025-11-05,10,390948.23,650856.2425,3411.1284,21.0,6880.1248,0.0,8224.9154,19818.22,11593.3046,50893.989,20.4701,6,138.87,1073.441
2025-11-05,11,388559.75,653244.7225,3411.1284,21.0,6966.5548,0.0,8224.9154,19818.22,11593.3046,50893.989,20.4701,4,0.0,681.75
2025-11-05,12,387467.27,654160.8025,3411.1284,14.7,6588.9248,0.0,8224.9154,19818.22,11593.3046,50893.989,20.4666,6,88.77000000000001,1373.0379
2025-11-05,13,386731.07,654897.0025,3411.1284,14.7,6755.1548,0.0,8224.9154,19818.22,11593.3046,50893.989,20.4666,3,0.0,12.27
2025-11-05,14,388476.95,653151.1225,3411.1284,14.7,6791.7348,0.0,8224.9154,19818.22,11593.3046,50893.989,20.4666,5,55.38000000000001,670.4475
2025-11-05,15,389689.55,651938.5225,3411.1284,14.7,6949.6548,0.0,8224.9154,19818.22,11593.3046,50893.989,20.4666,4,69.6,595.59
2025-11-05,16,390425.75,651202.3225,3411.1284,14.7,7124.3248,0.0,8224.9154,19818.22,11593.3046,50893.989,20.4666,3,12.27,978.331
2025-11-05,17,386186.75,655441.3225,3411.1284,14.7,6695.0548,0.0,8224.9154,19818.22,11593.3046,50893.989,20.4666,5,0.0,1103.0604
2025-11-05,18,390356.45,651271.6225,3411.1284,14.7,6814.6848,0.0,8224.9154,19818.22,11593.3046,50893.989,20.4666,7,135.93,1657.6303
2025-11-05,19,389688.71,651939.3625,3411.1284,14.7,7092.5848,0.0,8224.9154,19818.22,11593.3046,50893.989,20.4666,4,1.63,1456.6574
2025-11-05,20,390356.45,651271.6225,3411.1284,14.7,7103.2248,0.0,8224.9154,19818.22,11593.3046,50893.989,20.4666,4,12.27,13.9
2025-11-05,21,396736.31,644891.7625,3411.1284,14.7,7344.2848,0.0,8224.9154,19818.22,11593.3046,50893.989,20.4666,7,253.32999999999998,372.48
2025-11-05,22,392890.37,648737.7025,3411.1284,14.7,7031.3948,0.0,8224.9154,19818.22,11593.3046,50893.989,20.4666,6,293.64,2196.6056
2025-11-05,23,388452.59,652763.8825,3411.1284,0.0,6683.1548,0.0,8224.9154,19818.22,11593.3046,50893.989,20.4585,9,96.7,1156.2124
