Date,Hour,FixedCosts,VariableCosts,LoadShedding,OverGeneration,AvailableReserves,ReserveShortfall,RenewablesUsed,RenewablesAvailable,RenewablesCurtailment,Demand,Price,Number on/offs,Sum on/off ramps,Sum nominal ramps
2025-11-05,0,381832.99,693316.4446,2179.6412,0,6021.4344,0.0,9328.4946,19818.22,10489.7254,50894.0015,21.1253,227,0.0,22781.0656
2025-11-05,1,379375.99,695773.4446,2179.6412,0,5668.4344,0.0,9328.4946,19818.22,10489.7254,50894.0015,21.1253,3,0.0,2681.2108
2025-11-05,2,379630.09,695519.3446,2179.6412,0,5620.0344,0.0,9328.4946,19818.22,10489.7254,50894.0015,21.1253,3,12.1,490.7627
2025-11-05,3,379630.09,695519.3446,2179.6412,0,5728.9344,0.0,9328.4946,19818.22,10489.7254,50894.0015,21.1253,0,0.0,711.1796
2025-11-05,4,381272.29,693877.1446,2179.6412,0,5787.5844,0.0,9328.4946,19818.22,10489.7254,50894.0015,21.1253,1,58.65,58.65
2025-11-05,5,381272.29,693877.1446,2179.6412,0,5924.4344,0.0,9328.4946,19818.22,10489.7254,50894.0015,21.1253,0,0.0,1242.6341
2025-11-05,6,381272.29,693877.1446,2179.6412,0,5924.4344,0.0,9328.4946,19818.22,10489.7254,50894.0015,21.1253,0,0.0,0.0
2025-11-05,7,381625.09,693524.3446,2179.6412,0,5937.0344,0.0,9328.4946,19818.22,10489.7254,50894.0015,21.1253,1,12.6,12.6
2025-11-05,8,379954.33,695195.1046,2179.6412,0,5767.5344,0.0,9328.4946,19818.22,10489.7254,50894.0015,21.1253,1,0.0,1119.3023
2025-11-05,9,379954.33,695195.1046,2179.6412,0,5767.5344,0.0,9328.4946,19818.22,10489.7254,50894.0015,21.1253,0,0.0,0.0
2025-11-05,10,380208.43,694941.0046,2179.6412,0,5773.5844,0.0,9328.4946,19818.22,10489.7254,50894.0015,21.1253,1,6.05,102.85
2025-11-05,11,380208.43,694941.0046,2179.6412,0,5828.0344,0.0,9328.4946,19818.22,10489.7254,50894.0015,21.1253,0,0.0,107.2393
2025-11-05,12,378847.93,696301.5046,2179.6412,0,5563.6344,0.0,9328.4946,19818.22,10489.7254,50894.0015,21.1253,5,0.0,1567.2886
2025-11-05,13,377825.65,697323.7846,2179.6412,0,5302.7044,0.0,9328.4946,19818.22,10489.7254,50894.0015,21.1253,2,59.67,1376.9916
2025-11-05,14,378071.05,697078.3846,2179.6412,0,5446.0244,0.0,9328.4946,19818.22,10489.7254,50894.0015,21.1253,1,4.09,1432.4326
2025-11-05,15,376183.45,698965.9846,2179.6412,0,5246.4344,0.0,9328.4946,19818.22,10489.7254,50894.0015,21.1253,2,0.0,1663.5548
2025-11-05,16,376428.85,698720.5846,2179.6412,0,5250.5244,0.0,9328.4946,19818.22,10489.7254,50894.0015,21.1253,1,4.09,48.83
2025-11-05,17,376183.45,698965.9846,2179.6412,0,5246.4344,0.0,9328.4946,19818.22,10489.7254,50894.0015,21.1253,1,0.0,48.83
2025-11-05,18,376428.85,698720.5846,2179.6412,0,5250.5244,0.0,9328.4946,19818.22,10489.7254,50894.0015,21.1253,1,4.09,48.83
2025-11-05,19,376183.45,698965.9846,2179.6412,0,5246.4344,0.0,9328.4946,19818.22,10489.7254,50894.0015,21.1253,1,0.0,48.83
2025-11-05,20,376428.85,698720.5846,2179.6412,0,5250.5244,0.0,9328.4946,19818.22,10489.7254,50894.0015,21.1253,1,4.09,48.83
2025-11-05,21,378684.49,696464.9446,2179.6412,0,5310.6144,0.0,9328.4946,19818.22,10489.7254,50894.0015,21.1253,3,96.18,1582.8029
2025-11-05,22,379309.09,695840.3446,2179.6412,0,5423.4844,0.0,9328.4946,19818.22,10489.7254,50894.0015,21.1253,4,74.45,560.2905
2025-11-05,23,372839.83,702309.6046,2179.6412,0,4624.5844,0.0,9328.4946,19818.22,10489.7254,50894.0015,21.1253,9,82.94999999999999,1629.0332
